rownames,JOURNAL,departement,item_year,item_day,item_month,ref_doc,item_account,amount,details,company,project,nature
1,NFP,EPIS,2020,3,7,65,67410000,15,FINGER.F : Perdiem - Dîner,FINGER,811536,T64100
2,NFP,EPIS,2020,3,7,65,61000000,25,FINGER.F : Perdiem,FINGER,811536,T66220
3,NFP,EPIS,2020,3,7,65,67410000,73.39,FINGER.F : Hôtel,FINGER,811536,T64100
4,AMO,EPIS,2020,30,6,119,64120000,199.71,MSF LOGISTIQUE UG909EPI,MSFLOGIS,821009,T60120
5,AMO,EPIS,2020,31,7,120,64700000,29.3,MSF LOGISTIQUE NE945EPI,MSFLOGIS,821624,T60200
6,AMO,EPIS,2020,31,7,120,64600000,18.62,MSF LOGISTIQUE NE945EPI,MSFLOGIS,821624,T60210
7,AMO,EPIS,2020,31,7,121,64700000,167.46,MSF LOGISTIQUE UG981EPI,MSFLOGIS,823633,T60200
8,AMO,EPIS,2020,31,7,122,64600000,519.75,MSF LOGISTIQUE UG994EPI,MSFLOGIS,821732,T60210
9,AMO,EPIS,2020,31,7,123,64700000,1101.14,MSF LOGISTIQUE UG986EPI,MSFLOGIS,823680,T60200
10,AMO,EPIS,2020,31,7,124,64700000,2287.08,MSF LOGISTIQUE UG994EPI,MSFLOGIS,821732,T60200
11,AMO,EPIS,2020,31,7,124,64700000,4083.8,MSF LOGISTIQUE UG994EPI,MSFLOGIS,821732,T60200
12,AMO,EPIS,2020,31,7,124,64600000,147.8,MSF LOGISTIQUE UG994EPI,MSFLOGIS,821732,T60210
13,AMO,EPIS,2020,31,7,125,64000000,398.8,MSF LOGISTIQUE UG994EPI,MSFLOGIS,821732,T60000
14,AMO,EPIS,2020,31,7,126,64000000,20.28,MSF LOGISTIQUE UG991EPI,MSFLOGIS,823712,T60000
15,AMO,EPIS,2020,31,7,127,64700000,252.54,MSF LOGISTIQUE NE945EPI,MSFLOGIS,821624,T60200
16,AFO,EPIS,2020,20,7,515,66710000,3348,IB Vincent KONDOI 06/07-10/07/20,IB,80FOIN,6671
17,AFO,EPIS,2020,1,7,516,63711000,1680,ZAYO juillet 2020 FV202007-06119,ZAYO,80INFO,6371
18,AFO,EPIS,2020,30,6,517,68100000,7650,RSM INPLEMENTATION NETSUITE,RSM,80INFO,6810
19,AFO,EPIS,2020,10,7,518,63170000,1476,BIOMEDICINSURE 01/0420-30/01/22,BIOMEDI1,821732,T6317
20,AET,EPIS,2020,22,7,43,61200000,5356.46,SALARIES SHEILA 03/01/-12/31/19,HARVARD,80S164,6120
21,AET,EPIS,2020,22,7,43,63101000,428.52,OVERHEAD SHEILA  03/01/-12/31/19,HARVARD,80GENE,6310
