rownames,session_id,collaborator_id,event_id,event_start_date,event_type,SalaireMois,ETP01,ETP02,ETP03,ETP04,ETP05,ETP06,ETP07,ETP08,ETP09,ETP10,ETP11,ETP12,ETP,Salaire13,PrimePrecarite,CongesCDD,ChargesSocialesPourcent,CoutTotalAnnuel,user_comments,comments,credte,upduser_id,PrecariteActive
1,2,1,0,2014-01-01,DefaultPeriod,2906,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
2,2,2,0,2014-01-01,DefaultPeriod,3568.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.608,0,,,2013-11-20 ,60,
3,2,3,0,2014-01-01,DefaultPeriod,4017.79,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
4,2,4,0,2014-01-01,DefaultPeriod,4203.91,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
5,2,7,0,2014-01-01,DefaultPeriod,6531,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
6,2,8,0,2014-01-01,DefaultPeriod,4179,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
7,2,9,0,2014-01-01,DefaultPeriod,4373.75,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
8,2,10,0,2014-01-01,DefaultPeriod,3861.78,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
9,2,11,0,2014-01-01,DefaultPeriod,3939.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
10,2,12,0,2014-01-01,DefaultPeriod,6609.23,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.608,0,,,2013-11-20 ,60,
11,2,16,0,2014-01-01,DefaultPeriod,2727.06,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
12,2,17,0,2014-01-01,DefaultPeriod,4203.91,1,1,1,1,1,1,1,1,1,1,1,0,0.9166666666666666,0,0,0,0.608,0,,,2013-11-20 ,60,
13,2,18,0,2014-01-01,DefaultPeriod,4757.97,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
14,2,19,0,2014-01-01,DefaultPeriod,6458.45,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
15,2,20,0,2014-01-01,DefaultPeriod,4017.79,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
16,2,21,0,2014-01-01,DefaultPeriod,4373.75,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
17,2,22,0,2014-01-01,DefaultPeriod,4373.75,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7999999999999999,0,0,0,0.608,0,,,2013-11-20 ,60,
18,2,23,0,2014-01-01,DefaultPeriod,4373.75,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
19,2,24,0,2014-01-01,DefaultPeriod,4573.21,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
20,2,26,0,2014-01-01,DefaultPeriod,3939.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
21,2,28,0,2014-01-01,DefaultPeriod,3861.78,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
22,2,29,0,2014-01-01,DefaultPeriod,5603.53,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
23,2,31,0,2014-01-01,DefaultPeriod,3939.01,1,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0,0,0,0.608,0,,,2013-11-20 ,60,
24,2,33,0,2014-01-01,DefaultPeriod,5603.53,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
25,2,34,0,2014-01-01,DefaultPeriod,4203.91,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
26,2,36,0,2014-01-01,DefaultPeriod,8558.67,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
27,2,37,0,2014-01-01,DefaultPeriod,6530.82,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
28,2,38,0,2014-01-01,DefaultPeriod,3939.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
29,2,39,0,2014-01-01,DefaultPeriod,2972.2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
30,2,42,0,2014-01-01,DefaultPeriod,5603.53,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
31,2,43,0,2014-01-01,DefaultPeriod,4017.79,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
32,2,44,0,2014-01-01,DefaultPeriod,4287.99,1,1,1,1,1,0,0,0,0,0,0,0,0.4166666666666667,0,0,0,0.608,0,,,2013-11-20 ,60,
33,2,45,0,2014-01-01,DefaultPeriod,3939.01,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
34,2,46,0,2014-01-01,DefaultPeriod,4203.91,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
35,2,47,0,2014-01-01,DefaultPeriod,4017.79,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5999999999999999,0,0,0,0.608,0,,,2013-11-20 ,60,
36,2,48,0,2014-01-01,DefaultPeriod,3861.78,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
37,2,49,0,2014-01-01,DefaultPeriod,3861.78,1,1,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.608,0,,,2013-11-20 ,60,
38,2,50,0,2014-01-01,DefaultPeriod,4340,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
39,2,51,0,2014-01-01,DefaultPeriod,7321.54,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
40,2,52,0,2014-01-01,DefaultPeriod,5603.53,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
41,2,53,0,2014-01-01,DefaultPeriod,4307.96,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
42,2,54,0,2014-01-01,DefaultPeriod,3383.85,1,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0,0,0,0.608,0,,,2013-11-20 ,60,
43,2,55,0,2014-01-01,DefaultPeriod,4516.3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
44,2,56,0,2014-01-01,DefaultPeriod,2727.06,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
45,2,57,0,2014-01-01,DefaultPeriod,3175.66,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
46,2,58,0,2014-01-01,DefaultPeriod,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
47,2,59,0,2014-01-01,DefaultPeriod,6530.82,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
48,2,17,0,2014-12-01,Promotion,4287.99,0,0,0,0,0,0,0,0,0,0,0,1,0.08333333333333333,0,0,0,0.608,0,,,2013-11-20 ,60,
49,2,31,0,2014-02-22,Promotion,4017.79,0,1,1,1,1,1,1,1,1,1,1,1,0.9166666666666666,0,0,0,0.608,0,,,2013-11-20 ,60,
50,2,44,0,2014-06-01,Promotion,4373.75,0,0,0,0,0,1,1,1,1,1,1,1,0.5833333333333334,0,0,0,0.608,0,,,2013-11-20 ,60,
51,2,49,0,2014-04-01,Promotion,3939.01,0,0,0,1,1,1,1,1,1,1,1,1,0.75,0,0,0,0.608,0,,,2013-11-20 ,60,
52,2,54,0,2014-02-20,Promotion,3516.58,0,1,1,1,1,1,1,1,1,1,1,1,0.9166666666666666,0,0,0,0.608,0,,,2013-11-20 ,60,
53,2,61,0,2005-11-07,DefaultPeriod,2548.09,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-11-20 ,60,
54,2,36,0,2014-01-01,DefaultPeriod,8558.67,1,1,1,1,1,1,1,1,0,0,0,0,0.6666666666666666,0,0,0,0.608,0,,,2013-12-04 ,60,
55,2,48,0,2014-01-01,DefaultPeriod,3861.78,1,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,0,0,0.608,0,,,2013-12-04 ,60,
56,2,51,0,2014-01-01,DefaultPeriod,7321.54,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2916666666666667,0,0,0,0.608,0,,,2013-12-04 ,60,
57,2,61,0,2014-01-01,DefaultPeriod,2548.09,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,0,,,2013-12-04 ,60,
58,2,58,0,2014-06-01,Promotion,3175.66,0,0,0,0,0,1,1,1,1,1,1,1,0.5833333333333334,0,0,0,0.608,0,,,2013-12-04 ,60,
