rownames,article_id,created,modified,code,editable_price,created_by_id,last_modification_by_id,fiscal_burden_nature_id,measure_unit_id,text_fr,text_en
1,1,2013-11-08 ,2013-11-08 ,AR1,1,,,11,4,Billet d'avion (international),Plane ticket (international)
2,2,2013-11-08 ,2013-11-08 ,AR2,1,,,11,4,Taxi,Taxi
3,3,2013-11-08 ,2013-11-08 ,AR3,1,,,11,4,Visa,Visa
4,4,2013-11-08 ,2013-11-08 ,AR4,1,,,22,4,Permis de travail,Work permit
5,5,2013-11-08 ,2013-11-08 ,AR5,1,,,22,4,Perdiem,Perdiem
6,6,2013-11-08 ,2013-11-08 ,AR6,1,,,22,4,Frais de scolarité,School fees
7,7,2013-11-08 ,2013-11-08 ,AR7,1,,,22,4,Formation,Training
8,8,2013-11-08 ,2013-11-08 ,AR8,1,,,12,2,Location maison,Rent house
9,9,2013-11-08 ,2013-11-08 ,AR9,1,,,14,2,Eau,Water
10,10,2013-11-08 ,2013-11-08 ,AR10,1,,,14,2,Electricité,Electricity
11,11,2013-11-08 ,2013-11-26 ,AR11,1,,60,5,4,Equipement maison,House equipment
12,12,2013-11-08 ,2013-11-08 ,AR12,1,,,13,4,Petites réparations et entretien maison,House maintenance and reparations
13,13,2013-11-08 ,2013-11-08 ,AR13,1,,,16,,Assurance des locaux,Insurance of premises
14,14,2013-11-08 ,2013-12-03 ,AR14,1,,60,5,4,Générateur,Generator
15,15,2013-11-08 ,2013-11-08 ,AR15,1,,,22,2,Couverture médicale,Health coverage
16,16,2013-11-08 ,2013-11-08 ,AR16,1,,,12,2,Location entrepôt,Warehouse rent
17,17,2013-11-08 ,2013-11-08 ,AR17,1,,,6,4,Papeterie,Stationary
18,18,2013-11-08 ,2013-11-08 ,AR18,1,,,6,4,Impressions,Printings
19,19,2013-11-08 ,2013-11-08 ,AR19,1,,,5,4,Mobilier de bureau,Office furniture
20,20,2013-11-08 ,2013-11-08 ,AR20,1,,,6,4,Toner,Tonar
21,21,2013-11-08 ,2013-11-08 ,AR21,1,,,5,2,Matériel téléphonique,Telephone equipment
22,22,2013-11-08 ,2013-11-08 ,AR22,1,,,15,2,Internet,Internet
23,23,2013-11-08 ,2013-11-08 ,AR23,1,,,15,4,Communication téléphonique,Phone communication
24,24,2013-11-08 ,2013-11-08 ,AR24,1,,,5,4,Ordinateur portable,Laptop
25,25,2013-11-08 ,2013-11-08 ,AR25,1,,,5,4,Ordinateur de bureau,Desktop
26,26,2013-11-08 ,2013-11-08 ,AR26,1,,,5,4,Serveur,Server
27,27,2013-11-08 ,2013-11-08 ,AR27,1,,,5,4,Projecteur,Projector
28,28,2013-11-08 ,2013-11-08 ,AR28,1,,,6,4,Petit matériel informatique (usb  souris  sac ),Small equipments (usb key  mouse  bag..)
29,29,2013-11-08 ,2013-11-08 ,AR29,1,,,5,4,Batterie ordinateur,Computer battery
30,30,2013-11-08 ,2013-11-08 ,AR30,1,,,5,4,Modem,Modem
31,31,2013-11-08 ,2013-11-08 ,AR31,1,,,5,4,Imprimante,Printer
32,32,2013-11-08 ,2013-11-08 ,AR32,1,,,5,4,Scanner,Scanner
33,33,2013-11-08 ,2013-11-08 ,AR33,1,,,19,4,Frais bancaires,Bank fees
34,34,2013-11-08 ,2013-11-08 ,AR34,1,,,18,4,Frais de représentation,Representation expenses
35,35,2013-11-08 ,2013-11-08 ,AR35,1,,,18,4,Conférence,Conference
36,36,2013-11-08 ,2013-11-08 ,AR36,1,,,2,4,Réfrigérateur,Fridge
37,37,2013-11-08 ,2013-11-08 ,AR37,1,,,2,4,Congélateur,Freezer
38,38,2013-11-08 ,2013-11-08 ,AR38,1,,,4,4,Extincteur,Extinguisher
39,39,2013-11-08 ,2013-11-08 ,AR39,1,,,13,4,Entretien générateur,Generator maintenance
