rownames,session_id,collaborator_id,event_id,event_start_date,event_type,SalaireMois,ETP01,ETP02,ETP03,ETP04,ETP05,ETP06,ETP07,ETP08,ETP09,ETP10,ETP11,ETP12,ETP,Salaire13,PrimePrecarite,CongesCDD,ChargesSocialesPourcent,CoutTotalAnnuel,user_comments,comments,credte,creuser_id,upddte,upduser_id,PrecariteActive
1,2,1,0,2014-01-01,DefaultPeriod,3188.26,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.299,49698.6,,,2013-11-20 ,60,2014-03-25 ,65,0
2,2,2,0,2014-01-01,DefaultPeriod,3568.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.46,1650.44,2145.57,2671.47,0.608,42246.52,,,2013-11-20 ,60,2014-03-25 ,65,1
3,2,3,0,2014-01-01,DefaultPeriod,4017.79,1,1,1,1,1,1,1,1,1,1,1,1,1,4057.97,0,0,0.608,84827.76,,,2013-11-20 ,60,2014-03-25 ,65,0
4,2,4,0,2014-01-01,DefaultPeriod,4573.21,1,1,1,1,1,1,1,1,1,1,1,1,1,4618.94,0,0,0.608,96554.37,,,2013-11-20 ,60,2014-03-25 ,65,0
5,2,7,0,2014-01-01,DefaultPeriod,6531,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.2,47023.2,,,2013-11-20 ,60,2014-03-25 ,65,0
6,2,8,0,2014-01-01,DefaultPeriod,4262.82,1,1,0,0,0,0,0,0,1,1,1,1,0.5,2131.41,0,0,0.346,37295.41,,,2013-11-20 ,60,2014-03-25 ,65,0
7,2,9,0,2014-01-01,DefaultPeriod,4373.75,1,1,1,1,1,1,1,1,1,1,1,1,1,4417.49,0,0,0.608,92343.16,,,2013-11-20 ,60,2014-03-25 ,65,0
8,2,10,0,2014-01-01,DefaultPeriod,3861.78,1,1,1,1,1,1,1,1,1,1,1,1,1,3900.4,5070.52,6313.35,0.608,99839.18,,,2013-11-20 ,60,2014-03-25 ,65,1
9,2,11,0,2014-01-01,DefaultPeriod,4203.91,1,1,1,1,1,1,1,1,1,1,1,1,1,4245.95,0,0,0.608,88757.32,,,2013-11-20 ,60,2014-03-25 ,65,0
10,2,12,0,2014-01-01,DefaultPeriod,6609.23,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,127531.7,,,2013-11-20 ,60,2014-03-25 ,65,0
11,2,16,0,2014-01-01,DefaultPeriod,2929.28,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,2366.86,0,0,0.608,49476.81,,,2013-11-20 ,60,2014-03-25 ,65,0
12,2,17,0,2014-01-01,DefaultPeriod,4203.91,1,1,1,1,1,1,1,1,1,1,1,0,0.92,3888.62,0,0,0.608,81287.65,,,2013-11-20 ,60,2014-03-25 ,65,0
13,2,17,0,2014-12-01,Promotion,4287.99,0,0,0,0,0,0,0,0,0,0,0,1,0.08,364.48,0,0,0.608,7619.07,,,2013-11-20 ,60,2014-03-25 ,65,0
14,2,18,0,2014-01-01,DefaultPeriod,4757.97,1,1,1,1,1,1,1,1,1,1,1,1,1,4805.55,0,0,0.608,100455.22,,,2013-11-20 ,60,2014-03-25 ,65,0
15,2,19,0,2014-01-01,DefaultPeriod,6458.45,1,1,1,1,1,1,1,1,1,1,1,1,1,6523.03,0,0,0.608,136357.5,,,2013-11-20 ,60,2014-03-25 ,65,0
16,2,20,0,2014-01-01,DefaultPeriod,4017.79,1,1,1,1,1,1,1,1,1,1,1,1,1,4057.97,0,0,0.608,84827.76,,,2013-11-20 ,60,2014-03-25 ,65,0
17,2,21,0,2014-01-01,DefaultPeriod,4373.75,1,1,1,1,1,1,1,1,1,1,1,1,1,4417.49,0,0,0.608,92343.16,,,2013-11-20 ,60,2014-03-25 ,65,0
18,2,22,0,2014-01-01,DefaultPeriod,4373.75,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,3533.99,0,0,0.608,73874.53,,,2013-11-20 ,60,2014-03-25 ,65,0
19,2,23,0,2014-01-01,DefaultPeriod,4373.75,1,1,1,1,1,1,1,1,1,1,1,1,1,4417.49,0,0,0.608,92343.16,,,2013-11-20 ,60,2014-03-25 ,65,0
20,2,24,0,2014-01-01,DefaultPeriod,4573.21,1,1,1,1,1,1,1,1,1,1,1,1,1,4618.94,0,0,0.608,96554.37,,,2013-11-20 ,60,2014-03-25 ,65,0
21,2,25,0,2014-01-01,DefaultPeriod,4643.23,1,1,1,1,1,1,1,1,1,1,1,1,1,4643.23,0,0,0.346,81247.24,,,2013-12-06 ,60,2014-03-25 ,65,0
22,2,26,0,2014-01-01,DefaultPeriod,4203.91,1,1,1,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.78,3287.46,0,0,0.608,68721.02,a verifier avec nathalie,,2013-11-20 ,60,2014-03-25 ,65,0
23,2,27,0,2014-01-01,DefaultPeriod,4203.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,passage msf,,2013-12-09 ,60,2014-03-25 ,65,0
24,2,28,0,2014-01-01,DefaultPeriod,3861.78,1,1,1,1,1,1,1,1,1,1,1,1,1,3900.4,0,0,0.608,81533.91,,,2013-11-20 ,60,2014-03-25 ,65,0
25,2,29,0,2014-01-01,DefaultPeriod,5603.53,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2829.78,0,0,0.608,59153.77,dansla capicité à faire à 100%,,2013-11-20 ,60,2014-03-25 ,65,0
26,2,31,0,2014-01-01,DefaultPeriod,3939.01,1,0,0,0,0,0,0,0,0,0,0,0,0.08,328.25,0,0,0.608,6861.75,,,2013-11-20 ,60,2014-03-25 ,65,0
27,2,31,0,2014-02-22,Promotion,4017.79,0,1,1,1,1,1,1,1,1,1,1,1,0.92,3723.15,0,0,0.608,77828.76,,,2013-11-20 ,60,2014-03-25 ,65,0
28,2,32,0,2014-01-01,DefaultPeriod,4664.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,,,2013-12-09 ,60,2014-03-25 ,65,0
29,2,33,0,2014-01-01,DefaultPeriod,5603.53,1,1,1,1,1,1,1,1,1,1,1,1,1,5659.56,0,0,0.608,118307.54,,,2013-11-20 ,60,2014-03-25 ,65,0
30,2,34,0,2014-01-01,DefaultPeriod,4203.91,1,1,1,1,1,1,1,1,1,1,1,1,1,4245.95,0,0,0.608,88757.32,,,2013-11-20 ,60,2014-03-25 ,65,0
31,2,36,0,2014-01-01,DefaultPeriod,8558.67,1,1,1,1,1,1,1,1,0,0,0,0,0.67,0,0,0,0.608,110098.73,,,2013-11-20 ,60,2014-03-25 ,65,0
32,2,37,0,2014-01-01,DefaultPeriod,6530.82,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.2,94043.81,,,2013-11-20 ,60,2014-03-25 ,65,0
33,2,38,0,2014-01-01,DefaultPeriod,3939.01,1,1,1,1,1,1,1,1,1,1,1,1,1,3978.4,0,0,0.608,83164.47,,,2013-11-20 ,60,2014-03-25 ,65,0
34,2,39,0,2014-01-01,DefaultPeriod,3939.01,1,1,1,0,0,0,0,0,0,1,1,1,0.5,1989.2,2585.96,3219.81,0.608,50917.91,,,2013-11-20 ,60,2014-03-25 ,65,1
35,2,42,0,2014-01-01,DefaultPeriod,5603.53,1,1,1,1,1,1,1,1,1,1,1,1,1,5659.56,0,0,0.608,118307.54,,,2013-11-20 ,60,2014-03-25 ,65,0
36,2,43,0,2014-01-01,DefaultPeriod,4017.79,1,1,1,1,1,1,1,1,1,1,1,1,1,4057.97,0,0,0.608,84827.76,,,2013-11-20 ,60,2014-03-25 ,65,0
37,2,44,0,2014-01-01,DefaultPeriod,4287.99,1,1,1,1,0,0,0,0,0,0,0,0,0.33,1429.33,0,0,0.608,29878.71,,,2013-11-20 ,60,2014-03-25 ,65,0
38,2,44,0,2014-06-01,Promotion,4373.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,,,2013-11-20 ,60,2014-03-25 ,65,0
39,2,45,0,2014-01-01,DefaultPeriod,3939.01,1,1,1,1,1,1,1,1,1,1,1,1,1,3978.4,0,0,0.608,83164.47,Ne pas compter dans la capacité à faire et ijss,,2013-11-20 ,60,2014-03-25 ,65,0
40,2,46,0,2014-01-01,DefaultPeriod,4573.21,1,1,1,1,1,1,1,1,1,1,1,1,1,4618.94,0,0,0.608,96554.37,,,2013-11-20 ,60,2014-03-25 ,65,0
41,2,47,0,2014-01-01,DefaultPeriod,4017.79,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,2759.42,0,0,0.608,57682.88,,,2013-11-20 ,60,2014-03-25 ,65,0
42,2,48,0,2014-01-01,DefaultPeriod,3861.78,1,1,0,0,0,0,0,0,0,0,0,0,0.17,643.63,836.72,1041.81,0.608,16475.12,,,2013-11-20 ,60,2014-03-25 ,65,1
43,2,49,0,2014-01-01,DefaultPeriod,3861.78,1,1,1,0,0,0,0,0,0,0,0,0,0.25,965.45,0,0,0.608,20181.67,,,2013-11-20 ,60,2014-03-25 ,65,0
44,2,49,0,2014-04-01,Promotion,3939.01,0,0,0,1,1,1,1,1,1,1,1,1,0.75,2993.65,0,0,0.608,62579.21,,,2013-11-20 ,60,2014-03-25 ,65,0
45,2,50,0,2014-01-01,DefaultPeriod,4340,1,1,1,1,1,1,1,1,1,1,1,1,1,4340,5642,7024.91,0.608,111091.75,,,2013-11-20 ,60,2014-03-25 ,65,1
46,2,51,0,2014-01-01,DefaultPeriod,7321.54,0,0,0,0,0,1,1,0,0,0,0,0,0.17,0,0,0,0.2,17571.7,voir avec jf,,2013-11-20 ,60,2014-03-25 ,65,0
47,2,52,0,2014-01-01,DefaultPeriod,5603.53,1,1,1,1,1,1,1,1,1,1,1,1,1,5659.56,0,0,0.608,118307.54,,,2013-11-20 ,60,2014-03-25 ,65,0
48,2,53,0,2014-01-01,DefaultPeriod,4307.96,1,1,1,1,1,1,1,1,1,1,1,1,1,4351.04,0,0,0.608,90954.14,,,2013-11-20 ,60,2014-03-25 ,65,0
49,2,54,0,2014-01-01,DefaultPeriod,3383.85,1,0,0,0,0,0,0,0,0,0,0,0,0.08,281.99,0,0,0.608,5894.67,,,2013-11-20 ,60,2014-03-25 ,65,0
50,2,54,0,2014-02-20,Promotion,3516.58,0,1,1,1,1,1,1,1,1,1,1,1,0.92,3258.7,0,0,0.608,68119.82,,,2013-11-20 ,60,2014-03-25 ,65,0
51,2,55,0,2014-01-01,DefaultPeriod,4516.3,1,1,1,1,1,1,1,1,1,1,1,1,1,4561.46,0,0,0.608,95352.82,,,2013-11-20 ,60,2014-03-25 ,65,0
52,2,56,0,2014-01-01,DefaultPeriod,2727.06,1,1,1,1,1,1,1,1,1,1,1,1,1,2754.33,0,0,0.608,57576.53,,,2013-11-20 ,60,2014-03-25 ,65,0
53,2,57,0,2014-01-01,DefaultPeriod,3175.66,1,1,1,1,1,1,1,1,1,1,1,1,1,3207.42,0,0,0.608,67047.84,,,2013-11-20 ,60,2014-03-25 ,65,0
54,2,58,0,2014-01-01,DefaultPeriod,3175.66,1,1,1,1,1,1,1,1,1,1,1,1,1,3207.42,0,0,0.608,67047.84,,,2013-11-20 ,60,2014-03-25 ,65,0
55,2,59,0,2014-01-01,DefaultPeriod,6530.82,1,1,1,1,1,1,1,0,0,0,0,0,0.58,0,4952.54,6166.46,0.2,68201.69,,,2013-11-20 ,60,2014-03-25 ,65,1
56,2,61,0,2014-01-01,DefaultPeriod,2548.09,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,49659.62,,,2013-12-04 ,60,2014-03-25 ,65,0
57,2,62,0,2014-01-01,DefaultPeriod,2727.06,1,1,1,1,1,1,1,1,1,1,1,1,1,2754.33,0,0,0.608,57576.53,,,2014-01-02 ,60,2014-03-25 ,65,0
58,2,63,0,2014-01-01,DefaultPeriod,2727.06,1,1,1,1,1,1,1,1,1,1,1,1,1,2754.33,0,0,0.608,57576.53,,,2014-01-02 ,60,2014-03-25 ,65,0
59,2,64,0,2014-04-01,DefaultPeriod,3568.5118,0,0,0,1,1,1,1,1,1,1,1,1,0.75,2712.07,0,0,0.608,56693.1,,,2014-01-29 ,60,2014-03-25 ,65,0
60,5,1,0,2014-01-01,DefaultPeriod,3188.26,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.299,49698.6,,,2014-05-30 ,60,2014-05-30 ,60,0
61,5,2,0,2014-01-01,DefaultPeriod,3568.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.46,1643,2135.9,2659.43,0.608,42056.19,,,2014-05-30 ,60,2014-06-02 ,60,1
62,5,3,0,2014-01-01,DefaultPeriod,4017.79,1,1,1,1,1,1,1,1,1,1,1,1,1,4037.88,0,0,0.608,84407.83,,,2014-05-30 ,60,2014-06-02 ,60,0
63,5,4,0,2014-01-01,DefaultPeriod,4573.21,1,1,1,1,1,1,1,1,1,1,1,1,1,4596.08,0,0,0.608,96076.38,,,2014-05-30 ,60,2014-06-02 ,60,0
64,5,7,0,2014-01-01,DefaultPeriod,6531,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.2,47023.2,,,2014-05-30 ,60,2014-05-30 ,60,0
65,5,8,0,2014-01-01,DefaultPeriod,4262.82,1,1,0,0,0,0,0,0,1,1,1,1,0.5,2131.41,0,0,0.346,37295.41,,,2014-05-30 ,60,2014-05-30 ,60,0
66,5,9,0,2014-01-01,DefaultPeriod,4373.75,1,1,1,1,1,1,1,1,1,1,1,1,1,4395.62,0,0,0.608,91886.02,,,2014-05-30 ,60,2014-06-02 ,60,0
67,5,10,0,2014-01-01,DefaultPeriod,3861.78,1,1,1,1,1,1,1,1,1,1,1,1,1,3881.09,5045.42,6282.1,0.608,99344.94,,,2014-05-30 ,60,2014-06-02 ,60,1
68,5,11,0,2014-01-01,DefaultPeriod,4203.91,1,1,1,1,1,1,1,1,1,1,1,1,1,4224.93,0,0,0.608,88317.92,,,2014-05-30 ,60,2014-06-02 ,60,0
69,5,12,0,2014-01-01,DefaultPeriod,6609.23,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,127531.7,,,2014-05-30 ,60,2014-05-30 ,60,0
70,5,16,0,2014-01-01,DefaultPeriod,2929.28,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,2355.14,0,0,0.608,49231.86,,,2014-05-30 ,60,2014-06-02 ,60,0
71,5,17,0,2014-01-01,DefaultPeriod,4203.91,1,1,1,1,1,1,1,1,1,1,1,0,0.92,3871.1,0,0,0.608,80921.49,,,2014-05-30 ,60,2014-06-02 ,60,0
72,5,17,0,2014-12-01,Promotion,4287.99,0,0,0,0,0,0,0,0,0,0,0,1,0.08,360.91,0,0,0.608,7544.38,,,2014-05-30 ,60,2014-06-02 ,60,0
73,5,18,0,2014-01-01,DefaultPeriod,4757.97,1,1,1,1,1,1,1,1,1,1,1,1,1,4781.76,0,0,0.608,99957.91,,,2014-05-30 ,60,2014-06-02 ,60,0
74,5,19,0,2014-01-01,DefaultPeriod,6458.45,1,1,1,1,1,1,1,1,1,1,1,1,1,6490.74,0,0,0.608,135682.48,,,2014-05-30 ,60,2014-06-02 ,60,0
75,5,20,0,2014-01-01,DefaultPeriod,4017.79,1,1,1,1,1,1,1,1,1,1,1,1,1,4037.88,0,0,0.608,84407.83,,,2014-05-30 ,60,2014-06-02 ,60,0
76,5,21,0,2014-01-01,DefaultPeriod,4373.75,1,1,1,1,1,1,1,1,1,1,1,1,1,4395.62,0,0,0.608,91886.02,,,2014-05-30 ,60,2014-06-02 ,60,0
77,5,22,0,2014-01-01,DefaultPeriod,4373.75,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,3516.5,0,0,0.608,73508.82,,,2014-05-30 ,60,2014-06-02 ,60,0
78,5,23,0,2014-01-01,DefaultPeriod,4373.75,1,1,1,1,1,1,1,1,1,1,1,1,1,4395.62,0,0,0.608,91886.02,,,2014-05-30 ,60,2014-06-02 ,60,0
79,5,24,0,2014-01-01,DefaultPeriod,4573.21,1,1,1,1,1,1,1,1,1,1,1,1,1,4596.08,0,0,0.608,96076.38,,,2014-05-30 ,60,2014-06-02 ,60,0
80,5,25,0,2014-01-01,DefaultPeriod,4643.23,1,1,1,1,1,1,1,1,1,1,1,1,1,4643.23,0,0,0.346,81247.24,,,2014-05-30 ,60,2014-05-30 ,60,0
81,5,26,0,2014-01-01,DefaultPeriod,4203.91,1,1,1,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.78,3272.74,0,0,0.608,68413.44,a verifier avec nathalie,,2014-05-30 ,60,2014-06-02 ,60,0
82,5,27,0,2014-01-01,DefaultPeriod,4203.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,passage msf,,2014-05-30 ,60,2014-05-30 ,60,0
83,5,28,0,2014-01-01,DefaultPeriod,3861.78,1,1,1,1,1,1,1,1,1,1,1,1,1,3881.09,0,0,0.608,81130.29,,,2014-05-30 ,60,2014-06-02 ,60,0
84,5,29,0,2014-01-01,DefaultPeriod,5603.53,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2815.77,0,0,0.608,58860.94,dansla capicité à faire à 100%,,2014-05-30 ,60,2014-06-02 ,60,0
85,5,31,0,2014-01-01,DefaultPeriod,3939.01,1,0,0,0,0,0,0,0,0,0,0,0,0.08,328.25,0,0,0.608,6861.75,,,2014-05-30 ,60,2014-05-30 ,60,0
86,5,31,0,2014-02-22,Promotion,4017.79,0,1,1,1,1,1,1,1,1,1,1,1,0.92,3703.06,0,0,0.608,77408.83,,,2014-05-30 ,60,2014-06-02 ,60,0
87,5,32,0,2014-01-01,DefaultPeriod,4664.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,,,2014-05-30 ,60,2014-05-30 ,60,0
88,5,33,0,2014-01-01,DefaultPeriod,5603.53,1,1,1,1,1,1,1,1,1,1,1,1,1,5631.55,0,0,0.608,117721.87,,,2014-05-30 ,60,2014-06-02 ,60,0
89,5,34,0,2014-01-01,DefaultPeriod,4203.91,1,1,1,1,1,1,1,1,1,1,1,1,1,4224.93,0,0,0.608,88317.92,,,2014-05-30 ,60,2014-06-02 ,60,0
90,5,36,0,2014-01-01,DefaultPeriod,8558.67,1,1,1,1,1,1,1,1,0,0,0,0,0.67,0,0,0,0.608,110098.73,,,2014-05-30 ,60,2014-05-30 ,60,0
91,5,37,0,2014-01-01,DefaultPeriod,6530.82,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.2,94043.81,,,2014-05-30 ,60,2014-05-30 ,60,0
92,5,38,0,2014-01-01,DefaultPeriod,3939.01,1,1,1,1,1,1,1,1,1,1,1,1,1,3958.7,0,0,0.608,82752.76,,,2014-05-30 ,60,2014-06-02 ,60,0
93,5,39,0,2014-01-01,DefaultPeriod,3939.01,1,1,1,0,0,0,0,0,0,1,1,1,0.5,1979.35,2573.16,3203.87,0.608,50665.84,,,2014-05-30 ,60,2014-06-02 ,60,1
94,5,42,0,2014-01-01,DefaultPeriod,5603.53,1,1,1,1,1,1,1,1,1,1,1,1,1,5631.55,0,0,0.608,117721.87,,,2014-05-30 ,60,2014-06-02 ,60,0
95,5,43,0,2014-01-01,DefaultPeriod,4017.79,1,1,1,1,1,1,1,1,1,1,1,1,1,4037.88,0,0,0.608,84407.83,,,2014-05-30 ,60,2014-06-02 ,60,0
96,5,44,0,2014-01-01,DefaultPeriod,4287.99,1,1,1,1,0,0,0,0,0,0,0,0,0.33,1429.33,0,0,0.608,29878.71,,,2014-05-30 ,60,2014-05-30 ,60,0
97,5,44,0,2014-06-01,Promotion,4373.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,,,2014-05-30 ,60,2014-05-30 ,60,0
98,5,45,0,2014-01-01,DefaultPeriod,3939.01,1,1,1,1,1,1,1,1,1,1,1,1,1,3958.7,0,0,0.608,82752.76,Ne pas compter dans la capacité à faire et ijss,,2014-05-30 ,60,2014-06-02 ,60,0
99,5,46,0,2014-01-01,DefaultPeriod,4573.21,1,1,1,1,1,1,1,1,1,1,1,1,1,4596.08,0,0,0.608,96076.38,,,2014-05-30 ,60,2014-06-02 ,60,0
100,5,47,0,2014-01-01,DefaultPeriod,4017.79,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,2745.76,0,0,0.608,57397.32,,,2014-05-30 ,60,2014-06-02 ,60,0
101,5,48,0,2014-01-01,DefaultPeriod,3861.78,1,1,0,0,0,0,0,0,0,0,0,0,0.17,643.63,836.72,1041.81,0.608,16475.12,,,2014-05-30 ,60,2014-05-30 ,60,1
102,5,49,0,2014-01-01,DefaultPeriod,3861.78,1,1,1,0,0,0,0,0,0,0,0,0,0.25,965.45,0,0,0.608,20181.67,,,2014-05-30 ,60,2014-05-30 ,60,0
103,5,49,0,2014-04-01,Promotion,3939.01,0,0,0,1,1,1,1,1,1,1,1,1,0.75,2973.95,0,0,0.608,62167.5,,,2014-05-30 ,60,2014-06-02 ,60,0
104,5,50,0,2014-01-01,DefaultPeriod,4340,1,1,1,1,1,1,1,1,1,1,1,1,1,4340,5642,7024.91,0.608,111091.75,,,2014-05-30 ,60,2014-05-30 ,60,1
105,5,51,0,2014-01-01,DefaultPeriod,7321.54,0,0,0,0,0,1,1,0,0,0,0,0,0.17,0,0,0,0.2,17571.7,voir avec jf,,2014-05-30 ,60,2014-05-30 ,60,0
106,5,52,0,2014-01-01,DefaultPeriod,5603.53,1,1,1,1,1,1,1,1,1,1,1,1,1,5631.55,0,0,0.608,117721.87,,,2014-05-30 ,60,2014-06-02 ,60,0
107,5,53,0,2014-01-01,DefaultPeriod,4307.96,1,1,1,1,1,1,1,1,1,1,1,1,1,4329.5,0,0,0.608,90503.87,,,2014-05-30 ,60,2014-06-02 ,60,0
108,5,54,0,2014-01-01,DefaultPeriod,3383.85,1,0,0,0,0,0,0,0,0,0,0,0,0.08,281.99,0,0,0.608,5894.67,,,2014-05-30 ,60,2014-05-30 ,60,0
109,5,54,0,2014-02-20,Promotion,3516.58,0,1,1,1,1,1,1,1,1,1,1,1,0.92,3241.11,0,0,0.608,67752.24,,,2014-05-30 ,60,2014-06-02 ,60,0
110,5,55,0,2014-01-01,DefaultPeriod,4516.3,1,1,1,1,1,1,1,1,1,1,1,1,1,4538.88,0,0,0.608,94880.78,,,2014-05-30 ,60,2014-06-02 ,60,0
111,5,56,0,2014-01-01,DefaultPeriod,2727.06,1,1,1,1,1,1,1,1,1,1,1,1,1,2740.69,0,0,0.608,57291.48,,,2014-05-30 ,60,2014-06-02 ,60,0
112,5,57,0,2014-01-01,DefaultPeriod,3175.66,1,1,1,1,1,1,1,1,1,1,1,1,1,3191.54,0,0,0.608,66715.92,,,2014-05-30 ,60,2014-06-02 ,60,0
113,5,58,0,2014-04-01,Promotion,3522.48,1,1,1,1,1,1,1,1,1,1,1,1,1,3540.09,0,0,0.608,74002.09,,,2014-06-02 ,60,2014-06-02 ,60,0
114,5,59,0,2014-01-01,DefaultPeriod,6530.82,1,1,1,1,1,1,1,0,0,0,0,0,0.58,0,4952.54,6166.46,0.2,68201.69,,,2014-05-30 ,60,2014-05-30 ,60,1
115,5,61,0,2014-01-01,DefaultPeriod,2548.09,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,49413.79,,,2014-05-30 ,60,2014-06-02 ,60,0
116,5,62,0,2014-01-01,DefaultPeriod,2727.06,1,1,1,1,1,1,1,1,1,1,1,1,1,2740.69,0,0,0.608,57291.48,,,2014-05-30 ,60,2014-06-02 ,60,0
117,5,63,0,2014-01-01,DefaultPeriod,2727.06,1,1,1,1,1,1,1,1,1,1,1,1,1,2740.69,0,0,0.608,57291.48,,,2014-05-30 ,60,2014-06-02 ,60,0
118,5,64,0,2014-04-01,DefaultPeriod,3568.5118,0,0,0,0,0,1,1,1,1,1,1,1,0.58,2099.47,0,0,0.608,43887.4,,,2014-05-30 ,60,2014-06-02 ,60,0
119,5,66,0,2014-04-01,DefaultPeriod,3568.51,0,0,0,1,1,0,0,0,0,0,0,0,0.17,594.75,773.18,962.69,0.608,15223.97,,,2014-06-02 ,60,2014-06-02 ,60,1
120,5,67,0,2014-04-14,DefaultPeriod,3568.51,0,0,0,1,1,0,0,0,0,0,0,0,0.17,594.75,773.18,962.69,0.608,15223.97,,,2014-06-02 ,60,2014-06-02 ,60,1
121,5,68,0,2014-04-07,DefaultPeriod,4203.91,0,0,0,1,1,0,0,0,0,0,0,0,0.17,700.65,910.85,1134.11,0.608,17934.72,,,2014-06-02 ,60,2014-06-02 ,60,1
122,5,69,0,2014-01-01,DefaultPeriod,3568.51,1,0,0,0,0,0,0,0,0,0,0,0,0.08,297.38,386.59,481.35,0.608,7612,,,2014-06-02 ,60,2014-06-02 ,60,1
123,5,70,0,2014-01-01,DefaultPeriod,3568.51,1,1,1,1,0,0,0,0,0,0,0,0,0.33,1189.5,1546.35,1925.38,0.608,30447.91,,,2014-06-02 ,60,2014-06-02 ,60,1
124,5,71,0,2014-02-24,DefaultPeriod,3568.51,0,1,1,1,1,0,0,0,0,0,0,0,0.33,1189.5,1546.35,1925.38,0.608,30447.91,,,2014-06-02 ,60,2014-06-02 ,60,1
125,5,72,0,2014-06-01,DefaultPeriod,3861.78,0,0,0,0,0,1,1,1,1,1,1,1,0.58,2272.01,2953.62,3677.58,0.608,58157.15,,,2014-06-02 ,60,2014-06-02 ,60,1
126,5,73,0,2014-06-01,DefaultPeriod,3861.78,0,0,0,0,0,1,1,1,1,1,1,1,0.58,2272.01,2953.62,3677.58,0.608,58157.15,,,2014-06-02 ,60,2014-06-02 ,60,1
127,5,74,0,2014-06-02,DefaultPeriod,874.56,0,0,0,0,0,1,1,1,1,1,1,1,0.58,0,0,0,0.608,9928.42,,,2014-06-02 ,60,2014-06-02 ,60,0
128,7,1,0,2014-01-01,DefaultPeriod,4068,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,48816,,,2014-07-01 ,60,2014-07-01 ,60,0
