rownames,session_id,project_id,event_id,article_id,named_aticle_id,theme_id,sub_theme_id,user_comments,event_year,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,qyear,unit_price,unit_price_cur,unit_price_eur,total_cost,real_total_cost,real_total_cost_manual,financer_id,is_in_accounting,comments,credte,upduser_id
1,1,273,4109e4c3-38ab-4ecb-a106-a188f81abedf,97,0,1,32,Jihane Ben Farhat,2014,40,0,0,0,0,0,0,0,0,0,0,0,0,40,830,EUR,830,33200,0,0,0,0,,2013-12-20 ,28
2,1,149,ee15ca34-810a-4dea-9f5d-d6158491daa4,97,0,1,32,,2014,15,0,0,0,0,0,0,0,0,0,0,0,0,15,830,EUR,830,12450,0,0,0,0,,2013-12-20 ,28
3,1,41,a0a1da6f-433f-4f66-ba68-ba99857909b9,1,0,2,2,,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1500,EUR,1500,1500,0,0,0,0,,2013-11-15 ,54
4,1,41,86b8f0a4-1f9a-4d23-915e-74b7bbfbac86,5,0,2,2,,2014,0,0,0,0,0,0,0,10,0,0,0,0,0,10,20,EUR,20,200,0,0,0,0,,2013-11-15 ,54
5,1,41,7b7b2750-23c4-4e30-becf-2dcd2a47569e,87,0,2,2,,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2000,EUR,2000,2000,0,0,0,0,,2013-11-15 ,54
6,1,41,e20ebd0b-2222-4083-9be5-257e95568304,97,0,2,2,,2014,3,3,2,2,2,2,2,0,0,0,0,0,0,16,409,EUR,409,6544,0,0,0,0,,2013-11-15 ,54
7,1,41,7a52bbdc-6e47-4df4-bfe9-8b0a91cd4643,97,0,1,1,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EUR,0,0,0,0,0,0,,2013-11-15 ,54
8,1,72,0ccafdfd-0ac4-48ef-8c4a-b122bf5fd7fd,1,0,1,1,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EUR,0,0,0,0,0,0,,2013-11-15 ,54
9,1,72,2758ff9f-be90-4d82-8a5c-8f142f326d8e,5,0,1,1,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EUR,0,0,0,0,0,0,,2013-11-15 ,54
10,1,72,22527c04-d2d2-467b-894e-b3a2ce5b7b88,35,0,1,1,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EUR,0,0,0,0,0,0,,2013-11-15 ,54
11,1,72,695490ed-2753-49fa-8fa2-551f74addc26,87,0,1,1,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EUR,0,0,0,0,0,0,,2013-11-15 ,54
12,1,72,affb2195-c7f5-4d40-90f3-1ecaf70bdb0c,97,0,2,2,,2014,3,3,3,3,3,0,0,0,0,0,0,0,0,15,409,EUR,409,6135,0,0,0,0,,2013-11-15 ,54
13,1,72,baf4ab17-2cd1-4c42-b6fb-26639978a457,1,0,2,2,,2014,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1000,EUR,1000,1000,0,0,0,0,,2013-11-15 ,54
14,1,72,5e58b7d9-9951-44f2-9ca8-508fa896b444,5,0,2,2,,2014,0,0,0,0,0,6,0,0,0,0,0,0,0,6,20,EUR,20,120,0,0,0,0,,2013-11-15 ,54
15,1,72,38c7d74d-d0d9-46a6-bea8-eb597296d66b,87,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,EUR,2000,0,0,0,0,0,,2013-11-15 ,54
16,1,72,b316bab0-6ec7-44b9-9fd4-a34a65add4b0,35,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1500,EUR,1500,3000,0,0,0,0,,2013-11-15 ,54
17,1,41,9ba7f0c8-b4ec-4680-9242-e0696c4b9d39,97,14,1,1,,2014,1,1,1,1,1,1,0,0,0,0,0,0,0,6,740,EUR,740,4440,0,0,0,0,,2013-11-15 ,54
18,1,41,49cba191-8c2d-4406-8a3c-92bc48adc783,97,38,1,1,,2014,5,5,5,0,0,0,0,5,5,0,0,0,0,25,740,EUR,740,18500,0,0,0,0,,2013-11-15 ,54
19,1,41,7e99f3b1-3c0c-43d4-beb7-bbdf53f7554a,97,54,1,1,,2014,0,0,0,0,0,0,0,0,5,10,10,2,0,27,740,EUR,740,19980,0,0,0,0,,2013-11-15 ,54
20,1,72,67907d78-121c-4747-94b5-87ed001dab24,97,25,1,1,,2014,0,1,1,1,1,6,0,0,0,0,0,0,0,10,0,EUR,0,0,0,0,0,0,,2013-11-15 ,54
21,1,72,0601f5ec-f948-4855-8602-2198bfe36c0e,97,54,1,1,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EUR,0,0,0,0,0,0,,2013-11-15 ,54
22,1,41,7a52bbdc-6e47-4df4-bfe9-8b0a91cd4643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deleted,2013-11-15 ,54
23,1,72,0ccafdfd-0ac4-48ef-8c4a-b122bf5fd7fd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deleted,2013-11-15 ,54
24,1,72,2758ff9f-be90-4d82-8a5c-8f142f326d8e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deleted,2013-11-15 ,54
25,1,72,22527c04-d2d2-467b-894e-b3a2ce5b7b88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deleted,2013-11-15 ,54
26,1,72,695490ed-2753-49fa-8fa2-551f74addc26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deleted,2013-11-15 ,54
27,1,53,98208251-3ee3-423a-8846-d61eabf75cda,8,63,2,2,,2014,1,1,1,1,1,0,0,0,0,0,0,0,0,5,1300,USD,990.09901,4950.5,0,0,0,0,,2013-11-18 ,55
28,1,53,1ce7718b-1725-49ff-b4ec-d47b38a21c4f,9,64,2,2,,2014,1,1,1,1,1,1,1,1,1,1,1,1,0,12,110000,UGX,32.254379,387.05,0,0,0,0,,2013-11-18 ,55
29,1,53,e14db9a5-ac3b-4d47-a6de-5669f9dcb2b4,10,65,2,2,,2014,1,1,1,1,1,1,1,1,1,1,1,1,0,12,330000,UGX,96.763138,1161.16,0,0,0,0,,2013-11-18 ,55
30,1,53,991f75e3-6262-4f02-92f0-60afa9222d06,11,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
31,1,53,9f088bad-8a0e-4d83-b7d6-a61ae656fec1,12,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
32,1,53,6fd8b7ee-f4f6-4e44-b113-7b08b0ef9b40,15,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
33,1,53,2ec8fe98-bc3b-4ee9-9847-7957aae9fea2,17,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
34,1,53,7c28ec3f-c14c-42ca-bc24-d827fd3f128d,19,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
35,1,53,3631f4ec-1a45-46a2-811a-bb7bdeb87c90,22,0,2,2,,2014,1,1,1,1,1,1,1,1,1,1,1,1,0,12,75,USD,57.121097,685.45,0,0,0,0,,2013-11-18 ,55
36,1,53,db97acb4-a278-41b9-b326-4835c85288c6,23,0,2,2,,2014,1,1,1,1,1,1,1,1,1,1,1,1,0,12,150000,UGX,43.983244,527.8,0,0,0,0,,2013-11-18 ,55
37,1,53,5e6689e2-aeff-4219-ba85-90a61813fc4c,44,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
38,1,53,e63bfe2f-e22b-4b26-8850-59759c68b952,58,0,2,2,,2014,1,1,1,1,1,1,1,1,1,1,1,1,1,13,424976,UGX,124.612155,1619.96,0,0,0,0,,2013-11-18 ,55
39,1,53,e26e3265-31a5-4ebf-ae85-eb8c31c434fa,59,0,2,2,,2014,1,1,1,1,1,1,1,1,1,1,1,1,1,13,457748,UGX,134.221615,1744.88,0,0,0,0,,2013-11-18 ,55
40,1,53,88c36f33-6aed-45cc-b34b-ab0462179de7,62,0,2,2,,2014,1,1,1,1,1,1,1,1,1,1,1,1,1,13,734358,UGX,215.32965,2799.29,0,0,0,0,,2013-11-18 ,55
41,1,53,6cc37227-9a70-4590-934d-cb28780e5e96,72,0,2,2,,2014,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1027083,UGX,301.162951,3915.12,0,0,0,0,,2013-11-18 ,55
42,1,53,48fa8743-7dcc-45d0-bb1f-9a666632b3b1,104,62,2,2,,2014,1,1,1,1,1,1,1,1,1,1,1,1,0,12,250,USD,190.403656,2284.84,0,0,0,0,,2013-11-18 ,55
43,1,53,ce576b73-307b-4944-93df-8edfd0c3bc76,8,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
44,1,55,40b687c3-eb8d-4c2d-ba67-6bf80e1dd986,8,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
45,1,55,bc7f7db7-645b-4a16-82e7-a5d3569dfaea,9,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
46,1,55,367a5f4d-7bb8-4fcb-9bf6-bac7be15e737,10,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
47,1,55,c30db202-83ce-4121-8e85-61844c820663,12,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
48,1,55,35ef2895-b5fa-4fac-b9a6-5b86ff7ee3b3,15,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
49,1,55,82108644-a3a4-4316-b3d8-4b5611544258,16,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
50,1,55,b2097001-b460-4da5-b307-c0dcfcb52d8a,17,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
51,1,55,fab07a23-0ef5-4a30-bcf4-b8e5f22020de,22,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
52,1,55,b7b5970e-ec80-49f8-8ea8-ada8292fe0cf,23,0,2,2,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UGX,0,0,0,0,0,0,,2013-11-18 ,55
