rownames,expertise_cost_id,created,modified,year,cost,created_by_id,last_modification_by_id,financer_id
1,1,2018-02-09 ,2018-02-09 ,2015,0,,,2
2,2,2018-02-09 ,2018-02-09 ,2016,0,,,2
3,3,2018-02-09 ,2020-10-23 ,2021,457,,165,2
4,4,2018-02-09 ,2020-04-14 ,2020,457,,165,2
5,5,2018-02-09 ,2018-02-09 ,2015,0,,,5
6,6,2018-02-09 ,2018-02-09 ,2016,0,,,5
7,7,2018-02-09 ,2020-10-23 ,2021,457,,165,5
8,8,2018-02-09 ,2020-04-14 ,2020,457,,165,5
9,9,2018-02-09 ,2018-02-09 ,2015,0,,,4
10,10,2018-02-09 ,2018-02-09 ,2016,0,,,4
11,11,2018-02-09 ,2020-10-23 ,2021,457,,165,4
12,12,2018-02-09 ,2020-04-14 ,2020,457,,165,4
13,13,2018-02-09 ,2018-02-09 ,2015,0,,,3
14,14,2018-02-09 ,2018-02-09 ,2016,0,,,3
15,15,2018-02-09 ,2020-10-23 ,2021,457,,165,3
16,16,2018-02-09 ,2020-04-14 ,2020,457,,165,3
17,17,2018-02-09 ,2018-02-09 ,2015,0,,,6
18,18,2018-02-09 ,2018-02-09 ,2016,0,,,6
19,19,2018-02-09 ,2020-10-23 ,2021,457,,165,6
20,20,2018-02-09 ,2020-04-14 ,2020,457,,165,6
21,21,2018-02-09 ,2018-02-09 ,2015,0,,,18
22,22,2018-02-09 ,2018-02-09 ,2016,0,,,18
23,23,2018-02-09 ,2018-02-09 ,2017,0,,,18
24,24,2018-02-09 ,2020-10-23 ,2021,0,,165,18
25,25,2018-02-09 ,2018-02-09 ,2015,550,,,33
26,26,2018-02-09 ,2018-02-09 ,2016,550,,,33
27,27,2018-02-09 ,2018-02-09 ,2017,550,,,33
28,28,2018-02-09 ,2018-02-09 ,2018,550,,,33
29,29,2018-02-09 ,2018-02-09 ,2015,0,,,12
30,30,2018-02-09 ,2018-02-09 ,2016,0,,,12
31,31,2018-02-09 ,2020-10-23 ,2021,457,,165,12
32,32,2018-02-09 ,2020-04-14 ,2020,457,,165,12
33,33,2018-02-09 ,2020-10-23 ,2021,915,,165,7
34,34,2018-02-09 ,2020-04-14 ,2020,915,,165,7
35,35,2018-02-09 ,2020-10-23 ,2021,457,,165,27
36,36,2018-02-09 ,2020-04-14 ,2020,457,,165,27
37,37,2018-02-09 ,2020-04-14 ,2020,457,,165,34
38,38,2018-02-09 ,2020-04-14 ,2020,915,,165,36
39,39,2018-02-09 ,2020-10-23 ,2021,915,,165,36
40,40,2018-02-12 ,2018-02-12 ,2018,0,60,60,1
41,41,2018-02-12 ,2018-02-12 ,2017,0,60,60,1
42,42,2018-11-07 ,2018-11-07 ,2019,457,60,60,2
43,44,2018-11-07 ,2018-11-07 ,2019,457,60,60,3
44,45,2018-11-07 ,2018-11-07 ,2019,457,60,60,4
45,46,2018-11-07 ,2018-11-07 ,2019,457,60,60,5
46,47,2018-11-07 ,2018-11-07 ,2019,457,60,60,6
47,48,2018-11-07 ,2018-11-07 ,2019,915,60,60,36
48,49,2018-11-07 ,2018-11-07 ,2019,457,60,60,12
49,50,2018-11-07 ,2018-11-07 ,2019,0,60,60,18
50,51,2018-11-07 ,2018-11-07 ,2019,457,60,60,27
51,52,2018-11-07 ,2020-10-23 ,2021,457,60,165,34
52,53,2018-11-08 ,2018-11-08 ,2018,1000,60,60,37
53,54,2020-11-05 ,2020-11-05 ,2020,915,165,165,8
54,55,2021-03-08 ,2021-03-08 ,2018,457,160,160,2
55,56,2021-03-08 ,2021-03-08 ,2018,457,160,160,3
56,57,2021-03-08 ,2021-03-08 ,2018,457,160,160,4
57,58,2021-03-08 ,2021-03-08 ,2018,457,160,160,5
58,59,2021-03-08 ,2021-03-08 ,2018,457,160,160,6
