rownames,fiscal_burden_nature_id,created,modified,code,created_by_id,last_modification_by_id,default_article_id,fiscal_burden_family_id,text_fr,text_en
1,1,2013-11-08 ,2013-11-25 ,AMED1,,60,196,1,Achats d'articles médicaux,Purchase of medical items
2,2,2013-11-08 ,2013-11-25 ,AMED2,,60,197,1,Achat d'équipement médical,Purchase of medical equipment
3,3,2013-11-08 ,2013-11-25 ,AMED3,,60,198,1,Fournitures et consommables médicaux,Medical renewable supplies and consumables
4,4,2013-11-08 ,2013-11-25 ,ANME1,,60,199,2,Achats d'articles non médicaux,Purchase of non medical material
5,5,2013-11-08 ,2013-11-25 ,ANME2,,60,200,2,Achat d'équipement non médical,Purchase of non medical equipment
6,6,2013-11-08 ,2013-11-25 ,ANME3,,60,201,2,Petit matériel et consommables non médicaux,Non medical renewable supplies and consumables
7,7,2013-11-08 ,2013-11-25 ,ATLO1,,60,202,3,Achat de terrain et locaux,Purchase of land and facilities
8,8,2013-11-08 ,2013-11-25 ,SSTR1,,60,203,4,Services sous-traités médicaux,Subcontracted medical services
9,9,2013-11-08 ,2013-11-25 ,SSTR2,,60,204,4,Services sous-traités non médicaux,Subcontracted non-medical services
10,10,2013-11-08 ,2013-11-25 ,TRAN1,,60,205,5,Fret,Freight
11,11,2013-11-08 ,2013-11-25 ,TRAN2,,60,206,5,Transports de personnes,Transportation of persons
12,12,2013-11-08 ,2013-11-25 ,FFON1,,60,207,6,Location,Rental
13,13,2013-11-08 ,2013-11-25 ,FFON2,,60,208,6,Maintenance et entretien,Maintenance
14,14,2013-11-08 ,2013-11-25 ,FFON3,,60,209,6,Eau  gaz et électricité,Utilities and other energy consumables
15,15,2013-11-08 ,2013-11-25 ,FFON4,,60,210,6,Frais de communication,Communication costs
16,16,2013-11-08 ,2013-11-25 ,FFON5,,60,211,6,Assurances de locaux et équipement,Insurance of premises and equipment
17,17,2013-11-08 ,2013-11-25 ,FFON6,,60,212,6,Services profesionnels,External services
18,18,2013-11-08 ,2013-11-25 ,FFON7,,60,213,6,Frais de communication externe et représentation,External communication and representation
19,19,2013-11-08 ,2013-11-25 ,FFON8,,60,214,6,Autres dépenses de fonctionnement,Other general running costs
20,20,2013-11-08 ,2013-11-25 ,FPER1,,60,215,7,Rémunération du personnel,Payroll
21,21,2013-11-08 ,2013-11-25 ,FPER2,,60,216,7,Cotisations sociales employeurs,Employer contributions
22,22,2013-11-08 ,2013-11-25 ,FPER3,,60,217,7,Autres charges de personnel,Other staff costs
23,23,2013-11-08 ,2013-11-25 ,FPER4,,60,218,7,Personnel temporaire,Temporary staff
24,24,2013-11-08 ,2013-11-25 ,RECE1,,60,219,8,Donation,Donation
25,25,2013-11-08 ,2013-11-25 ,RECE2,,60,220,8,Recette financière,Financial income
26,26,2013-11-08 ,2013-11-25 ,RECE3,,60,221,8,Ventes d'équipements ou de biens,Sales of equipment and goods
27,27,2013-11-08 ,2013-11-25 ,SSTR3,,60,222,4,Autres services sous-traités,Other subcontracted services
28,28,2013-11-08 ,2013-11-25 ,EXPE1,,60,97,9,Expertise,Expertise
29,29,2013-12-05 ,2013-12-20 ,COUO1,60,60,155,10,Coûts opérationnels,Operational costs
30,30,2013-12-20 ,2014-04-15 ,Z000,,65,,,Hors D2 (obsolète),Not in D2 (obsolete)
31,31,2013-12-20 ,2014-04-15 ,Z0000,,65,225,11,Hors du D2,Not in D2
32,32,2013-12-20 ,2013-12-20 ,HEAD1,60,60,226,12,Dépenses siège,Headquarters costs
33,33,2013-12-20 ,2017-10-12 ,COUO2,60,60,227,16,Dépenses diverses (diff caisse  vol  créances perdues  contentieux),Dépenses diverses (diff caisse  vol  créances perdues  contentieux)
34,34,2014-02-05 ,2014-02-05 ,DOTA1,60,60,228,14,Dotations,Dotations
35,35,2014-02-05 ,2014-02-05 ,DOTA2,60,60,,14,Dotations aux provisions financement,
36,37,2015-03-19 ,2015-03-19 ,OVER,60,60,277,15,Overhead,Overhead
37,38,2018-02-13 ,2018-02-13 ,OTHERS,60,60,339,8,Ventes d'équipement ou de biens,Sales of equipment and goods
