rownames,function_id,created,modified,code,created_by_id,last_modification_by_id,function_type_id,text_fr,text_en
1,1,2013-11-08 ,2013-11-08 ,IT,,,1,Adminisatrateur réseau,IT network administrator
2,2,2013-11-08 ,2013-11-08 ,ASC,,,1,Assistant(e) comptable,Accounting assistant
3,3,2013-11-08 ,2013-11-08 ,ASD,,,1,Assistant(e) chargé des départs,Travel assistant
4,4,2013-11-08 ,2013-11-08 ,ASF,,,1,Assistant(e) formation,Training assistant
5,5,2013-11-08 ,2013-11-08 ,ASR,,,1,Assistant(e) gestion des ressources humaines,Human resources assistant
6,6,2013-11-08 ,2013-11-08 ,CSC,,,1,Chargé(e) des supports communication,Responsible for communication tools
7,7,2013-11-08 ,2013-11-08 ,COM,,,1,Comptable,Accountant
8,8,2013-11-08 ,2013-11-08 ,CG,,,1,Contrôleur de gestion,Financial controller
9,9,2013-11-08 ,2013-11-08 ,COF,,,1,Coordinateur formation,Training coordinator
10,10,2013-11-08 ,2013-11-08 ,EP,,,1,Epidémiologiste,Epidemiologist
11,11,2013-11-08 ,2013-11-08 ,DD,,,1,Directeur de département,Department director
12,12,2013-11-08 ,2013-11-08 ,DG,,,1,Directeur général,General director
13,13,2013-11-08 ,2013-11-08 ,PSY,,,1,Psychologue,Psychologist 
14,14,2013-11-08 ,2013-11-08 ,STA,,,1,Statisticien / Data manager,Statistician / Data manager
15,15,2013-11-08 ,2013-11-08 ,SEC,,,1,Secrétaire,Secretary
16,16,2013-11-08 ,2015-06-16 ,FAC,,97,1,Pédagogue / Facilitateur formation,Teatcher / Training facilitator
17,17,2013-11-08 ,2013-11-08 ,DI,,,1,Développeur informatique,IT developer
18,18,2013-11-08 ,2013-11-08 ,DPS,,,1,Directeur plateforme scientifique,Scientific platform director
19,19,2013-11-08 ,2013-11-08 ,RL,,,1,Responsable logistique,Logistic manager
20,20,2013-11-08 ,2013-11-08 ,RRH,,,1,Responsable ressources humaines,Human ressources manager
21,24,2014-05-21 ,2014-05-21 ,21,60,60,1,Stagiaire DASO,Intern
22,25,2014-12-11 ,2014-12-11 ,APR,60,60,1,Apprenti,Apprentice
23,26,2015-09-23 ,2015-09-23 ,AR,60,60,1,Associé de recherche clinique,Clinical research associate
24,27,2015-09-30 ,2015-09-30 ,CRH,60,60,1,Chargé de mission RH,HR manager
25,28,2016-04-13 ,2016-04-13 ,28,60,60,1,Support utilisateur (IT),User support (IT)
26,29,2016-04-13 ,2016-04-13 ,29,60,60,1,Chargée de communication et du reporting aux partenaires,Donor reporting and communications officer
27,30,2016-05-23 ,2016-05-23 ,RHA,60,60,1,Responsable RH adjointe,Deputy of the HR manager
28,31,2017-02-23 ,2017-02-23 ,31,60,60,1,Adjoint à la direction générale,Deputy of the general direction
29,32,2017-02-23 ,2017-02-23 ,32,60,60,1,Consultant,Consultant
30,33,2017-11-06 ,2017-11-06 ,JR,60,60,1,Juriste,Legal expert / lawyer
