rownames,macro_budget_id,year,amount,comment,project_id,accounting_amount
1,6157,2014,33200,,240,0
2,6158,2015,33200,,240,0
3,1493735,2016,15400,,566,0
4,11347718,2015,2944.72,,387,2944.72
5,40681217,2013,178318.63,,192,178318.63
6,40681266,2013,12433,,75,12433
7,40681268,2013,25542.79,,201,25542.79
8,40681275,2013,6640,,9,6640
9,40681276,2013,7885,,181,7885
10,40681277,2013,8549,,109,8549
11,40681278,2013,3320,,158,3320
12,40681290,2013,46587.16,,146,46587.16
13,40681293,2013,20425.47,,52,20425.47
14,40681310,2013,233242.5,,212,233242.5
15,40681311,2013,35196.47,,235,35196.47
16,40681312,2013,6860,,172,6860
17,40681319,2013,2504.41,,78,2504.41
18,40681320,2013,33976.4,,218,33976.4
19,40681331,2013,4150,,318,4150
20,40681332,2013,23032.5,,126,23032.5
21,40681345,2013,22825,,129,22825
22,40681349,2013,36105,,155,36105
23,40681350,2013,46098.64,,86,46098.64
24,40681361,2013,27192.16,,6,27192.16
25,40681378,2013,4357.5,,98,4357.5
26,40681389,2013,830,,298,830
27,40681399,2013,2490,,167,2490
28,40681434,2013,45958.7,,27,45958.7
29,40681438,2013,6225,,127,6225
30,40681468,2013,63473.5,,64,63473.5
31,40681479,2013,18169.65,,207,18169.65
32,40681491,2013,1106,,7,1106
33,40681492,2013,173292.72,,193,173292.72
34,40681496,2013,48970,,150,48970
35,40681497,2013,14502.46,,1,14502.46
36,40681498,2013,11373.16,,24,11373.16
37,40681525,2013,16392.5,,187,16392.5
38,40681529,2013,9960,,233,9960
39,40681533,2013,54758.38,,18,54758.38
40,40681569,2013,28508.51,,204,28508.51
41,40681570,2013,31781.57,,110,31781.57
42,40681571,2013,41157.54,,10,41157.54
43,40681572,2013,31125,,133,31125
44,40681573,2013,17430,,61,17430
45,40681601,2013,20750,,147,20750
46,40681615,2013,25624.3,,165,25624.3
47,40681638,2013,80931.58,,125,80931.58
48,40681640,2013,16185,,219,16185
49,40681648,2013,11021.88,,19,11021.88
50,40681664,2013,18348.61,,25,18348.61
51,40681665,2013,11620,,271,11620
52,40681677,2013,27390,,105,27390
53,40681678,2013,8300,,179,8300
54,40681679,2013,830,,205,830
55,40681680,2013,6426.24,,85,6426.24
56,40681693,2013,48347.5,,62,48347.5
57,40681694,2013,9545,,42,9545
58,40681702,2013,52497.5,,56,52497.5
59,40681703,2013,46778.25,,199,46778.25
60,40681715,2013,79713.83,,116,79713.83
61,40681717,2013,9215,,139,9215
62,40681719,2013,14940,,162,14940
63,40681749,2013,93339.83,,202,93339.83
64,40681767,2013,38995.69,,16,38995.69
65,40681768,2013,7885,,182,7885
66,40681800,2013,4565,,145,4565
67,40681814,2013,20335,,71,20335
68,40681821,2013,2490,,117,2490
69,40681822,2013,9694.38,,140,9694.38
70,40681831,2013,10687.6,,31,10687.6
71,40681847,2013,9130,,226,9130
72,40681857,2013,21086.85,,177,21086.85
73,40681858,2013,1452.5,,154,1452.5
74,40681859,2013,5810,,203,5810
75,40681860,2013,13280,,134,13280
76,40681863,2013,60271.82,,11,60271.82
77,40681868,2013,21165,,111,21165
78,40681905,2013,9130,,166,9130
79,40681929,2013,6758.38,,20,6758.38
80,40681930,2013,456383.31,,68,456383.31
81,40681931,2013,32428.13,,80,32428.13
82,40681932,2013,48610.48,,28,48610.48
83,40681968,2013,3411.65,,206,3411.65
84,40681969,2013,31955,,157,31955
85,40681979,2013,33967.73,,8,33967.73
86,40681992,2013,42986.28,,194,42986.28
87,40681993,2013,4980,,151,4980
88,40682003,2014,0,,355,0
89,40682012,2013,22141.63,,215,22141.63
90,40682036,2014,0,,138,0
91,40682037,2013,8715,,138,8715
92,40682112,2013,34859.92,,66,34859.92
93,40682113,2014,0,,66,0
94,40682183,2014,0,,190,0
95,40682201,2014,0,,307,0
96,40682306,2014,0,,141,0
97,40682307,2013,20262.85,,141,20262.85
98,40682326,2014,0,,310,0
99,40682498,2014,0,,331,0
100,40682610,2014,0,,332,0
101,40682641,2013,2490,,183,2490
102,40682642,2014,0,,183,0
103,40682643,2013,23920.72,,160,23920.72
104,40682644,2014,0,,160,0
105,40682680,2013,8406.38,,312,8406.38
106,40682681,2014,0,,312,0
107,40682767,2014,217.97,,261,217.97
108,40682772,2014,16379,,378,16379
109,40682791,2013,2075,,92,2075
110,40682792,2014,50,,92,50
111,40682808,2014,15562.5,,384,15562.5
112,40682809,2013,4150,,161,4150
113,40682810,2014,1245,,161,1245
114,40682822,2014,4980,,29,4980
115,40682823,2013,27714.5,,29,27714.5
116,40682824,2013,8540.83,,315,8540.83
117,40682825,2014,14729.5,,315,14729.5
118,40682844,2014,62619.87,,344,62619.87
119,40682865,2014,30887,,338,30887
120,40682870,2013,59248.9,,195,59248.9
121,40682871,2014,0,,195,0
122,40682873,2014,4552.44,,301,4552.44
123,40682876,2013,43542.28,,3,43542.28
124,40682877,2014,6887.5,,3,6887.5
125,40682878,2013,16600,,152,16600
126,40682879,2014,13695,,152,13695
127,40682898,2013,16392.5,,72,16392.5
128,40682899,2014,7368.6,,72,7368.6
129,40682910,2014,168730.71,,258,168730.71
130,40682911,2014,40820.75,,335,40820.75
131,40682912,2014,36356.11,,281,36356.11
132,40682926,2014,1735.8,,32,1735.8
133,40682927,2013,32100.74,,32,32100.74
134,40682928,2014,21008.14,,364,21008.14
135,40682929,2014,0,,327,0
136,40682942,2014,28097.65,,321,28097.65
137,40682944,2013,31668.8,,26,31668.8
138,40682945,2014,7470,,26,7470
139,40682947,2013,1245,,12,1245
140,40682948,2014,2490,,12,2490
141,40682972,2014,7470,,398,7470
142,40682973,2014,506.41,,304,506.41
143,40683009,2013,13280,,149,13280
144,40683010,2014,12450,,149,12450
145,40683033,2014,0,,330,0
146,40683037,2014,2075,,236,2075
147,40683038,2013,8300,,236,8300
148,40683055,2014,4150,,184,4150
149,40683056,2013,13268.02,,184,13268.02
150,40683057,2014,7470,,422,7470
151,40683072,2014,94.17,,21,94.17
152,40683073,2013,7050.12,,21,7050.12
153,40683078,2014,37907.24,,322,37907.24
154,40683117,2014,67706.73,,87,67706.73
155,40683118,2013,169566.31,,87,169566.31
156,40683129,2014,11777.1,,399,11777.1
157,40683146,2014,0,,356,0
158,40683187,2014,38171.59,,279,38171.59
159,40683191,2014,4150,,362,4150
160,40683192,2014,4150,,373,4150
161,40683203,2014,1245,,176,1245
162,40683204,2013,415,,176,415
163,40683222,2014,11025,,84,11025
164,40683223,2013,42344.07,,84,42344.07
165,40683224,2014,76,,227,76
166,40683225,2013,17467.05,,227,17467.05
167,40683229,2014,2075,,153,2075
168,40683230,2013,7328.57,,153,7328.57
169,40683255,2014,2490,,90,2490
170,40683256,2013,19117.5,,90,19117.5
171,40683285,2014,400,,96,400
172,40683286,2013,1037.5,,96,1037.5
173,40683306,2014,19920,,305,19920
174,40683307,2014,12657.5,,311,12657.5
175,40683308,2014,34000.01,,334,34000.01
176,40683313,2014,9297.1,,234,9297.1
177,40683314,2013,10123.75,,234,10123.75
178,40683317,2014,14110,,357,14110
179,40683326,2014,28286.9,,328,28286.9
180,40683335,2014,6032.96,,365,6032.96
181,40683375,2013,830,,228,830
182,40683376,2014,107.52,,228,107.52
183,40683394,2014,33447.19,,385,33447.19
184,40683409,2013,14110,,148,14110
185,40683410,2014,2075,,148,2075
186,40683423,2014,2621.88,,454,2621.88
187,40683425,2014,18260,,354,18260
188,40683429,2014,1245,,185,1245
