rownames,pathology_id,created,modified,code,created_by_id,last_modification_by_id,text_fr,text_en
1,1,2013-11-08 ,2013-11-08 ,pmal,,,Maladie à prévention vaccinale,Vaccine preventable disease
2,2,2013-11-08 ,2013-11-10 ,psan,,60,Santé environnementale,Environmental health
3,3,2013-11-08 ,2013-11-08 ,pvih,,,VIH,HIV/AIDS
4,4,2013-11-08 ,2013-11-08 ,ppal,,,Paludisme,Malaria
5,5,2013-11-08 ,2013-11-08 ,pnut,,,Nutrition,Nutrition
6,6,2013-11-08 ,2013-11-08 ,pmor,,,Mortalité,Mortality
7,7,2013-11-08 ,2013-11-08 ,pinv,,,Investigation d'épidémie,Outbreak Investigation
8,8,2013-11-08 ,2013-11-08 ,pchi,,,Chirurgie,Surgery
9,9,2013-11-08 ,2015-06-16 ,pres,,97,Résistance antibiotique,Antibiotic Resistance
10,10,2013-11-08 ,2013-11-08 ,phepc,,,Hépatite C,Hepatitis C
11,11,2013-11-08 ,2013-11-08 ,phepb,,,Hépatite B,Hepatitis B
12,12,2013-11-08 ,2013-11-08 ,pfil,,,Filarioses,Filariasis
13,13,2013-11-08 ,2013-11-08 ,plei,,,Leishmaniose viscérale,Visceral leishmaniasis
14,14,2013-11-08 ,2013-11-08 ,pdip,,,Diphtérie,Diphteria
15,15,2013-11-08 ,2013-11-08 ,pped,,,Pédiatrie,Pediatrics
16,16,2013-11-08 ,2013-11-08 ,psch,,,Schistosomoses,Schistosomiasis
17,17,2013-11-08 ,2013-11-08 ,phel,,,Helminthe,Helminths
18,18,2013-11-08 ,2013-11-08 ,ptry,,,Trypanosomiase,Trypanosomiasis
19,19,2013-11-08 ,2013-11-08 ,paut,,,Autre,Other
20,20,2013-11-08 ,2013-12-05 ,ptra,,60,Formation,Training
21,21,2013-11-08 ,2013-11-08 ,ppia,,,Pian,Pian
22,22,2013-11-08 ,2013-11-08 ,pcho,,,Cholera,Cholera
23,23,2013-11-08 ,2013-11-08 ,prou,,,Rougeole,Measles
24,24,2013-11-08 ,2013-11-08 ,phepe,,,Hépatite E,Hepatitis E
25,25,2013-11-08 ,2013-11-08 ,popd,,,OPD/IPD,OPD/IPD
26,26,2013-11-08 ,2013-11-08 ,pmen,,,Méningite,Meningitis
27,27,2013-11-08 ,2013-11-08 ,pvvs,,,VVS,VVS
28,28,2013-11-08 ,2013-11-08 ,pdia,,,Diagnostic,Diagnostics
29,29,2013-11-08 ,2013-11-08 ,ppes,,,Peste,Plague
30,30,2013-11-08 ,2013-11-08 ,pbur,,,Buruli,Buruli
31,31,2013-11-08 ,2013-11-08 ,ptub,,,Tuberculose,Tuberculosis
32,32,2014-02-03 ,2014-02-03 ,mentalhealth,60,60,Santé mentale,Mental health
33,33,2014-02-06 ,2014-02-06 ,pneg,60,60,Maladie tropicale négligée,Neglected tropical diseases
34,34,2014-03-20 ,2014-03-20 ,plaf,60,60,Plateforme scientifique,Scientific platform
35,35,2014-11-17 ,2014-11-17 ,EBO,60,60,Ebola,Ebola
36,36,2015-02-03 ,2015-02-03 ,SREPRO,60,60,Santé reproductrice,Reproductive health
37,37,2015-02-03 ,2015-02-03 ,GYN,60,60,Gynécologie obstétrique,Obstetric gynecology
