rownames,period_validation_id,validated_on,validated_by_id,period_id,user_id
1,7,2013-11-08 ,28,9,28
2,10,2013-11-08 ,40,9,40
3,17,2013-11-12 ,43,10,43
4,18,2013-11-13 ,9,10,9
5,20,2013-11-13 ,60,10,11
6,21,2013-11-13 ,60,10,21
7,22,2013-11-13 ,23,10,23
8,23,2013-11-14 ,49,10,49
9,24,2013-11-14 ,22,10,22
10,25,2013-11-15 ,47,10,47
11,27,2013-11-18 ,4,10,4
12,29,2013-11-19 ,20,10,20
13,33,2013-11-27 ,8,10,8
14,34,2013-11-27 ,8,11,8
15,36,2013-11-27 ,12,11,12
16,37,2013-11-28 ,53,10,53
17,38,2013-11-29 ,21,11,21
18,39,2013-12-02 ,11,11,11
19,40,2013-12-02 ,4,11,4
20,41,2013-12-02 ,28,11,28
21,43,2013-12-06 ,43,11,43
22,45,2013-12-10 ,47,11,47
23,48,2013-12-17 ,47,12,47
24,50,2013-12-18 ,12,12,12
25,51,2013-12-18 ,34,11,34
26,52,2013-12-18 ,34,12,34
27,53,2013-12-19 ,8,12,8
28,57,2013-12-20 ,43,12,43
29,58,2013-12-20 ,18,12,18
30,59,2013-12-20 ,4,12,4
31,61,2013-12-20 ,50,12,50
32,62,2013-12-23 ,1,11,1
33,63,2013-12-23 ,1,12,1
34,64,2013-12-29 ,11,12,11
35,65,2013-12-30 ,40,12,40
36,66,2013-12-31 ,21,12,21
37,67,2014-01-02 ,28,12,28
38,68,2014-01-02 ,3,24,3
39,70,2014-01-03 ,31,11,31
40,71,2014-01-03 ,31,12,31
41,72,2014-01-03 ,53,12,53
42,73,2014-01-03 ,53,11,53
43,74,2014-01-03 ,20,11,20
44,75,2014-01-03 ,20,12,20
45,76,2014-01-03 ,20,9,20
46,77,2014-01-03 ,20,8,20
47,78,2014-01-03 ,20,7,20
48,79,2014-01-03 ,20,6,20
49,80,2014-01-03 ,20,5,20
50,81,2014-01-03 ,20,4,20
51,82,2014-01-03 ,20,3,20
52,83,2014-01-03 ,20,2,20
53,84,2014-01-03 ,20,1,20
54,85,2014-01-29 ,31,13,31
55,86,2014-01-31 ,25,13,25
56,87,2014-01-31 ,11,13,11
57,88,2014-02-03 ,28,13,28
58,90,2014-02-04 ,12,13,12
59,91,2014-02-05 ,21,13,21
60,92,2014-02-06 ,43,24,43
61,93,2014-02-06 ,20,13,20
62,94,2014-02-06 ,53,13,53
63,95,2014-02-06 ,4,13,4
64,96,2014-02-06 ,47,13,47
65,97,2014-02-07 ,23,13,23
66,98,2014-02-07 ,34,13,34
67,100,2014-02-10 ,29,13,29
68,101,2014-02-18 ,24,13,24
69,102,2014-02-24 ,8,13,8
70,103,2014-02-24 ,8,14,8
71,105,2014-02-26 ,43,14,43
72,106,2014-02-26 ,43,13,43
73,109,2014-03-03 ,11,14,11
74,110,2014-03-03 ,4,14,4
75,111,2014-03-04 ,25,14,25
76,112,2014-03-05 ,50,14,50
77,113,2014-03-05 ,50,13,50
78,114,2014-03-05 ,29,14,29
79,115,2014-03-07 ,21,14,21
80,117,2014-03-10 ,28,14,28
81,118,2014-03-10 ,34,14,34
82,119,2014-03-11 ,20,14,20
83,120,2014-03-11 ,12,14,12
84,121,2014-03-17 ,31,14,31
85,122,2014-03-18 ,53,14,53
86,124,2014-04-01 ,28,15,28
87,125,2014-04-01 ,43,15,43
88,126,2014-04-02 ,50,15,50
89,127,2014-04-03 ,4,15,4
90,128,2014-04-03 ,31,15,31
91,129,2014-04-04 ,21,15,21
92,130,2014-04-07 ,53,15,53
93,133,2014-04-10 ,1,15,1
94,134,2014-04-10 ,1,14,1
95,135,2014-04-10 ,1,13,1
96,136,2014-04-10 ,1,10,1
97,137,2014-04-10 ,34,15,34
98,138,2014-04-11 ,47,15,47
99,139,2014-04-11 ,47,14,47
100,140,2014-04-14 ,29,15,29
101,142,2014-04-15 ,20,15,20
102,144,2014-04-16 ,17,15,17
103,145,2014-04-17 ,25,15,25
104,146,2014-04-17 ,12,15,12
105,147,2014-04-17 ,11,15,11
106,148,2014-04-18 ,25,5,25
107,149,2014-04-29 ,45,14,45
108,150,2014-04-29 ,45,15,45
109,152,2014-04-30 ,45,16,45
110,153,2014-04-30 ,34,16,34
111,154,2014-04-30 ,12,16,12
112,155,2014-05-02 ,31,16,31
113,156,2014-05-02 ,31,17,31
114,157,2014-05-02 ,31,18,31
115,158,2014-05-02 ,31,19,31
116,159,2014-05-02 ,31,20,31
117,160,2014-05-02 ,31,21,31
118,161,2014-05-02 ,31,22,31
119,162,2014-05-02 ,31,23,31
120,163,2014-05-02 ,31,24,31
121,164,2014-05-06 ,19,14,19
122,166,2014-05-08 ,37,16,37
123,167,2014-05-10 ,53,16,53
124,168,2014-05-12 ,25,16,25
125,169,2014-05-15 ,4,16,4
126,170,2014-05-19 ,11,16,11
127,171,2014-05-20 ,28,16,28
128,172,2014-05-20 ,21,16,21
129,173,2014-05-27 ,29,16,29
130,175,2014-05-30 ,43,16,43
131,176,2014-05-30 ,43,17,43
132,177,2014-06-02 ,28,17,28
133,178,2014-06-02 ,50,17,50
134,179,2014-06-02 ,50,16,50
