rownames,place_id,created,modified,code,created_by_id,last_modification_by_id,region_id,text_fr,text_en
1,1,2018-07-18 ,2018-07-18 ,AE-03-01,,,90,Dubai,Dubai
2,2,2018-07-18 ,2018-07-18 ,AF-14-01,,,14,Kabul,Kabul
3,3,2018-07-18 ,2018-07-18 ,AM-04-01,,,123,Erevan,Erevan
4,4,2018-07-18 ,2018-07-18 ,BD-02-01,,,226,Ukhia,Ukhia
5,5,2018-07-18 ,2018-07-18 ,BE-01-01,,,194,Bruxelles,Bruxelles
6,6,2018-07-18 ,2018-07-18 ,CD-04-01,,,539,Kananga,Kananga
7,7,2018-07-18 ,2018-07-18 ,CD-06-02,,,541,Kalemie,Kalemie
8,8,2018-07-18 ,2018-07-18 ,CD-06-03,,,541,Katanga,Katanga
9,9,2018-07-18 ,2018-07-18 ,CD-06-04,,,541,Tanganika,Tanganika
10,10,2018-07-18 ,2018-07-18 ,CD-07-05,,,542,Kinshasa,Kinshasa
11,11,2018-07-18 ,2018-07-18 ,CD-08-06,,,543,Goma,Goma
12,12,2018-07-18 ,2018-07-18 ,CD-08-07,,,543,Maniema,Maniema
13,13,2018-07-18 ,2018-07-18 ,CF-08-01,,,417,Carnot,Carnot
14,14,2018-07-18 ,2018-07-18 ,CF-14-02,,,423,Paoua,Paoua
15,15,2018-07-18 ,2018-07-18 ,CH-08-01,,,447,Geneva,Geneva
16,16,2018-07-18 ,2018-07-18 ,CI-01-01,,,512,Abidjan,Abidjan
17,17,2018-07-18 ,2018-07-18 ,ES-06-01,,,845,Barcelona,Barcelona
18,18,2018-07-18 ,2018-07-18 ,FR-02-01,,,896,Bordeaux,Bordeaux
19,19,2018-07-18 ,2018-07-18 ,FR-04-02,,,898,Paris,Paris
20,20,2018-07-18 ,2018-07-18 ,GB-01-01,,,936,Manchester,Manchester
21,21,2018-07-18 ,2019-09-17 ,HT-08-01,,130,1146,Port au Prince,Port au Prince
22,22,2018-07-18 ,2018-07-18 ,HT-10-02,,,1148,Port-à-Piment,Port-à-Piment
23,23,2018-07-18 ,2018-07-18 ,IN-21-01,,,1229,Manipur,Manipur
24,24,2018-07-18 ,2018-07-18 ,IQ-06-01,,,1307,Erbil,Erbil
25,25,2018-07-18 ,2018-07-18 ,JO-02-01,,,1382,Amman,Amman
26,26,2018-07-18 ,2018-07-18 ,KE-08-01,,,1461,Homa Bay,Homa Bay
27,27,2018-07-18 ,2018-07-18 ,KE-30-02,,,1483,Nairobi,Nairobi
28,28,2018-07-18 ,2018-07-18 ,LR-11-01,,,1608,Monrovia,Monrovia
29,29,2018-07-18 ,2018-07-18 ,ML-08-01,,,1893,Koutiala,Koutiala
30,30,2018-07-18 ,2018-07-18 ,MW-04-01,,,2003,Chiradzulu,Chiradzulu
31,31,2018-07-18 ,2018-07-18 ,MW-21-02,,,2020,Nsanje,Nsanje
32,32,2018-07-18 ,2018-07-18 ,MZ-06-01,,,1962,Maputo,Maputo
33,33,2018-07-18 ,2018-07-18 ,MZ-09-02,,,1965,Beira,Beira
34,34,2018-07-18 ,2018-07-18 ,NE-02-01,,,2078,Diffa,Diffa
35,35,2018-07-18 ,2018-07-18 ,NE-04-02,,,2080,Maradi,Maradi
36,36,2018-07-18 ,2018-07-18 ,NE-05-03,,,2081,Niamey,Niamey
37,37,2018-07-18 ,2018-07-18 ,NE-06-04,,,2082,Bouza,Bouza
38,38,2018-07-18 ,2018-07-18 ,NE-08-05,,,2084,Magaria,Magaria
39,39,2018-07-18 ,2018-07-18 ,NG-08-01,,,2092,Maiduguri,Maiduguri
40,40,2018-07-18 ,2018-07-18 ,PH-47-01,,,2312,Manila,Manila
41,41,2018-07-18 ,2018-07-18 ,SD-07-01,,,2698,Khartoum,Khartoum
42,42,2018-07-18 ,2018-07-18 ,SN-01-01,,,2710,Dakar,Dakar
43,43,2018-07-18 ,2018-07-18 ,SS-05-01,,,2820,Agok,Agok
44,44,2018-07-18 ,2018-07-18 ,SS-05-02,,,2820,Aweil,Aweil
45,45,2018-07-18 ,2018-07-18 ,SY-03-01,,,2911,Ein Issa,Ein Issa
46,46,2018-07-18 ,2018-07-18 ,SY-10-02,,,2918,Atmeh,Atmeh
47,47,2018-07-18 ,2018-07-18 ,TD-13-01,,,2941,Moissala,Moissala
48,48,2018-07-18 ,2018-07-18 ,UG-01-01,,,3232,Adjumani,Adjumani
49,49,2018-07-18 ,2018-07-18 ,UG-03-02,,,3234,Arua,Arua
50,50,2018-07-18 ,2018-07-18 ,UG-16-03,,,3247,Kampala,Kampala
51,51,2018-07-18 ,2018-07-18 ,UG-21-04,,,3252,Kasese,Kasese
