rownames,position_id,created,modified,code,created_by_id,last_modification_by_id,text_fr,text_en
1,1,2013-11-08 ,2013-11-08 ,O,,,Directeur général,General director
2,2,2013-11-08 ,2015-07-23 ,L,,60,Directeur du département administratif et support opérationnel,Administrative and operational support director
3,3,2013-11-08 ,2013-11-08 ,J,,,Responsable ressources humaines,Human ressources manager
4,4,2013-11-08 ,2013-11-08 ,I,,,Responsable logistique,Logistic manager
5,5,2013-11-08 ,2013-11-08 ,RP5,,,Niveau 5 - Responsable de Projet,L5 - Project manager
6,6,2013-11-08 ,2013-11-08 ,RP4,,,Niveau 4 - Responsable de Projet,L4 - Project manager
7,7,2013-11-08 ,2013-11-08 ,RP3,,,Niveau 3 - Responsable de Projet,L3 - Project manager
8,8,2013-11-08 ,2013-11-08 ,RP2,,,Niveau 2 - Responsable de Projet,L2 - Project manager
9,9,2013-11-08 ,2013-11-08 ,RP1,,,Niveau 1 - Responsable de Projet,L1 - Project manager
10,10,2013-11-08 ,2016-05-23 ,H,,60,Contrôleur de Gestion / Responsable RH adjoint,Financial controller / Deputy of the HR manager
11,11,2013-11-08 ,2014-05-21 ,F,,60,Pédagogue/facilitateur - Chargé des supports communciation,teatcher - communication support responsible
12,12,2013-11-08 ,2013-11-08 ,E,,,Assistant de formation,Training assistant
13,13,2013-11-08 ,2013-11-08 ,D,,,Assistant GRH - Comptable - Assistant bureau des voyages,Human resources assistant - Accountant - travel assistant
14,14,2013-11-08 ,2013-11-08 ,C,,,Secrétaire,Secretary
15,15,2014-05-21 ,2014-05-21 ,K,60,60,Administrateur système niveau 2,IT Manager
16,16,2014-05-21 ,2014-05-21 ,AP,60,60,Apprenti,Apprenticeship
17,17,2015-07-23 ,2015-07-23 ,S,60,60,Directeur scientifique,Scientific Director
18,18,2017-02-23 ,2017-02-23 ,18,60,60,Adjoint à la Direction Générale,Deputy of the general direction
19,19,2017-02-23 ,2017-02-23 ,19,60,60,Consultant,Consultant
20,20,2017-11-06 ,2017-11-06 ,JURISTE,60,60,Juriste,Legal expert / lawyer
