project_id,project_name,country_id,country_code,country_name,region_id,region_code,region_name,place_id,place_code,place_name
652,1000 jours,10,NE,Niger,,,,,,
1021,2019 DRC Ebola Epidemiology OCB,,,,,,,,,
1020,2019 DRC Ebola Epidemiology OCG,1,CD,Congo - Kinshasa,543,CD-08,Kivu,110,Butembo,Butembo
1019,2019 DRC Ebola Epidemiology OCP,1,CD,Congo - Kinshasa,543,CD-08,Kivu,110,Butembo,Butembo
974,2019 evaluation of the performance of two rapid diagnostic tests for malaria in Aweil  South Sudan during high and low transmission season,5,SS,South Sudan,2820,SS-05,North Bahr-al-Ghazal,44,SS-05-02,Aweil
1011,2019 Intersectional DRC Ebola Epidemiology Coordinator,1,CD,Congo - Kinshasa,543,CD-08,Kivu,110,Butembo,Butembo
296,2nd line drug resistance in HIV and 12-month outcome on 3rd line,14,KE,Kenya,,,,,,
296,2nd line drug resistance in HIV and 12-month outcome on 3rd line,15,MW,Malawi,,,,,,
387,821534 Wound Survey- OCP,1,CD,Congo - Kinshasa,,,,,,
426,9 months MDRTB regimen in Papua New Guinea,81,PG,Papua New Guinea,,,,,,
585,9 months MDRTB regimen in Papua New Guinea,81,PG,Papua New Guinea,,,,,,
509,A completer,285,400,Undefined Countries,,,,,,
548,A definir,10,NE,Niger,,,,,,
1046,A supprimer,,,,,,,,,
816,A UTILISER POUR PROCHAINE CONSULTATION OCP,9,TD,Chad,,,,,,
965,Abortion Complications MSF,,,,,,,,,
873,Abortion Complications R2HC,4,CF,Central African Republic,,,,,,
873,Abortion Complications R2HC,1,CD,Congo - Kinshasa,,,,,,
873,Abortion Complications R2HC,12,NG,Nigeria,,,,,,
873,Abortion Complications R2HC,5,SS,South Sudan,,,,,,
784,ABR support health unit MSF USA,30,US,United States,3377,US-33,New York,53,US-33-01,New York
826,ABR Task Force support,285,400,Undefined Countries,,,,,,
231,Active Case Finding for TB amongst elderly patients  Cambodia,19,KH,Cambodia,1525,KH-16,Phnom Penh,68,Phnom Penh,Phnom Penh
610,Active Case Finding for TB amongst elderly patients  Cambodia,19,KH,Cambodia,,,,,,
210,Activities unrelated to a specific course (training department),,,,,,,,,
211,Activities unrelated to a specific project,3,FR,France,,,,,,
185,Added value of using repeated measurements of CRP to determine discontinuation of antibiotics,285,400,Undefined Countries,,,,,,
457,Adjumani  carriage second and third round 2015  OCP,13,UG,Uganda,3232,UG-01,Adjumani,48,UG-01-01,Adjumani
138,Aetiology of childhood pneumonia  Mbarara  Uganda,13,UG,Uganda,3270,UG-39,Mbarara,52,UG-39-05,Mbarara
596,Ageing on ART in Chiradzulu,15,MW,Malawi,2003,MW-04,Chiradzulu,30,MW-04-01,Chiradzulu
313,Ageing on ART in Chiradzulu,15,MW,Malawi,,,,,,
630,An open-label  single arm study to provide additional information on safety and effectiveness of rVsV-ZEBOV,11,BF,Burkina Faso,,,,,,
630,An open-label  single arm study to provide additional information on safety and effectiveness of rVsV-ZEBOV,1,CD,Congo - Kinshasa,,,,,,
630,An open-label  single arm study to provide additional information on safety and effectiveness of rVsV-ZEBOV,31,CI,Cote d'Ivoire,,,,,,
630,An open-label  single arm study to provide additional information on safety and effectiveness of rVsV-ZEBOV,16,GN,Guinea,,,,,,
630,An open-label  single arm study to provide additional information on safety and effectiveness of rVsV-ZEBOV,161,GW,Guinea-Bissau,,,,,,
630,An open-label  single arm study to provide additional information on safety and effectiveness of rVsV-ZEBOV,12,NG,Nigeria,,,,,,
630,An open-label  single arm study to provide additional information on safety and effectiveness of rVsV-ZEBOV,60,SL,Sierra Leone,,,,,,
451,Analyse bedaquilline  Armenie,18,AM,Armenia,,,,,,
586,Analyse bedaquilline  Armenie,18,AM,Armenia,,,,,,
586,Analyse bedaquilline  Armenie,89,GE,Georgia,,,,,,
222,Analyse de l'impact des actions preventives et curatives de MSF-OCG,285,400,Undefined Countries,,,,,,
1060,Analyse des donnees du Test & Treat  Yambio  Sud Soudan pour publication,5,SS,South Sudan,2825,SS-10,West Equatoria,152,Yambio,Yambio
223,Analyse des methodes d'evaluations dans les zones non accessibles ou a acces limite  MSF-OCG,285,400,Undefined Countries,,,,,,
66,Analyse descriptive ARV/Bleomycine multicentrique  MSF-F,14,KE,Kenya,,,,,,
624,Analyse RDC Epicentre MSF,1,CD,Congo - Kinshasa,,,,,,
273,Analyses multicentriques des adolescents Pre AR et ART,285,400,Undefined Countries,,,,,,
870,Analysis of STI risk groups for targeted systematic screening,227,PH,Philippines,2312,PH-47,Metropolitan Manila,40,PH-47-01,Manila
870,Analysis of STI risk groups for targeted systematic screening,227,PH,Philippines,2312,PH-47,Metropolitan Manila,100,Tondo,Tondo
226,Analysis of the snake bite antivenom database  CAR,4,CF,Central African Republic,,,,,,
673,Angola GOARN support Yellow fever,98,AO,Angola,45,AO-11,Luanda,61,Luanda,Luanda
673,Angola GOARN support Yellow fever,98,AO,Angola,45,AO-11,Luanda,61,Luanda,Luanda
14,Annual Nutrition/Vaccination/Mortality survey  Koutiala  Mali,8,ML,Mali,1893,ML-08,Sikasso,29,ML-08-01,Koutiala
43,Antibiotic presciption habits in MSF-OCP hospital settings,285,400,Undefined Countries,,,,,,
827,Antibiotic prescription practices - GARDP,285,400,Undefined Countries,,,,,,
714,Antibiotic prophylaxis for prevention of cholera among household members,14,KE,Kenya,,,,,,
714,Antibiotic prophylaxis for prevention of cholera among household members,15,MW,Malawi,,,,,,
714,Antibiotic prophylaxis for prevention of cholera among household members,13,UG,Uganda,,,,,,
728,Antibiotic resistance amongst Amman surgery patients,23,JO,Jordan,1382,JO-02,Amman,25,JO-02-01,Amman
1002,Antivenom RCT preparation line - MI984,4,CF,Central African Republic,,,,,,
1002,Antivenom RCT preparation line - MI984,5,SS,South Sudan,,,,,,
769,Appui desk urgence OCP,3,FR,France,898,FR-04,Ile-de-France,19,FR-04-02,Paris
704,Appui enquete mortalite maternelle et complication,285,400,Undefined Countries,,,,,,
866,AREE NERU  Nigeria  OCA  2018,12,NG,Nigeria,,,,,,
183,Article on maxillofacial surgery  MSF-F,23,JO,Jordan,,,,,,
491,ASAQ MDA effect on EVD transmission and severity,60,SL,Sierra Leone,,,,,,
637,Assessment and Response to Emergencies and Epidemics (AREE)  Nigeria 2017,12,NG,Nigeria,2092,NG-08,Borno,39,NG-08-01,Maiduguri
189,Assessment of HIV status missclassification in HIV positive cohorts  BI,,,,,,,,,
792,Aweil Malaria support to desk,5,SS,South Sudan,2820,SS-05,North Bahr-al-Ghazal,44,SS-05-02,Aweil
793,Aweil Malaria support to desk,5,SS,South Sudan,,,,,,
272,Bacteriemia in pediatric hospital,8,ML,Mali,1893,ML-08,Sikasso,29,ML-08-01,Koutiala
580,Base de donnees intersection  strategies preventives  All OC  RCA,4,CF,Central African Republic,411,CF-02,Bangui,,,
580,Base de donnees intersection  strategies preventives  All OC  RCA,4,CF,Central African Republic,417,CF-08,Mambere-Kadei,,,
515,Base de donnees intersection  strategies preventives  All OC  RCA,4,CF,Central African Republic,,,,,,
799,Baseline mortality survey in adult HIV positive patients admitted to the Medical Wards in Beira Central Hospital - Beira - Mozambique,22,MZ,Mozambique,,,,,,
751,Baseline survey in Mosul Iraq,35,IQ,Iraq,1307,IQ-06,Arbil,24,IQ-06-01,Erbil
430,Best decontamination method for IS and GA,13,UG,Uganda,,,,,,
860,Bleu de methylene et paludisme,285,400,Undefined Countries,,,,,,
184,Brief report on epidemiology of infection of Syrian surgical patients in Jordan,23,JO,Jordan,,,,,,
60,Bulletin (suivi descriptif par mission)  Fuchia analysis  MSF-OCA,,,,,,,,,
606,Bulletin (suivi descriptif par mission)  Fuchia analysis  MSF-OCA,,,,,,,,,
614,Bulletin (suivi descriptif par mission)  Fuchia analysis  MSF-OCB,285,400,Undefined Countries,,,,,,
57,Bulletin (suivi descriptif par mission)  Fuchia analysis  MSF-OCB,,,,,,,,,
616,Bulletin (suivi descriptif par mission)  Fuchia analysis  MSF-OCBa,285,400,Undefined Countries,,,,,,
58,Bulletin (suivi descriptif par mission)  Fuchia analysis  MSF-OCBa,,,,,,,,,
612,Bulletin (suivi descriptif par mission)  Fuchia analysis  MSF-OCP,285,400,Undefined Countries,,,,,,
59,Bulletin (suivi descriptif par mission)  Fuchia analysis  MSF-OCP,,,,,,,,,
41,Buruli diagnostic score,,,,,,,,,
412,C- Enquete de mortalite  nutrition  vaccination - RCA/Bangassou - OCB,4,CF,Central African Republic,,,,,,
298,C- South Sudan Mortality 2013 OCB,5,SS,South Sudan,,,,,,
6,C - Cholera - Congo - Pointe Noir - Evaluation et surveillance - MSF-F -  -  -  -,132,CG,Congo - Brazzaville,554,CG-10,Pointe Noire,73,Pointe Noire,Pointe Noire
219,C - Cholera - Haiti -  - Case control study  transmission cholera - MSF-F -  -  -  -,7,HT,Haiti,1139,HT-01,Centre,,,
219,C - Cholera - Haiti -  - Case control study  transmission cholera - MSF-F -  -  -  -,7,HT,Haiti,1141,HT-03,L'Artibonite,,,
219,C - Cholera - Haiti -  - Case control study  transmission cholera - MSF-F -  -  -  -,7,HT,Haiti,1148,HT-10,Sud,,,
31,C - Diphteria - Nigeria - Kimba - Epidemiological description of a diphtheria outbreak - MSF-F -  -  -  -,12,NG,Nigeria,2092,NG-08,Borno,71,Kimba,Kimba
9,C - Hepatite E - Soudan du Sud - Batil - Case-cohort study - MSF-B -  -  -  -,5,SS,South Sudan,2822,SS-07,Upper Nile,109,Batil,Batil
24,C - Malaria - Niger - Madaoua and Bouza - Investigation of an increase in malaria cases - MSF-E -  -  -  -,10,NE,Niger,,,,,,
