rownames,project_id,center_centers_id
1,668,1
2,1154,1
3,256,1
4,874,1
5,685,1
6,885,1
7,768,1
8,638,1
9,541,2
10,740,1
11,639,1
12,601,1
13,1047,1
14,1190,2
15,857,1
16,951,1
17,732,1
18,963,1
19,551,1
20,359,1
21,81,3
22,500,2
23,489,1
24,744,3
25,65,1
26,962,1
27,649,1
28,170,1
29,763,1
30,169,1
31,369,1
32,865,1
33,630,1
34,1205,1
35,958,1
36,497,1
37,958,2
38,1249,1
39,592,1
40,498,1
41,569,1
42,963,3
43,571,1
44,590,1
45,745,1
46,695,1
47,673,1
48,1149,2
49,876,1
50,235,1
51,669,1
52,879,1
53,640,1
54,634,1
55,839,1
56,494,1
57,742,1
58,992,1
59,752,1
60,718,1
61,666,1
62,665,1
63,1152,1
64,591,1
65,992,3
66,360,1
67,439,1
68,662,3
69,257,1
70,1004,1
71,596,1
72,995,1
73,814,1
74,599,1
75,618,1
76,670,1
77,657,1
78,795,1
79,995,2
80,1226,1
81,561,1
82,691,1
83,1000,1
84,394,1
85,753,1
86,570,1
87,710,1
88,1246,1
89,492,1
90,641,1
91,236,1
92,1000,2
93,259,1
94,651,1
95,1002,1
96,594,1
97,877,1
98,868,1
99,1272,1
100,1390,1
101,681,1
102,704,1
103,655,1
104,677,1
105,878,1
106,723,1
107,1024,1
108,1129,1
109,823,1
110,672,1
111,1062,1
112,771,2
113,835,1
114,739,1
115,834,1
116,923,1
117,316,1
118,865,2
119,600,1
120,687,1
121,842,1
122,382,1
123,598,1
124,399,1
125,479,1
126,1239,1
127,1268,1
128,1040,2
129,786,1
130,810,1
131,1066,1
132,860,1
133,1152,2
134,1352,1
135,722,1
136,653,1
137,852,1
138,683,1
139,573,2
140,1044,1
141,1025,1
142,401,1
143,282,1
144,1119,1
145,721,1
146,1100,2
147,1389,1
148,578,1
149,807,1
150,773,1
151,663,1
152,727,1
153,1148,2
154,1153,2
155,172,1
156,637,1
157,198,1
158,800,1
159,191,1
160,702,1
161,789,1
162,418,1
163,694,1
164,699,1
165,469,1
166,231,1
167,698,1
168,700,1
169,760,1
170,447,1
171,764,1
172,502,1
173,684,1
174,625,1
175,692,1
176,858,1
177,701,1
178,697,1
179,650,1
180,635,1
181,1136,1
182,680,1
183,664,1
184,3,1
185,728,1
186,115,3
187,736,3
188,1061,1
189,440,3
190,54,1
191,957,1
192,13,1
193,645,2
194,221,1
195,488,1
196,320,1
197,443,1
198,714,1
199,757,2
200,524,2
201,751,1
202,1055,1
203,411,1
204,729,2
205,855,1
206,719,2
207,875,1
208,530,1
209,679,1
210,632,1
211,1064,1
212,185,1
213,534,1
214,716,1
215,1065,1
216,1088,1
217,652,2
218,43,1
219,155,1
220,157,1
221,71,1
222,737,1
223,69,1
224,1147,1
225,953,1
226,785,1
227,64,1
228,98,1
229,872,1
230,219,1
231,70,1
232,582,1
233,21,1
234,775,1
235,779,1
236,31,1
237,9,1
238,693,1
239,597,1
240,1175,1
241,532,1
242,1388,1
243,754,1
244,996,1
245,5,1
246,660,1
247,17,1
248,18,1
249,20,1
250,26,1
251,28,1
252,30,1
253,35,1
254,215,1
255,271,1
256,16,1
257,217,1
258,226,1
259,1233,1
260,228,1
261,245,1
262,322,1
263,1033,3
264,1031,1
265,335,1
266,339,1
267,358,1
268,362,1
269,472,1
270,580,1
271,343,1
272,654,1
273,538,1
274,1035,1
275,260,1
276,80,1
277,162,1
278,173,1
279,188,1
280,568,1
281,567,1
282,562,1
283,1057,1
284,560,1
285,1071,1
286,165,1
287,1214,1
288,142,1
289,475,1
290,647,1
291,646,1
292,798,1
293,474,1
294,1198,1
295,4,1
296,192,1
297,480,1
298,1039,1
299,843,1
300,1413,1
301,423,1
302,214,1
303,1233,2
304,193,1
305,50,1
306,50,2
307,161,1
308,83,2
309,52,1
310,52,2
311,171,1
312,365,1
313,850,1
314,374,1
315,1220,2
316,487,1
317,624,1
318,1,1
319,136,1
320,512,1
321,434,1
322,1113,1
323,522,1
324,529,1
325,179,1
326,182,1
327,872,3
328,308,1
329,715,1
330,1096,2
331,809,1
332,826,1
333,1005,1
334,1323,1
335,985,1
336,1310,1
337,1068,1
338,1058,1
339,1097,1
340,1058,2
341,1079,1
342,1079,3
343,1073,1
344,1027,1
345,1028,1
346,998,1
347,1413,3
348,614,1
349,249,3
350,1037,1
351,1059,1
352,993,1
353,703,1
354,679,3
355,1353,1
356,991,1
357,1258,1
358,130,2
359,511,1
360,1108,1
361,1237,1
362,713,1
363,1168,1
364,1251,1
365,988,1
366,822,1
367,1335,1
368,1396,1
369,1428,1
370,1221,2
371,882,1
372,1062,2
373,1116,1
374,1187,1
375,1075,1
376,1072,1
377,977,1
378,982,1
379,886,1
380,1114,1
381,770,1
382,782,1
383,894,1
384,1247,1
385,1062,3
386,981,1
387,980,1
388,978,1
389,978,3
390,971,1
391,1102,1
392,1252,1
393,1224,1
394,549,3
395,1209,1
396,1263,1
397,1259,1
398,1122,1
399,1234,1
400,1231,1
401,36,1
402,1099,1
403,1433,2
404,1121,1
405,1250,1
406,37,1
407,1422,1
408,528,2
409,1098,1
410,735,1
411,1169,1
412,1200,1
413,1227,1
414,1222,1
415,1167,1
416,558,1
417,1431,1
418,38,1
419,1195,1
420,1020,1
421,838,1
422,1021,1
423,1144,1
424,445,1
425,769,1
426,482,2
427,1271,1
428,1155,1
429,1415,1
430,1225,1
431,1280,1
432,989,1
433,1278,1
434,1264,1
435,1279,1
436,747,1
437,1215,1
438,1356,1
439,976,1
440,979,1
441,984,1
442,1078,1
443,1077,1
444,1362,1
445,1312,1
446,825,1
447,595,1
448,1045,1
449,1120,1
450,1107,1
451,1009,1
452,725,2
453,408,1
454,986,1
455,61,1
456,1256,1
457,1127,1
458,891,1
459,1300,1
460,159,1
461,1384,1
462,1132,1
463,1134,1
464,135,1
465,815,1
466,1161,1
467,1161,2
468,790,1
469,299,1
470,196,1
471,817,3
472,1265,2
473,427,2
474,1351,1
475,1275,1
476,1130,1
477,1171,1
478,1171,3
479,1221,1
480,974,1
481,495,1
482,1311,1
483,1244,1
484,1277,1
485,644,1
486,611,1
487,1151,1
488,1034,1
489,1316,1
490,48,1
491,1163,1
492,1128,1
493,1194,1
494,819,1
495,1295,1
496,1186,1
497,1111,1
498,227,1
499,42,1
500,622,1
501,87,1
502,642,1
503,1377,1
504,642,2
505,583,1
506,1117,1
507,493,1
508,1101,1
509,609,1
510,829,1
511,893,1
512,224,1
513,1183,1
514,1201,2
515,994,1
516,994,3
517,1380,1
518,794,1
519,1343,1
520,1412,1
521,564,1
522,1104,3
523,1398,1
524,1165,1
525,746,1
526,1270,1
527,983,1
528,1017,1
529,342,1
530,1382,1
531,1156,1
532,1348,1
533,23,1
534,712,1
535,1242,1
536,1049,1
537,884,1
538,686,1
539,1051,1
540,686,2
541,1001,1
542,1160,1
543,689,1
544,970,1
545,461,3
546,1156,2
547,1337,1
548,1346,1
549,1387,1
550,667,1
551,856,1
552,612,1
553,861,1
554,1158,1
555,1248,1
556,1260,1
557,1321,1
558,966,1
559,328,1
560,954,1
561,731,1
562,585,1
563,889,1
