rownames,project_id,initiation_of_the_project_initiations_of_project_id
1,1050,5
2,1203,5
3,1325,4
4,1205,5
5,318,5
6,668,1
7,65,6
8,81,8
9,1390,3
10,668,2
11,1325,8
12,190,9
13,1297,5
14,541,9
15,649,5
16,885,5
17,169,3
18,170,5
19,191,5
20,783,5
21,198,5
22,753,5
23,1149,8
24,256,2
25,1246,5
26,1204,8
27,401,4
28,316,5
29,359,5
30,360,5
31,745,5
32,369,8
33,1358,5
34,1365,5
35,865,4
36,866,1
37,578,5
38,439,6
39,443,5
40,447,2
41,732,5
42,958,2
43,958,4
44,1385,5
45,488,5
46,489,6
47,492,5
48,494,5
49,1224,5
50,497,5
51,498,5
52,500,4
53,1040,5
54,958,8
55,1484,8
56,524,4
57,1477,9
58,1148,8
59,695,5
60,641,9
61,561,4
62,1024,5
63,1002,8
64,1096,8
65,569,5
66,570,5
67,571,8
68,1096,9
69,1388,8
70,835,5
71,257,5
72,975,9
73,598,4
74,672,5
75,590,5
76,591,5
77,592,5
78,36,5
79,691,5
80,596,5
81,826,6
82,599,5
83,600,5
84,1242,8
85,801,8
86,1004,5
87,877,4
88,1190,5
89,1413,9
90,878,4
91,615,5
92,621,5
93,789,5
94,723,6
95,634,5
96,635,6
97,637,5
98,638,4
99,639,4
100,640,5
101,951,5
102,642,3
103,728,5
104,645,8
105,668,3
106,651,5
107,652,9
108,653,5
109,655,4
110,657,2
111,37,2
112,662,9
113,46,6
114,665,5
115,666,5
116,669,8
117,670,2
118,1409,5
119,668,4
120,1,5
121,1000,3
122,681,5
123,683,5
124,684,4
125,685,9
126,1057,5
127,687,5
128,1000,4
129,692,6
130,694,6
131,697,2
132,699,6
133,701,6
134,702,4
135,1000,5
136,704,4
137,814,4
138,710,5
139,879,2
140,795,5
141,668,5
142,716,2
143,718,5
144,1000,8
145,721,5
146,440,8
147,955,5
148,1274,6
149,879,4
150,923,5
151,727,5
152,1190,8
153,729,4
154,810,4
155,382,1
156,382,2
157,382,4
158,382,5
159,879,5
160,738,8
161,737,9
162,871,5
163,739,5
164,740,4
165,823,5
166,384,9
167,744,5
168,823,8
169,572,9
170,399,9
171,479,5
172,533,5
173,751,5
174,752,5
175,535,9
176,957,5
177,757,9
178,1062,8
179,1272,9
180,760,4
181,839,5
182,763,5
183,764,5
184,992,8
185,1233,8
186,768,2
187,821,5
188,1168,5
189,773,5
190,1235,5
191,1168,8
192,632,9
193,3,4
194,810,5
195,418,4
196,714,5
197,992,9
198,860,9
199,963,9
200,1111,5
201,1195,8
202,796,5
203,852,5
204,800,5
205,1005,8
206,1262,5
207,136,5
208,673,9
209,1277,8
210,235,5
211,1295,5
212,236,5
213,834,5
214,474,5
215,1175,5
216,1416,9
217,70,5
218,172,4
219,12,5
220,995,9
221,522,5
222,1058,9
223,1263,5
224,13,5
225,327,5
226,221,4
227,185,5
228,43,5
229,157,5
230,69,5
231,64,1
232,64,2
233,64,3
234,64,4
235,64,5
236,98,5
237,273,5
238,437,2
239,394,2
240,842,8
241,854,3
242,529,4
243,1219,8
244,222,4
245,223,4
246,872,5
247,1159,8
248,219,5
249,21,5
250,22,5
251,15,5
252,31,5
253,1159,9
254,1249,5
255,5,5
256,6,5
257,7,5
258,39,3
259,10,5
260,1251,5
261,14,5
262,17,5
263,20,5
264,26,5
265,28,5
266,30,5
267,34,5
268,35,5
269,213,5
270,215,5
271,1152,9
272,271,5
273,16,5
274,217,5
275,218,5
276,226,5
277,40,1
278,228,5
279,245,5
280,321,5
281,322,5
282,469,4
283,38,3
284,335,5
285,1316,8
286,339,5
287,340,5
288,357,5
289,358,5
290,362,5
291,472,5
292,395,5
293,530,5
294,643,5
295,343,2
296,1474,9
297,1275,8
298,539,5
299,654,5
300,538,2
301,625,4
302,260,5
303,663,5
304,122,1
305,80,5
306,162,5
307,246,5
308,122,2
309,173,4
310,188,4
311,1113,4
312,122,3
313,1113,5
314,1497,5
315,138,5
316,122,4
317,122,5
318,502,4
319,650,4
320,680,4
321,664,4
322,1457,5
323,165,4
324,311,5
325,953,5
326,56,5
327,68,5
328,775,5
329,142,5
330,475,5
331,647,5
332,646,5
333,659,5
334,1344,4
335,798,5
336,9,2
337,1237,5
338,4,3
339,1278,5
340,225,4
341,480,4
342,568,5
343,648,2
344,843,5
345,1279,2
346,1279,5
347,423,9
348,214,1
349,214,2
350,214,3
351,214,4
352,214,5
353,1470,5
354,1360,5
355,1310,8
356,528,5
357,1209,5
358,693,5
359,50,5
360,158,4
361,161,4
362,857,2
363,52,9
364,1352,1
365,171,1
366,171,2
367,171,3
368,171,4
369,171,5
370,365,6
371,850,6
372,374,5
373,196,5
374,133,5
375,487,4
376,624,5
377,179,5
378,308,5
379,1055,4
380,809,5
381,754,5
382,83,5
383,1247,5
384,1397,5
385,660,2
386,1475,9
387,1104,8
388,769,5
389,1271,5
390,1234,5
391,531,5
392,1236,5
393,1231,5
394,994,8
395,580,1
396,580,2
397,580,3
398,580,4
399,580,5
400,567,5
401,562,5
402,996,6
403,1339,8
404,192,1
405,192,2
406,192,3
407,192,4
408,192,5
409,193,1
410,193,2
411,193,3
412,193,4
413,193,5
414,700,4
415,700,5
416,512,4
417,512,5
418,994,9
419,1467,5
420,1271,8
421,1186,8
422,1323,5
423,1156,8
424,560,2
425,1421,5
426,1227,5
427,1222,5
428,1028,5
429,1194,5
430,1476,5
431,774,2
432,974,5
433,1338,4
434,249,5
435,1059,9
436,993,5
437,993,8
438,993,9
439,703,4
440,1346,5
441,1257,1
442,1506,9
443,1415,5
444,130,4
445,511,5
446,1356,5
447,1356,8
448,779,5
449,713,4
450,677,2
451,876,5
452,1073,1
453,1127,4
454,61,3
455,61,5
456,868,5
457,1362,2
458,891,5
459,1300,3
460,159,5
461,988,1
462,988,4
463,988,5
464,988,8
465,961,5
466,1019,5
467,135,5
468,573,5
469,815,5
470,822,2
471,790,5
472,1130,5
473,1100,3
474,601,2
475,408,4
476,304,5
477,297,1
478,297,2
479,297,3
480,297,4
481,297,5
482,301,5
483,299,5
484,408,8
485,300,5
486,1351,2
487,1163,5
488,1362,5
489,1068,5
490,991,6
491,1479,5
492,1362,8
493,1315,5
494,1419,8
495,1100,4
496,1100,5
497,1472,5
498,1261,8
499,1127,8
500,1084,2
501,115,5
502,1047,9
503,1116,9
504,1075,8
505,1072,5
506,977,8
507,982,1
508,982,2
509,982,3
510,982,4
511,982,5
512,886,9
513,770,5
514,782,5
515,807,5
516,1396,4
517,894,5
518,1025,1
519,1025,2
520,1025,3
521,1025,4
522,1025,5
523,1035,5
524,1039,5
525,1044,5
526,48,6
527,1065,5
528,1071,5
529,1128,5
530,981,8
531,980,1
532,980,4
533,980,5
534,978,8
535,971,5
536,1108,5
537,1243,8
538,725,2
539,1353,5
540,1221,8
541,1128,8
542,1099,1
543,1472,8
544,1129,5
545,1472,9
546,1121,8
547,1377,5
548,1312,4
549,1119,5
550,549,5
551,1226,1
552,735,5
553,1020,4
554,887,5
555,817,9
556,1021,2
557,1130,8
558,1226,2
559,1226,3
560,1226,4
561,1114,2
562,1226,5
563,1258,5
564,611,4
565,1090,1
566,1090,2
567,1090,3
568,1090,4
569,1090,5
570,1501,5
571,445,5
572,1215,1
573,1221,9
574,482,3
575,1088,1
576,1088,2
577,1088,3
578,1088,4
579,1088,5
580,1479,9
581,644,4
582,1513,6
583,1515,3
584,1515,5
585,438,8
586,1244,1
587,1515,8
588,1151,8
589,1161,8
590,1171,8
591,1214,8
592,1080,8
593,1097,2
594,1169,5
595,1169,8
596,1124,8
597,979,8
598,985,4
599,1064,5
600,1102,8
601,819,5
602,594,5
603,1031,5
604,1122,5
605,1122,8
606,1144,5
607,1144,8
608,1145,5
609,1145,8
610,1023,4
611,1023,8
612,825,4
613,998,3
614,595,5
615,1045,5
616,1120,5
617,1107,5
618,1107,8
619,1154,5
620,1187,5
621,1157,2
622,1250,5
623,1259,8
624,1134,5
625,1167,2
626,1264,5
627,259,4
628,747,5
629,1009,5
630,1140,5
631,614,2
632,874,4
633,1132,8
634,1136,2
635,1136,4
636,558,5
637,227,5
638,42,2
639,42,3
640,622,8
641,42,4
642,42,5
643,675,4
644,1061,3
645,674,5
646,1503,9
647,119,5
648,761,5
649,1101,5
650,120,4
651,1183,3
652,392,5
653,875,2
654,609,4
655,829,5
656,893,5
657,1343,5
658,1117,5
659,794,2
660,1137,5
661,1117,8
662,224,4
663,1330,5
664,1165,8
665,1270,5
666,1331,5
667,855,3
668,746,2
669,1398,5
670,1067,4
671,983,4
672,1017,5
673,342,4
674,1382,5
675,1382,8
676,23,5
677,712,5
678,457,5
679,1382,9
680,1434,9
681,686,9
682,1514,5
683,1001,1
684,1001,4
685,1051,5
686,1001,5
687,884,5
688,1001,8
689,689,5
690,1160,8
691,1160,9
692,1335,4
693,1441,8
694,1389,5
695,461,8
696,970,5
697,1394,2
698,1337,5
699,1387,5
700,856,5
701,667,5
702,731,4
703,612,5
704,861,5
705,966,4
706,328,5
707,1158,5
708,954,5
709,1158,8
710,1248,5
711,1260,5
712,585,5
713,889,5
714,792,5
715,93,6
716,563,4
717,870,5
718,337,5
719,272,5
720,808,5
721,94,5
722,778,5
723,123,2
724,407,2
725,407,8
726,406,1
727,405,4
728,404,1
729,403,5
730,824,5
731,743,5
732,836,5
733,734,5
734,730,5
735,602,1
736,602,2
737,602,3
738,602,4
739,602,5
740,788,5
741,820,5
742,759,5
743,717,5
744,750,2
745,605,5
746,832,5
747,881,2
748,881,4
749,881,5
750,840,5
751,627,5
752,485,3
753,584,5
754,1041,5
755,1384,5
756,1150,8
757,1006,5
758,1439,5
759,1439,8
760,1147,5
761,765,9
762,965,2
763,1123,1
764,965,5
765,1123,2
766,1123,3
767,1123,4
768,965,6
769,1293,5
770,429,9
771,1199,5
772,1287,2
773,1123,5
774,1123,8
775,862,5
776,597,1
777,597,4
778,597,5
779,1489,8
780,1380,5
781,8,5
782,838,5
783,741,5
784,986,5
785,722,6
786,1392,5
787,1341,5
788,766,5
789,1056,5
790,987,9
791,1230,8
792,1320,5
793,848,5
794,1008,5
795,1103,2
796,1105,8
797,565,5
798,720,5
799,762,5
800,787,5
801,724,5
802,1510,5
803,831,5
804,1510,8
805,892,5
806,1155,5
807,1162,5
808,1162,8
809,1106,5
810,427,3
811,818,9
812,1268,5
813,748,8
814,883,8
815,883,9
816,296,5
817,361,4
818,777,5
819,780,5
820,781,5
821,1206,6
822,827,9
823,1176,5
824,869,5
825,880,3
826,880,5
827,1185,5
828,1164,5
829,1142,8
830,733,5
831,411,4
832,411,8
833,534,4
834,534,8
835,859,5
836,613,5
837,1317,5
838,1324,5
839,811,8
840,812,8
841,813,8
842,867,8
843,797,5
844,972,3
845,973,3
846,1060,3
847,705,2
848,890,3
849,967,5
850,959,3
851,1245,5
852,1342,5
853,1085,5
854,87,5
855,513,9
856,1210,5
857,581,4
858,736,8
859,1207,5
860,1029,2
861,1218,9
862,1433,9
863,784,5
864,661,5
865,1048,5
866,495,5
