rownames,project_id,partner_partners_id
1,259,30
2,873,95
3,873,96
4,1082,117
5,1215,42
6,1040,113
7,691,27
8,691,49
9,691,77
10,814,50
11,872,49
12,685,43
13,1218,49
14,679,20
15,170,21
16,736,57
17,736,24
18,1033,112
19,81,35
20,860,91
21,1108,123
22,1215,97
23,822,14
24,1218,97
25,679,32
26,695,49
27,498,29
28,695,77
29,498,64
30,747,33
31,958,43
32,963,46
33,640,58
34,500,7
35,963,49
36,500,61
37,747,36
38,696,47
39,641,31
40,641,40
41,728,74
42,1233,48
43,1339,140
44,447,17
45,447,41
46,447,44
47,447,60
48,447,86
49,835,54
50,835,68
51,744,21
52,489,78
53,1175,55
54,669,38
55,684,26
56,684,66
57,1055,47
58,852,104
59,560,108
60,1152,42
61,1152,51
62,696,59
63,1135,55
64,1114,125
65,998,48
66,735,37
67,679,88
68,494,58
69,1082,118
70,530,45
71,1151,42
72,1000,48
73,737,26
74,737,7
75,735,97
76,1198,95
77,649,65
78,1257,117
79,952,94
80,974,23
81,720,106
82,600,54
83,249,56
84,249,57
85,249,72
86,136,79
87,1114,126
88,696,83
89,1215,117
90,1219,32
91,818,11
92,571,38
93,818,25
94,817,69
95,817,85
96,1198,96
97,686,132
98,965,95
99,965,96
100,1196,113
101,1196,117
102,1196,119
103,1196,120
104,1196,136
105,1136,125
106,1159,135
107,1058,38
108,774,107
109,657,33
110,657,36
111,569,38
112,1215,131
113,1058,113
114,1258,42
115,800,22
116,1034,67
117,1058,121
118,1219,38
119,1219,48
120,831,46
121,1093,43
122,1093,44
123,1171,137
124,831,100
125,1150,42
126,1169,43
127,1082,119
128,1144,129
129,1107,124
130,1157,119
131,1157,130
132,1082,120
133,831,101
134,831,102
135,994,26
136,1134,127
137,994,32
138,765,39
139,765,80
140,992,38
141,992,52
142,1034,103
143,1221,45
144,1221,133
145,1221,134
146,1050,46
147,819,32
148,1160,20
149,1381,120
150,1381,141
151,959,55
152,558,23
153,558,30
154,558,90
155,1351,42
156,959,109
157,890,55
158,890,109
159,1351,119
160,1030,114
161,1030,115
162,1272,138
163,360,21
164,673,92
165,676,75
166,862,111
167,961,105
168,115,57
169,115,72
170,645,7
171,645,51
172,524,54
173,359,21
174,369,21
175,964,67
176,964,103
177,972,48
178,972,55
179,461,53
180,893,55
181,893,110
182,1356,113
183,583,6
184,1362,113
185,406,16
186,1362,119
187,1358,123
188,1101,42
189,583,9
190,583,15
191,583,42
192,583,71
193,493,28
194,493,67
195,411,3
196,411,87
197,534,90
198,743,52
199,627,1
200,627,46
201,627,88
202,687,2
203,1147,128
204,1279,119
205,427,48
206,987,88
207,823,78
208,296,29
209,296,34
210,296,64
211,361,18
212,361,29
213,361,64
214,777,58
215,780,29
216,780,64
217,781,58
218,725,75
219,1096,122
220,725,139
221,950,89
222,758,19
223,118,63
224,678,38
225,253,23
226,253,62
227,253,80
228,253,81
229,253,82
230,857,116
231,549,37
232,549,70
233,1024,111
234,632,88
235,130,8
236,661,10
237,661,45
238,661,73
239,130,48
240,130,84
241,130,88
242,511,14
243,988,28
244,988,67
245,573,4
246,886,28
247,1195,113
248,1195,117
249,1195,119
250,1195,120
251,1195,136
