rownames,region_id,created,modified,code,created_by_id,last_modification_by_id,country_id,text_fr,text_en
1,1,2018-07-18 ,2018-07-18 ,AF-01,,,93,Badakhshan,Badakhshan
2,2,2018-07-18 ,2018-07-18 ,AF-02,,,93,Badghis,Badghis
3,3,2018-07-18 ,2018-07-18 ,AF-03,,,93,Baghlan,Baghlan
4,4,2018-07-18 ,2018-07-18 ,AF-04,,,93,Balkh,Balkh
5,5,2018-07-18 ,2018-07-18 ,AF-05,,,93,Bamyan,Bamyan
6,6,2018-07-18 ,2018-07-18 ,AF-06,,,93,Daykundi,Daykundi
7,7,2018-07-18 ,2018-07-18 ,AF-07,,,93,Farah,Farah
8,8,2018-07-18 ,2018-07-18 ,AF-08,,,93,Faryab,Faryab
9,9,2018-07-18 ,2018-07-18 ,AF-09,,,93,Ghazni,Ghazni
10,10,2018-07-18 ,2018-07-18 ,AF-10,,,93,Ghor,Ghor
11,11,2018-07-18 ,2018-07-18 ,AF-11,,,93,Hilmand,Hilmand
12,12,2018-07-18 ,2018-07-18 ,AF-12,,,93,Hirat,Hirat
13,13,2018-07-18 ,2018-07-18 ,AF-13,,,93,Jawzjan,Jawzjan
14,14,2018-07-18 ,2018-07-18 ,AF-14,,,93,Kabul,Kabul
15,15,2018-07-18 ,2018-07-18 ,AF-15,,,93,Kandahar,Kandahar
16,16,2018-07-18 ,2018-07-18 ,AF-16,,,93,Kapisa,Kapisa
17,17,2018-07-18 ,2018-07-18 ,AF-17,,,93,Khost,Khost
18,18,2018-07-18 ,2018-07-18 ,AF-18,,,93,Kunar,Kunar
19,19,2018-07-18 ,2018-07-18 ,AF-19,,,93,Kunduz,Kunduz
20,20,2018-07-18 ,2018-07-18 ,AF-20,,,93,Laghman,Laghman
21,21,2018-07-18 ,2018-07-18 ,AF-21,,,93,Logar,Logar
22,22,2018-07-18 ,2018-07-18 ,AF-22,,,93,Nangarhar,Nangarhar
23,23,2018-07-18 ,2018-07-18 ,AF-23,,,93,Nimroz,Nimroz
24,24,2018-07-18 ,2018-07-18 ,AF-24,,,93,Nuristan,Nuristan
25,25,2018-07-18 ,2018-07-18 ,AF-25,,,93,Paktika,Paktika
26,26,2018-07-18 ,2018-07-18 ,AF-26,,,93,Paktya,Paktya
27,27,2018-07-18 ,2018-07-18 ,AF-27,,,93,Panjshir,Panjshir
28,28,2018-07-18 ,2018-07-18 ,AF-28,,,93,Parwan,Parwan
29,29,2018-07-18 ,2018-07-18 ,AF-29,,,93,Samangan,Samangan
30,30,2018-07-18 ,2018-07-18 ,AF-30,,,93,Sari Pul,Sari Pul
31,31,2018-07-18 ,2018-07-18 ,AF-31,,,93,Takhar,Takhar
32,32,2018-07-18 ,2018-07-18 ,AF-32,,,93,Uruzgan,Uruzgan
33,33,2018-07-18 ,2018-07-18 ,AF-33,,,93,Wardak,Wardak
34,34,2018-07-18 ,2018-07-18 ,AF-34,,,93,Zabul,Zabul
35,35,2018-07-18 ,2018-07-18 ,AO-01,,,98,Bengo,Bengo
36,36,2018-07-18 ,2018-07-18 ,AO-02,,,98,Benguela,Benguela
37,37,2018-07-18 ,2018-07-18 ,AO-03,,,98,Bie,Bie
38,38,2018-07-18 ,2018-07-18 ,AO-04,,,98,Cabinda,Cabinda
39,39,2018-07-18 ,2018-07-18 ,AO-05,,,98,Cuando Cubango,Cuando Cubango
40,40,2018-07-18 ,2018-07-18 ,AO-06,,,98,Cuanza Norte,Cuanza Norte
41,41,2018-07-18 ,2018-07-18 ,AO-07,,,98,Cuanza Sul,Cuanza Sul
42,42,2018-07-18 ,2018-07-18 ,AO-08,,,98,Cunene,Cunene
43,43,2018-07-18 ,2018-07-18 ,AO-09,,,98,Huila,Huila
44,44,2018-07-18 ,2018-07-18 ,AO-10,,,98,Huambo,Huambo
45,45,2018-07-18 ,2018-07-18 ,AO-11,,,98,Luanda,Luanda
46,46,2018-07-18 ,2018-07-18 ,AO-12,,,98,Lunda Norte,Lunda Norte
47,47,2018-07-18 ,2018-07-18 ,AO-13,,,98,Lunda Sul,Lunda Sul
48,48,2018-07-18 ,2018-07-18 ,AO-14,,,98,Malanje,Malanje
49,49,2018-07-18 ,2018-07-18 ,AO-15,,,98,Moxico,Moxico
50,50,2018-07-18 ,2018-07-18 ,AO-16,,,98,Namibe,Namibe
51,51,2018-07-18 ,2018-07-18 ,AO-17,,,98,Uige,Uige
52,52,2018-07-18 ,2018-07-18 ,AO-18,,,98,Zaire,Zaire
53,53,2018-07-18 ,2018-07-18 ,AX-01,,,100,Brändö,Brändö
54,54,2018-07-18 ,2018-07-18 ,AX-02,,,100,Eckerö,Eckerö
55,55,2018-07-18 ,2018-07-18 ,AX-03,,,100,Föglö,Föglö
56,56,2018-07-18 ,2018-07-18 ,AX-04,,,100,Finström,Finström
57,57,2018-07-18 ,2018-07-18 ,AX-05,,,100,Geta,Geta
58,58,2018-07-18 ,2018-07-18 ,AX-06,,,100,Hammarland,Hammarland
59,59,2018-07-18 ,2018-07-18 ,AX-07,,,100,Jomala,Jomala
60,60,2018-07-18 ,2018-07-18 ,AX-08,,,100,Kökar,Kökar
61,61,2018-07-18 ,2018-07-18 ,AX-09,,,100,Kumlinge,Kumlinge
62,62,2018-07-18 ,2018-07-18 ,AX-10,,,100,Lemland,Lemland
63,63,2018-07-18 ,2018-07-18 ,AX-11,,,100,Lumparland,Lumparland
64,64,2018-07-18 ,2018-07-18 ,AX-12,,,100,Mariehamn,Mariehamn
