rownames,report_parameter_id,external_id,caption,default_value,is_readonly,populate_values_list_query,editor_type,is_visible,required
1,1,1,Période début,,0,select convert(varchar(20) start_date 111) as datevalue  convert(varchar(4)  year(start_date)) + '-' + right('0' + convert(varchar(2)  month(start_date)) 2) as perioddate from periods order by start_date desc,2,,
2,2,2,Période fin,,0,select convert(varchar(20) start_date 111) as datevalue  convert(varchar(4)  year(start_date)) + '-' + right('0' + convert(varchar(2)  month(start_date)) 2) as perioddate from periods order by start_date desc,2,,
3,3,3,Centre opérationnel,,0,select financer_id  [name] from financers order by [name],2,,
4,4,4,Session projets réalisé,,0,select session_id  [name]  from d2session where code='Projet' order by session_id desc,2,,
5,5,5,Session projets référence 1,,0,select session_id  [name]  from d2session where code='Projet' order by session_id desc,2,,
6,6,6,Session projets référence 2,,0,select session_id  [name]  from d2session where code='Projet' order by session_id desc,2,,
7,7,7,Session projets référence 3,,0,select session_id  [name]  from d2session where code='Projet' order by session_id desc,2,,
8,8,8,Session salaires,,0,select session_id  [name]  from d2session where code='Paye' order by session_id desc,2,,
9,9,9,Session projets,,0,select session_id  [name]  from d2session where code='Projet' order by session_id desc,2,,
10,10,10,Session paye détail,,0,select session_id  [name]  from d2session where code='Paye' order by session_id desc,2,,
11,11,11,Session paye référence 1,,0,select session_id  [name]  from d2session where code='Paye' order by session_id desc,2,,
12,12,12,Session paye référence 2,,0,select session_id  [name]  from d2session where code='Paye' order by session_id desc,2,,
13,13,13,Session paye référence 3,,0,select session_id  [name]  from d2session where code='Paye' order by session_id desc,2,,
14,14,14,Session projets initiale,,0,select session_id  [name]  from d2session where code='Projet' order by session_id desc,2,,
15,16,15,Année début,2021,0,SELECT DISTINCT ITEM_YEAR AS year1  ITEM_YEAR AS year2 FROM ArcoleItemsD2 ORDER BY ITEM_YEAR,2,,1
16,17,16,Année fin,2021,0,SELECT DISTINCT ITEM_YEAR AS year1  ITEM_YEAR AS year2 FROM ArcoleItemsD2 ORDER BY ITEM_YEAR,2,,
