rownames,report_view_id,report_layout,is_public,is_default,report_id,report_mode_id,created_by_id,name_fr,name_en,created,modified,code,order,last_modification_by_id,is_public_editable,lines_number_to_display_in_grid
1,1,"<?xml version=""1.0"" encoding=""utf-16""?> <ArrayOfFieldLayoutProperties xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <FieldLayoutProperties FieldName=""période"" Area=""ColumnArea"" SortOrder=""Ascending",1,1,1,1,65,Défaut,Défaut,2013-11-17 ,2016-01-05 ,Défaut,0,60,0,
2,2,"<?xml version=""1.0"" encoding=""utf-16""?> <ArrayOfFieldLayoutProperties xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <FieldLayoutProperties FieldName=""période"" Area=""ColumnArea"" SortOrder=""Ascending",0,0,1,1,60,Chargement,Chargement,2013-11-17 ,2016-01-05 ,Chargement,0,60,0,
3,3,"<?xml version=""1.0"" encoding=""utf-16""?> <GridLayout xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <Fields>     <GridFieldLayoutProperties Operation=""None"" FieldName=""période"" SortOrder=""None"" Visi",0,1,2,2,60,Taux de chargement,Taux de chargement,2013-11-17 ,2013-12-20 ,Taux de chargement,0,60,,
4,4,"<?xml version=""1.0"" encoding=""utf-16""?> <ArrayOfFieldLayoutProperties xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <FieldLayoutProperties FieldName=""période"" Area=""ColumnArea"" SortOrder=""Ascending",0,0,1,1,60,Projets non facturables,Projets non facturables,2013-11-17 ,2016-01-05 ,Projets non facturables,0,60,0,
5,6,"<?xml version=""1.0"" encoding=""utf-16""?> <ArrayOfFieldLayoutProperties xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <FieldLayoutProperties FieldName=""période"" Area=""ColumnArea"" SortOrder=""Ascending",0,0,1,1,60,Communication scientifique,Communication scientifique,2013-11-17 ,2016-01-05 ,Communication scientifique,0,60,0,
6,8,"<?xml version=""1.0"" encoding=""utf-16""?> <ArrayOfFieldLayoutProperties xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <FieldLayoutProperties FieldName=""période"" Area=""ColumnArea"" SortOrder=""Ascending",0,0,1,1,16,suivi PSP sept 13,suivi PSP sept 13,2013-11-17 ,,suivi PSP sept 13,,,,
7,9,"<?xml version=""1.0"" encoding=""utf-16""?> <ArrayOfFieldLayoutProperties xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <FieldLayoutProperties FieldName=""période"" Area=""ColumnArea"" SortOrder=""Ascending",0,0,1,1,62,"",,2013-11-20 ,2013-11-20 ,4ac9bf99-d647-42aa-b2d8-ed64f3a601f7,1,62,,
8,10,"<?xml version=""1.0"" encoding=""utf-16""?> <ArrayOfFieldLayoutProperties xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <FieldLayoutProperties FieldName=""période"" Area=""ColumnArea"" SortOrder=""Ascending",1,1,1,1,,Défaut,Default,2013-12-03 ,2013-12-14 ,Default,0,65,0,
9,11,"<?xml version=""1.0"" encoding=""utf-16""?> <ArrayOfFieldLayoutProperties xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <FieldLayoutProperties FieldName=""collaborateur"" Area=""RowArea"" SortOrder=""Descen",1,1,4,1,,Défaut,Default,2013-12-03 ,2013-12-14 ,Default,0,65,0,
10,12,"<?xml version=""1.0"" encoding=""utf-16""?> <ArrayOfFieldLayoutProperties xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <FieldLayoutProperties FieldName=""période"" Area=""ColumnArea"" SortOrder=""Ascending",1,0,1,1,60,Formation,,2013-12-10 ,2016-01-05 ,083aaab4-7801-4fd0-a787-96745c5da159,1,60,0,
11,13,"<?xml version=""1.0"" encoding=""utf-16""?> <ArrayOfFieldLayoutProperties xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <FieldLayoutProperties FieldName=""code_projet"" Area=""RowArea"" SortOrder=""Ascendin",1,0,3,1,60,Consultation,,2013-12-19 ,2013-12-19 ,d063912c-5e2a-43a5-b168-148a952fc765,1,60,,
12,15,"<?xml version=""1.0"" encoding=""utf-16""?> <ArrayOfFieldLayoutProperties xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <FieldLayoutProperties FieldName=""code_projet"" Area=""RowArea"" SortOrder=""Ascendin",1,0,5,1,60,Consultation Epicentre,,2013-12-19 ,2015-11-24 ,60e46d83-3fcd-4b6a-94d8-ce5d2e80fccb,1,16,0,
13,16,"<?xml version=""1.0"" encoding=""utf-16""?> <ArrayOfFieldLayoutProperties xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <FieldLayoutProperties FieldName=""collaborateur"" Area=""RowArea"" SortOrder=""Ascend",1,1,4,1,60,Organisation des ressources,,2013-12-19 ,2013-12-19 ,ef767ace-055a-4089-af4c-93db01592d54,1,60,,
