rownames,report_report_mode_link_id,report_id,report_mode_report_modes_id
1,247,1,1
2,248,1,2
3,32,2,2
4,90,3,1
5,91,3,2
6,24,4,1
7,25,4,2
8,92,5,1
9,93,5,2
10,238,6,2
11,59,7,1
12,60,7,2
13,16,8,1
14,15,8,2
15,18,9,1
16,17,9,2
17,201,10,2
18,94,11,1
19,95,11,2
20,164,12,1
21,165,12,2
22,202,13,2
23,203,14,1
24,204,14,2
25,196,15,2
26,229,16,2
27,158,17,2
28,186,18,2
29,187,19,2
30,185,20,2
31,192,21,2
32,221,22,2
33,236,23,2
34,228,24,2
35,310,28,1
36,311,28,2
37,381,29,2
38,365,30,1
39,366,30,2
40,312,31,1
41,313,31,2
42,369,32,1
43,370,32,2
44,379,33,1
45,380,33,2
