rownames,study_population_age_and_pregnancy_id,created,modified,code,created_by_id,last_modification_by_id,text_fr,text_en
1,1,2018-07-18 ,2018-07-18 ,age_all,,,Tous ages,All ages
2,2,2018-07-18 ,2018-07-18 ,age_preg,,,Femmes enceintes,Pregnant women
3,3,2018-07-18 ,2018-07-18 ,age_neo,,,Nouveaux nés,Neonates
4,4,2018-07-18 ,2018-07-18 ,age_ado,,,Adolescents,Adolescents
5,5,2018-07-18 ,2018-07-18 ,age_1,,,< 1 an,< 1 year
6,6,2018-07-18 ,2019-07-26 ,age_1-2,,130,1 - < 2 ans,1 - < 2 years
7,7,2018-07-18 ,2019-07-26 ,age_2-5,,130,2 - < 5 ans,2 - < 5 years
8,8,2018-07-18 ,2019-07-26 ,age_5-15,,130,5 - < 15 years,5 - < 15 years
9,9,2018-07-18 ,2018-07-18 ,age_>15,,,=15 ans,=15 years
10,10,2018-07-18 ,2018-07-18 ,age_na,,,N/A,N/A
11,11,2018-07-18 ,2018-07-18 ,age_other,,,Autre,Other
