rownames,sub_theme_id,created,modified,code,created_by_id,last_modification_by_id,parent_theme_id,text_fr,text_en
1,1,2013-11-08 ,2013-11-08 ,EXPE1,,,1,Expertise,Expertise
2,2,2013-11-08 ,2013-11-08 ,COUT1,,,2,Coûts opérationnels,Operational costs
3,3,2013-11-20 ,2013-11-20 ,Expats_Colog,55,55,3,Colog,Colog
4,4,2013-11-20 ,2013-11-20 ,Expats_Cofirh,55,55,3,Cofirh,Cofirh
5,5,2013-11-20 ,2013-11-20 ,Expats_Epidemiologist Trainer,55,55,3,Epidemiologist Trainer,Epidemiologist Trainer
6,6,2013-11-20 ,2013-11-20 ,Expats_Director,55,55,3,Director,Director
7,7,2013-11-23 ,2013-11-23 ,Medical Staff_Project UG936,55,55,4,Project UG936,Project UG936
8,8,2013-11-23 ,2013-11-23 ,Medical Staff_TB KIDS COHORT,55,55,4,TB KIDS COHORT,TB KIDS COHORT
9,9,2013-11-23 ,2013-11-23 ,Medical Staff_INO,55,55,4,INO,INO
10,10,2013-11-23 ,2013-11-23 ,Medical Staff_Contact Screen,55,55,4,Contact Screen,Contact Screen
11,11,2013-11-23 ,2013-11-23 ,Medical Staff_Rifavirenz,55,55,4,Rifavirenz,Rifavirenz
12,12,2013-11-23 ,2013-11-23 ,Medical Staff_PCV Trial Survey,55,55,4,PCV Trial Survey,PCV Trial Survey
13,13,2013-11-23 ,2013-11-23 ,Medical Staff_SMF,55,55,4,SMF,SMF
14,14,2013-11-23 ,2013-11-23 ,Medical Staff_TB Implementation,55,55,4,TB Implementation,TB Implementation
15,15,2013-11-27 ,2013-11-27 ,Expats_Replacement,55,55,3,Replacement,Replacement
16,16,2013-11-27 ,2013-11-27 ,COUT_SMF,55,55,2,SMF,SMF
17,17,2013-11-27 ,2013-11-27 ,COUT_Staff national,37,37,2,Staff national,Staff national
18,18,2013-11-27 ,2013-11-27 ,COUT_Laboratory,37,37,2,Laboratory,Laboratory
19,19,2013-11-27 ,2013-11-27 ,COUT_Non laboratory medical items,37,37,2,Non laboratory medical items,Non laboratory medical items
20,20,2013-11-27 ,2013-11-27 ,COUT_Médicaments,37,37,2,Médicaments,Médicaments
21,21,2013-12-04 ,2013-12-04 ,National Staff_Training,55,55,6,Training,Training
22,22,2013-12-04 ,2013-12-04 ,Field of Study_Doctorate,55,55,7,Doctorate,Doctorate
23,23,2013-12-04 ,2013-12-04 ,Field of Study_Peadiatric,55,55,7,Peadiatric,Peadiatric
24,24,2013-12-03 ,2013-12-03 ,Communication_communication,2,2,8,communication,communication
25,25,2013-12-10 ,2013-12-10 ,National Staff_Study conduct,4,4,6,Study conduct,Study conduct
26,26,2013-12-10 ,2013-12-10 ,COUT_Transport,4,4,2,Transport,Transport
27,27,2013-12-10 ,2013-12-10 ,COUT_Impressions,4,4,2,Impressions,Impressions
28,28,2013-12-03 ,2013-12-03 ,Medical Staff_Statis,37,37,4,Statis,Statis
29,29,2013-12-03 ,2013-12-03 ,Research assiatnt_statis,37,37,5,statis,statis
30,30,2013-12-03 ,2013-12-03 ,EXPE_Follow-up,26,26,1,Follow-up,Follow-up
31,31,2013-12-03 ,2013-12-03 ,EXPE_Field visit,26,26,1,Field visit,Field visit
32,32,2013-12-03 ,2013-12-03 ,EXPE_Analyses & Report,26,26,1,Analyses & Report,Analyses & Report
33,33,2013-12-03 ,2013-12-03 ,EXPE_Scientific communication,26,26,1,Scientific communication,Scientific communication
34,34,2013-12-03 ,2013-12-03 ,COUT_Research assistant,26,26,2,Research assistant,Research assistant
35,35,2013-12-03 ,2013-12-03 ,COUT_Cost-effectiveness,26,26,2,Cost-effectiveness,Cost-effectiveness
36,36,2013-12-03 ,2013-12-03 ,COUT_Logistics & Others,26,26,2,Logistics & Others,Logistics & Others
37,37,2013-12-03 ,2013-12-03 ,COUT_Communication,26,26,2,Communication,Communication
38,38,2013-12-04 ,2013-12-04 ,National Staff_Salary Adjustment,55,55,6,Salary Adjustment,Salary Adjustment
39,39,2013-12-04 ,2013-12-04 ,Medical Staff_Mbarara Research Center,55,55,4,Mbarara Research Center,Mbarara Research Center
40,40,2013-12-04 ,2013-12-04 ,Field of Study_Epidemiology,55,55,7,Epidemiology,Epidemiology
41,41,2013-12-04 ,2013-12-04 ,Field of Study_Specialized Study,55,55,7,Specialized Study,Specialized Study
42,42,2013-12-05 ,2013-12-05 ,Ressources humaines_Honararium,47,47,9,Honararium,Honararium
43,43,2013-12-05 ,2013-12-05 ,Human Resources Field_study nurse & data clerk,9,9,11,study nurse & data clerk,study nurse & data clerk
44,44,2013-12-05 ,2013-12-05 ,COUT_Patient insurance,9,9,2,Patient insurance,Patient insurance
45,45,2013-12-05 ,2013-12-05 ,Human Resources Field_Research Assistant,9,9,11,Research Assistant,Research Assistant
46,46,2013-12-09 ,2013-12-09 ,COUT_South Sudan,11,11,2,South Sudan,South Sudan
47,47,2013-12-09 ,2013-12-09 ,COUT_Burkina Faso,11,11,2,Burkina Faso,Burkina Faso
48,48,2013-12-06 ,2013-12-06 ,Expats_Clinical Staff,22,22,3,Clinical Staff,Clinical Staff
49,49,2013-12-06 ,2013-12-06 ,Expats_Support,22,22,3,Support,Support
50,50,2013-12-06 ,2013-12-06 ,National Staff_Clinical staff,22,22,6,Clinical staff,Clinical staff
51,51,2013-12-06 ,2013-12-06 ,National Staff_Support,22,22,6,Support,Support
52,52,2013-12-06 ,2013-12-06 ,Ressources humaines_Training,22,22,9,Training,Training
53,53,2013-12-06 ,2013-12-06 ,COUT_Local fees,22,22,2,Local fees,Local fees
54,54,2013-12-06 ,2013-12-06 ,COUT_Study participants,22,22,2,Study participants,Study participants
55,55,2013-12-06 ,2013-12-06 ,COUT_Diagnosis,22,22,2,Diagnosis,Diagnosis
56,56,2013-12-06 ,2013-12-06 ,Expats_Clinical Research Assitant,24,24,3,Clinical Research Assitant,Clinical Research Assitant
57,57,2013-12-06 ,2013-12-06 ,National Staff_Study staff,24,24,6,Study staff,Study staff
58,58,2013-12-09 ,2013-12-09 ,Salles_Salles,63,63,12,Salles,Salles
59,59,2013-12-09 ,2013-12-09 ,Technique_Technique,63,63,13,Technique,Technique
60,60,2013-12-09 ,2013-12-09 ,Traiteur_Traiteur,63,63,14,Traiteur,Traiteur
61,61,2013-12-09 ,2013-12-09 ,Prestations annexes_Prestations annexes,63,63,15,Prestations annexes,Prestations annexes
62,62,2013-12-09 ,2013-12-09 ,Documents communication_Documents communication,63,63,16,Documents communication,Documents communication
63,63,2013-12-09 ,2013-12-09 ,Maputo - LAM_Expertise,26,26,17,Expertise,Expertise
64,64,2013-12-09 ,2015-06-17 ,Maputo - LAM_Coûts opérationnels,26,97,17,Coûts opérationnels,Coûts opérationannels
65,65,2013-12-09 ,2013-12-09 ,Ndhiwa - LAM_Expertise,26,26,18,Expertise,Expertise
66,66,2013-12-09 ,2013-12-09 ,Ndhiwa - LAM_Coûts opérationnels,26,26,18,Coûts opérationnels,Coûts opérationnels
67,67,2013-12-09 ,2013-12-09 ,Chiradzulu - LAM_Expertise,26,26,19,Expertise,Expertise
68,68,2013-12-09 ,2013-12-09 ,Chiradzulu - LAM_Coûts opérationnels,26,26,19,Coûts opérationnels,Coûts opérationnels
69,69,2013-12-09 ,2013-12-09 ,RDC - LAM_Expertise,26,26,20,Expertise,Expertise
70,70,2013-12-09 ,2013-12-09 ,RDC - LAM_Coûts opérationnels,26,26,20,Coûts opérationnels,Coûts opérationnels
71,71,2013-12-09 ,2013-12-09 ,EXPE_Protocole,26,26,1,Protocole,Protocole
72,72,2013-12-09 ,2013-12-09 ,COUT_Operational costs,60,60,2,Operational costs,Operational costs
73,73,2013-12-09 ,2013-12-09 ,EXPE_Protocol development,24,24,1,Protocol development,Protocol development
74,74,2013-12-09 ,2013-12-09 ,EXPE_Administration,24,24,1,Administration,Administration
75,75,2013-12-09 ,2013-12-09 ,EXPE_Site assessment,24,24,1,Site assessment,Site assessment
76,76,2013-12-09 ,2013-12-09 ,EXPE_Meetings,24,24,1,Meetings,Meetings
77,77,2013-12-09 ,2013-12-09 ,Research assiatnt_Implementation,24,24,5,Implementation,Implementation
78,78,2013-12-09 ,2013-12-09 ,National Staff_Nurse,24,24,6,Nurse,Nurse
79,79,2013-12-09 ,2013-12-09 ,Materiel communication_Materiel communication,63,63,21,Materiel communication,Materiel communication
80,80,2013-12-09 ,2013-12-09 ,Hebergement_Hebergement,63,63,22,Hebergement,Hebergement
81,81,2013-12-09 ,2013-12-09 ,Perdiem guest JS_Perdiem guest JS,63,63,23,Perdiem guest JS,Perdiem guest JS
82,82,2013-12-09 ,2013-12-09 ,DSMB and Scientific Committee_Consultancy Fees,43,43,24,Consultancy Fees,Consultancy Fees
83,83,2013-12-10 ,2013-12-10 ,Human Resources (study nurse and data clerk)_CRA,39,39,10,CRA,CRA
84,84,2013-12-10 ,2013-12-10 ,Human Resources Field_translator,39,39,11,translator,translator
85,85,2013-12-10 ,2013-12-10 ,Human Resources Field_Transportation,39,39,11,Transportation,Transportation
86,86,2013-12-19 ,2013-12-19 ,ARCOLE,65,65,25,Données comptables,Accounting data
87,87,2014-02-06 ,2014-02-06 ,Coûts administratifs_Coûts administratifs,58,58,26,Coûts administratifs,Coûts administratifs
88,88,2014-02-06 ,2014-02-06 ,Coûts de structure_Bâtiment Crozatier,58,58,27,Bâtiment Crozatier,Bâtiment Crozatier
89,89,2014-04-15 ,2014-04-15 ,COUT_Ethical review,26,26,2,Ethical review,Ethical review
90,90,2014-04-22 ,2014-04-22 ,COUT_Rapid diagnostic test Malaria,23,23,2,Rapid diagnostic test Malaria,Rapid diagnostic test Malaria
91,91,2014-04-20 ,2014-04-20 ,National Staff_Data clerk,9,9,6,Data clerk,Data clerk
92,92,2014-06-19 ,2014-06-19 ,COUT_Data backups,55,55,2,Data backups,Data backups
93,93,2014-06-19 ,2014-06-19 ,Expats_Guest House,55,55,3,Guest House,Guest House
94,94,2014-06-19 ,2014-06-19 ,Human Resources Field_Personnel Development,55,55,11,Personnel Development,Personnel Development
95,95,2014-06-24 ,2014-06-24 ,COUT_Consultancy,55,55,2,Consultancy,Consultancy
