rownames,topic_id,created,modified,code,display_order,created_by_id,last_modification_by_id,text_fr,text_en
1,1,2018-07-18 ,2018-07-18 ,top_id,10,,,Maladies infectieuses,Infectious Diseases
2,2,2018-07-18 ,2018-07-18 ,top_id_abr,20,,,Maladies infectieuses > ABR,Infectious Disease > ABR
3,3,2018-07-18 ,2018-07-18 ,top_id_bact,30,,,Maladies infectieuses > Bactériémie,Infectious Disease > Bactaeriema
4,4,2018-07-18 ,2018-07-18 ,top_id_bru,40,,,Maladies infectieuses > Brucellose,Infectious Disease > Brucellosis
5,5,2018-07-18 ,2018-07-18 ,top_id_dia,50,,,Maladies infectieuses > Diarrhées,Infectious Disease > Diarrhoeal Diseases
6,6,2018-07-18 ,2018-07-18 ,top_id_dia_cholera,51,,,Maladies infectieuses > Diarrhées > Cholera,Infectious Disease > Diarrhoeal Diseases > Cholera
7,7,2018-07-18 ,2018-07-18 ,top_id_dia_shi,52,,,Maladies infectieuses > Diarrhées > Shigellosis,Infectious Disease > Diarrhoeal Diseases > Shigellosis
8,8,2018-07-18 ,2021-06-16 ,top_id_dia_oth,53,,130,Maladies infectieuses > Diarrhées > Autres Diarrhées,Infectious Disease > Diarrhoeal Diseases > Other Diarrhoeal Diseases 
9,9,2018-07-18 ,2018-07-18 ,top_id_fev,60,,,Maladies infectieuses > Fièvres,Infectious Disease > Fevers
10,10,2018-07-18 ,2018-07-18 ,top_id_fh,70,,,Maladies infectieuses > Fièvres Hémorragiques,Infectious Disease > Haemorrhagic Fevers
11,11,2018-07-18 ,2018-07-18 ,top_id_fh_eb,71,,,Maladies infectieuses > Fièvres Hémorragiques > Ebola,Infectious Disease > Haemorrhagic Fevers > Ebola
12,12,2018-07-18 ,2021-06-16 ,top_id_fh_oth,72,,130,Maladies infectieuses > Fièvres Hémorragiques > Autres Fièvres Hémorragiques,Infectious Disease > Haemorrhagic Fevers > Other Haemorrhagic Fevers
13,13,2018-07-18 ,2018-07-18 ,top_id_hep,80,,,Maladies infectieuses > Hépatite,Infectious Disease > Hepatitis > Hepatitis
14,14,2018-07-18 ,2018-07-18 ,top_id_hepa,81,,,Maladies infectieuses > Hépatite > Hépatite A,Infectious Disease > Hepatitis > Hepatitis A
15,15,2018-07-18 ,2018-07-18 ,top_id_hepb,82,,,Maladies infectieuses > Hépatite > Hépatite B,Infectious Disease > Hepatitis > Hepatitis B
16,16,2018-07-18 ,2018-07-18 ,top_id_hepc,83,,,Maladies infectieuses > Hépatite > Hépatite C,Infectious Disease > Hepatitis > Hepatitis C
17,17,2018-07-18 ,2018-07-18 ,top_id_hepe,84,,,Maladies infectieuses > Hépatite > Hépatite E,Infectious Disease > Hepatitis > Hepatitis E
18,18,2018-07-18 ,2021-06-16 ,top_id_hep_oth,85,,130,Maladies infectieuses > Hépatite > Autres Hépatites,Infectious Disease > Hepatitis > Other Hepatitis
19,19,2018-07-18 ,2018-07-18 ,top_id_hv,90,,,Maladies infectieuses > Herpes Virus,Infectious Disease > Herpes Virus > Herpes Virus
20,20,2018-07-18 ,2018-07-18 ,top_id_hiv,100,,,Maladies infectieuses > HIV,Infectious Disease > HIV
21,21,2018-07-18 ,2018-07-18 ,top_id_hivtb,110,,,Maladies infectieuses > HIV+TB,Infectious Disease > HIV+TB
22,22,2018-07-18 ,2018-07-18 ,top_id_mal,120,,,Maladies infectieuses > Paludisme,Infectious Disease > Malaria
23,23,2018-07-18 ,2018-07-18 ,top_id_men,130,,,Maladies infectieuses > Méningite,Infectious Disease > Meningitis
24,24,2018-07-18 ,2018-07-18 ,top_id_men_men,131,,,Maladies infectieuses > Méningite > Méningite Meningococcal,Infectious Disease > Meningitis > Meningitis Meningococcal
25,25,2018-07-18 ,2021-06-16 ,top_id_men_oth,132,,130,Maladies infectieuses > Méningite > Autres Méningites,Infectious Disease > Meningitis > Other Meningitis
26,26,2018-07-18 ,2018-07-18 ,top_id_ntd,140,,,Maladies infectieuses > NTD,Infectious Disease > NTD
27,27,2018-07-18 ,2018-07-18 ,top_id_ntd_bur,141,,,Maladies infectieuses > NTD > Buruli,Infectious Disease > NTD > Buruli
28,28,2018-07-18 ,2018-07-18 ,top_id_ntd_chag,142,,,Maladies infectieuses > NTD > Chagas,Infectious Disease > NTD > Chagas
29,29,2018-07-18 ,2018-07-18 ,top_id_ntd_den,143,,,Maladies infectieuses > NTD > Dengue,Infectious Disease > NTD > Dengue
30,30,2018-07-18 ,2018-07-18 ,top_id_ntd_fil,144,,,Maladies infectieuses > NTD > Filariose,Infectious Disease > NTD > Filariasis
31,31,2018-07-18 ,2018-07-18 ,top_id_ntd_hat,145,,,Maladies infectieuses > NTD > HAT,Infectious Disease > NTD > HAT
32,32,2018-07-18 ,2018-07-18 ,top_id_ntd_leish,146,,,Maladies infectieuses > NTD > Leishmaniose,Infectious Disease > NTD > Leishmaniasis
33,33,2018-07-18 ,2018-07-18 ,top_id_ntd_lep,147,,,Maladies infectieuses > NTD > Lèpre,Infectious Disease > NTD > Leprosy
34,34,2018-07-18 ,2018-07-18 ,top_id_ntd_rab,148,,,Maladies infectieuses > NTD > Rage,Infectious Disease > NTD > Rabbies
35,35,2018-07-18 ,2021-06-16 ,top_id_ntd_oth,149,,130,Maladies infectieuses > NTD > Autre NTD,Infectious Disease > NTD > Other NTD
36,36,2018-07-18 ,2018-07-18 ,top_id_rick,150,,,Maladies infectieuses > Rickettsiose,Infectious Disease > Rickets
37,37,2018-07-18 ,2018-07-18 ,top_id_sal,160,,,Maladies infectieuses > Salmonella,Infectious Disease > Salmonella
38,38,2018-07-18 ,2018-07-18 ,top_id_sal_nt,161,,,Maladies infectieuses > Salmonella > Salmonella Non Typhi,Infectious Disease > Salmonella > Salmonella Non Typhi
39,39,2018-07-18 ,2018-07-18 ,top_id_sal_t,162,,,Maladies infectieuses > Salmonella > Salmonella Typhi,Infectious Disease > Salmonella > Salmonella Typhi
40,40,2018-07-18 ,2018-07-18 ,top_id_tb,163,,,Maladies infectieuses > Tuberculose,Infectious Disease > Tuberculosis > Tuberculosis
41,41,2018-07-18 ,2018-07-18 ,top_id_vpd,170,,,Maladies infectieuses > Maladies Evitables par Vacc,Infectious Disease > Vaccine Preventable Diseases
42,42,2018-07-18 ,2018-07-18 ,top_id_vpd_diph,171,,,Maladies infectieuses > Maladies Evitables par Vacc > Diphterie,Infectious Disease > Vaccine Preventable Diseases > Diphteria
43,43,2018-07-18 ,2018-07-18 ,top_id_vpd_meas,172,,,Maladies infectieuses > Maladies Evitables par Vacc > Rougeole,Infectious Disease > Vaccine Preventable Diseases > Measles
44,44,2018-07-18 ,2018-07-18 ,top_id_vpd_per,173,,,Maladies infectieuses > Maladies Evitables par Vacc > Coqueluche,Infectious Disease > Vaccine Preventable Diseases > Pertussis
45,45,2018-07-18 ,2018-07-18 ,top_id_vpd_polio,174,,,Maladies infectieuses > Maladies Evitables par Vacc > Polio,Infectious Disease > Vaccine Preventable Diseases > Polio
46,46,2018-07-18 ,2021-06-16 ,top_id_vpd_oth,176,,130,Maladies infectieuses > Maladies Evitables par Vacc > Autres Maladies Evitables par Vacc ,Infectious Disease > Vaccine Preventable Diseases > Other Vaccine Preventable Diseases
47,47,2018-07-18 ,2018-07-18 ,top_id_yf,180,,,Maladies infectieuses > Fièvre Jaune,Infectious Disease > Yellow Fever
48,48,2018-07-18 ,2018-07-18 ,top_nc,200,,,Maladies Non transmissibles,Non Communicable Disease
49,49,2018-07-18 ,2018-07-18 ,top_nc_k,210,,,Maladies Non transmissibles > Cancer,Non Communicable Disease > Cancer
50,50,2018-07-18 ,2018-07-18 ,top_nc_car,220,,,Maladies Non transmissibles > Maladies Cardiaques,Non Communicable Disease > Cardiac Diseases
51,51,2018-07-18 ,2018-07-18 ,top_nc_intox,230,,,Maladies Non transmissibles > Intoxication,Non Communicable Disease > Intoxication
52,52,2018-07-18 ,2018-07-18 ,top_nc_met,240,,,Maladies Non transmissibles > Maladies Métaboliques et Endocriniennes,Non Communicable Disease > Metabolic & Endocrine Diseases
53,53,2018-07-18 ,2018-07-18 ,top_nc_met_diab,250,,,Maladies Non transmissibles > Maladies Métaboliques et Endocriniennes > Diabetes,Non Communicable Disease > Metabolic & Endocrine Diseases > Diabetes
54,54,2018-07-18 ,2021-06-16 ,top_nc_met_oth,260,,130,Maladies Non transmissibles > Maladies Métaboliques et Endocriniennes > Autres Maladies Métaboliques et Endocriniennes,Non Communicable Disease > Metabolic and Endocrine Diseases> Other Metabolic and Endocrine Diseases
55,55,2018-07-18 ,2018-07-18 ,top_nc_env,270,,,Maladies Non transmissibles > Maladie liée à l'environnement,Non Communicable Disease > Environmental Diseases
56,56,2018-07-18 ,2018-07-18 ,top_nc_hema,280,,,Maladies Non transmissibles > Maladie Hématologique,Non Communicable Disease > Hematologic diseases
