rownames,user_id,permission_id
1,165,15
2,165,12
3,165,11
4,165,7
5,79,15
6,51,15
7,51,12
8,51,7
9,51,8
10,51,16
11,52,15
12,52,12
13,187,13
14,189,13
15,52,13
16,194,15
17,194,2
18,25,15
19,25,7
20,52,7
21,206,15
22,206,7
23,25,13
24,165,8
25,206,16
26,70,14
27,166,15
28,166,12
29,166,7
30,194,3
31,194,4
32,39,15
33,165,9
34,39,13
35,39,7
36,194,5
37,194,21
38,152,15
39,194,1
40,194,20
41,165,26
42,152,7
43,130,15
44,194,10
45,194,19
46,194,7
47,194,8
48,130,12
49,194,9
50,194,26
51,217,15
52,130,13
53,217,2
54,217,7
55,212,15
56,20,15
57,20,12
58,165,16
59,20,7
60,20,8
61,194,16
62,181,15
63,181,7
64,181,16
65,198,15
66,198,12
67,198,10
68,213,15
69,198,7
70,198,8
71,198,26
72,198,16
73,213,11
74,213,7
75,213,16
76,21,15
77,213,12
78,213,18
79,21,12
80,166,8
81,194,6
82,211,15
83,194,12
84,195,13
85,211,7
86,219,15
87,21,7
88,130,1
89,219,21
90,130,7
91,21,8
92,21,16
93,166,16
94,219,7
95,88,15
96,88,12
97,56,15
98,56,12
99,219,8
100,56,7
101,203,15
102,203,12
103,219,9
104,203,7
105,219,26
106,219,16
107,219,12
108,28,15
109,84,15
110,80,15
111,80,2
112,80,7
113,140,15
114,215,15
115,84,12
116,215,2
117,215,12
118,215,7
119,199,13
120,200,13
121,67,14
122,67,15
123,67,2
124,67,3
125,28,7
126,20,16
127,140,7
128,105,15
129,105,12
130,84,7
131,105,13
132,105,7
133,148,15
134,67,4
135,67,5
136,67,24
137,215,8
138,148,13
139,148,7
140,148,16
141,215,16
142,140,16
143,140,12
144,67,6
145,67,12
146,67,13
147,67,21
148,67,1
149,67,20
150,67,10
151,9,15
152,67,19
153,67,7
154,67,8
155,67,9
156,67,26
157,67,16
158,67,17
159,67,22
160,67,23
161,67,25
162,67,18
163,208,15
164,208,7
165,151,15
166,151,13
167,9,12
168,9,13
169,9,7
170,194,13
171,205,15
172,167,15
173,167,7
174,167,16
175,170,15
176,170,13
177,170,7
178,170,16
179,10,15
180,10,12
181,30,15
182,30,12
183,30,7
184,30,8
185,10,13
186,10,7
187,30,16
188,88,13
189,88,7
190,163,15
191,163,12
192,163,13
193,163,7
194,163,16
195,210,15
196,210,7
197,178,15
198,178,11
199,178,7
200,48,15
201,48,12
202,48,13
203,48,7
204,130,8
205,130,9
206,130,16
207,159,7
208,70,12
209,72,7
210,63,15
211,103,7
212,82,15
213,7,15
214,7,12
215,7,13
216,183,15
217,7,7
218,157,7
219,183,2
220,183,4
221,104,14
222,183,10
223,183,7
224,183,8
225,154,15
226,154,13
227,183,9
228,183,16
229,183,12
230,218,15
231,218,12
232,218,10
233,218,7
234,11,15
235,11,12
236,11,13
237,11,7
238,59,14
239,59,15
240,59,12
241,59,7
242,59,16
243,121,15
244,121,13
245,121,7
246,73,13
247,83,13
248,92,13
249,95,13
250,179,15
251,179,7
252,98,6
253,113,15
254,113,12
255,113,13
256,94,13
257,100,13
258,101,12
259,101,13
260,102,12
261,102,13
262,117,15
263,117,13
264,117,7
265,119,13
266,120,15
267,120,12
268,120,13
269,120,7
270,123,15
271,123,13
272,123,7
273,127,13
274,129,13
275,131,15
276,131,13
277,131,7
278,133,13
279,146,15
280,146,13
281,66,15
282,66,12
283,66,13
284,66,7
285,69,12
286,69,13
287,69,7
288,71,12
289,71,13
290,8,15
291,8,12
292,8,13
293,8,7
294,31,15
295,31,12
296,31,13
297,31,7
298,61,15
299,61,12
300,61,7
301,54,15
302,54,12
303,54,13
304,54,7
305,90,13
306,97,15
307,97,7
308,97,8
309,97,9
310,87,15
311,87,13
312,68,15
313,68,2
314,68,12
315,68,7
316,109,15
317,109,7
318,58,14
319,58,15
320,58,2
321,58,12
322,58,7
323,58,8
324,58,9
325,58,16
326,82,13
327,111,15
328,111,2
329,111,7
330,86,15
331,86,12
332,86,13
333,86,7
334,34,15
335,34,12
336,34,13
337,34,7
338,115,14
339,115,15
340,115,12
341,115,20
342,115,7
343,115,16
344,78,15
345,78,13
346,78,7
347,118,13
348,132,15
349,132,13
350,143,15
351,143,13
352,134,13
353,91,13
354,126,15
355,126,7
356,126,16
357,144,13
358,137,13
359,99,15
360,99,13
361,99,7
362,145,13
363,145,7
364,16,15
365,16,12
366,16,13
367,16,7
368,16,16
369,22,15
370,22,12
371,22,13
372,22,7
373,36,15
374,36,13
375,36,7
376,12,15
377,12,12
378,12,13
379,12,7
380,4,15
381,4,12
382,4,13
383,4,7
384,104,15
385,104,12
386,104,7
387,104,8
388,104,16
389,139,13
390,1,15
391,1,12
392,1,13
393,1,7
394,47,15
395,47,12
396,47,13
397,47,7
398,47,8
399,47,9
400,47,26
401,47,16
402,93,15
403,93,13
404,93,7
405,156,7
406,171,15
407,171,13
408,171,7
409,171,16
410,114,12
411,114,13
412,169,15
413,169,13
414,169,10
415,169,7
416,169,8
417,169,16
418,158,15
419,158,7
420,172,15
421,172,7
422,172,16
423,174,15
424,174,7
425,174,16
426,63,12
427,63,7
428,63,16
429,74,7
430,124,15
431,185,15
432,212,7
433,205,13
434,136,7
435,185,2
436,185,3
437,185,4
438,207,13
439,185,5
440,185,6
441,185,12
442,185,13
443,185,21
444,185,1
445,185,20
446,185,10
447,185,11
448,185,19
449,185,7
450,185,8
451,185,9
452,185,26
453,13,15
454,13,13
455,185,16
456,13,7
457,185,27
458,153,15
459,153,12
460,153,13
461,153,7
462,116,15
463,116,13
464,164,15
465,164,12
466,164,13
467,164,7
468,164,8
469,164,9
470,164,26
471,164,16
472,116,7
473,107,13
474,154,7
475,154,16
476,106,15
477,106,13
478,106,7
479,106,16
480,162,13
481,175,15
482,175,6
483,175,12
484,175,13
485,175,21
486,175,19
487,175,7
488,175,8
489,175,9
490,175,26
491,175,16
492,180,15
493,180,7
494,190,13
495,191,13
496,142,15
497,142,13
498,142,7
499,142,16
500,216,15
501,216,2
502,216,3
503,216,4
504,216,5
505,216,6
506,216,12
507,216,21
508,216,20
509,216,10
510,216,11
511,216,19
512,216,7
513,216,8
514,216,9
515,216,26
516,216,16
517,216,27
518,62,15
519,62,7
520,62,8
521,62,16
522,62,12
523,182,7
524,182,16
525,214,15
526,214,3
527,214,21
528,214,1
529,214,20
530,214,10
531,214,11
532,214,19
533,214,7
534,214,8
535,214,9
536,214,26
537,214,16
538,214,6
539,214,12
540,221,15
541,221,2
542,221,3
543,221,4
544,43,14
545,43,15
546,43,2
547,43,12
548,43,13
549,43,7
550,43,8
551,43,16
552,53,15
553,53,2
554,53,12
555,53,13
556,53,7
557,53,8
558,160,14
559,160,15
560,160,2
561,160,3
562,160,4
563,160,5
564,160,24
565,160,6
566,160,12
567,160,13
568,160,21
569,160,1
570,160,20
571,173,14
572,173,15
573,173,2
574,173,3
575,173,4
576,173,13
577,173,10
578,160,10
579,173,7
580,173,8
581,173,16
582,160,19
583,160,7
584,160,8
585,160,9
586,160,26
587,160,16
588,160,17
589,160,22
590,160,23
591,160,25
592,160,18
593,221,5
594,221,6
595,221,12
596,221,13
597,221,21
598,221,1
599,221,20
600,221,10
601,221,11
602,221,19
603,221,7
604,221,8
605,221,9
606,221,26
607,221,16
608,221,27
609,2,15
610,2,7
611,161,15
612,161,3
613,161,6
614,161,12
615,161,21
616,161,1
617,55,15
618,55,12
619,55,10
620,55,7
621,55,16
622,55,18
623,161,20
624,161,10
625,161,11
626,161,19
627,161,7
628,161,8
629,161,9
630,161,26
631,161,16
632,26,15
633,26,12
634,19,14
635,19,15
636,19,2
637,19,12
638,19,13
639,26,7
640,19,7
641,19,8
642,19,16
643,19,17
644,26,8
645,26,16
646,220,15
647,220,13
648,220,7
649,220,16
650,209,15
651,209,7
652,193,13
653,138,15
654,138,13
655,138,7
656,192,13
657,196,13
658,197,13
659,202,15
660,177,15
661,177,7
662,177,26
663,177,16
664,204,13
665,23,15
666,23,12
667,23,13
668,141,15
669,141,13
670,141,7
671,150,15
672,150,13
673,150,7
674,23,7
675,24,15
676,135,15
677,135,13
678,135,7
679,122,15
680,122,13
681,122,7
682,3,15
683,3,12
684,3,13
685,24,12
686,3,7
687,3,8
688,3,16
689,24,13
690,24,7
691,24,8
692,24,16
693,147,13
694,184,15
695,184,13
696,184,7
697,33,14
698,33,15
699,18,15
700,33,2
701,18,7
702,18,16
703,33,12
704,50,15
705,50,12
706,50,13
707,33,13
708,50,7
709,33,7
710,33,8
711,33,16
712,40,15
713,40,2
714,40,7
715,40,8
716,40,16
717,168,15
718,168,13
719,168,7
720,168,16
721,38,15
722,38,12
723,38,13
724,38,7
725,155,15
726,155,7
727,186,13
728,188,13
729,110,15
730,110,12
731,110,13
732,110,7
733,112,15
734,112,12
735,112,13
736,112,7
737,49,15
738,49,7
739,128,15
740,128,13
741,128,7
742,45,15
743,45,12
744,45,13
745,45,7
746,81,15
747,81,13
748,81,7
749,17,15
750,17,12
751,17,13
752,17,7
753,17,16
754,29,15
755,29,2
756,29,12
757,29,13
758,29,7
759,29,8
760,29,9
761,29,16
762,37,15
763,37,12
764,37,13
765,37,7
766,57,15
767,57,12
768,57,10
769,57,7
770,57,8
771,57,26
772,57,16
773,205,7
774,149,15
775,149,7
776,89,15
777,89,13
778,89,7
