rownames,work_duration_id,created,modified,comments,duration,created_by_id,last_modification_by_id,period_id,project_id,user_id,collaborator_id
1,1,2013-11-08 ,2013-11-08 , ,10,,,1,86,46,
2,2,2013-11-08 ,2013-11-08 ,2-4 (CP)  7 (RM)  9-11 (CP)  15-18 (CP)  31 (CP),12,,,1,208,5,5
3,3,2013-11-08 ,2013-11-08 ,mailing  meeting  final evaluation  handovers ,9,,,1,211,5,5
4,4,2013-11-08 ,2013-11-08 ,"finalization paper ""Reaching the hard-to-reach""  resubmission paper ""One size doesn't fit all""",1,,,1,47,5,5
5,5,2013-11-08 ,2013-11-08 ,1-23 (CP  RM  RF),16,,,2,208,5,5
6,6,2013-11-08 ,2013-11-08 ,Briefingsabout malaria research  First discussions about study of ACT efficacy in South Sudan  submission of concept paper,11,,,1,211,34,34
7,7,2013-11-08 ,2013-11-08 ,Briefing about the study  Bibliography  research of study sites,6,,,1,73,34,34
8,8,2013-11-08 ,2013-11-08 ,18 ( 1/2RTT)  23 (enfant malade),1.5,,,1,208,34,34
9,9,2013-11-08 ,2013-11-08 ,Ateliers du PIRC Pasteur  l'IDMC (29),0.5,,,1,209,34,34
10,10,2013-11-08 ,2013-11-08 ,Préparation  implémentation sur place et bilan,14,,,1,201,40,39
11,11,2013-11-08 ,2013-11-08 ,semaine médicale,6,,,1,196,40,39
12,12,2013-11-08 ,2013-11-08 ,Préparation RepEpi mars,1,,,1,194,40,39
13,13,2013-11-08 ,2013-11-08 ,Préparation formation Kenya,0.5,,,1,204,40,39
14,14,2013-11-08 ,2013-11-08 ,Réunions  bilans,2,,,1,211,40,39
15,15,2013-11-08 ,2013-11-08 ,Récupération Week ends Tchad (25 et 28 Matin),1.5,,,1,208,40,39
16,16,2013-11-08 ,2013-11-08 ,RTT M (21 Demi journée / 31 demi journée),1,,,1,208,30,30
17,17,2013-11-08 ,2013-11-08 ,Meeting  brieffing ,4,,,1,211,30,30
18,18,2013-11-08 ,2013-11-08 ,Reunions   travail sur cas pratiques,5,,,1,202,30,30
19,19,2013-11-08 ,2013-11-08 ,Travail avec Pharma  redaction proprosition contenu,12,,,1,86,30,30
20,20,2013-11-08 ,2013-11-08 ,2 janv: RTTM - 3 janv: décès - du 4 au 28 janv inclus: 17 CP,19,,,1,208,21,21
21,21,2013-11-08 ,2013-11-08 ,mails  archivage études,3,,,1,211,21,21
22,22,2013-11-08 ,2013-11-08 ,Préparation PSP de février 2013,8.25,,,1,192,27,27
23,23,2013-11-08 ,2013-11-08 ,Participation révision DP des HoM,1.25,,,1,196,27,27
24,24,2013-11-08 ,2013-11-08 ,Préparation formation d'avril 2013,4,,,1,202,27,27
25,25,2013-11-08 ,2013-11-08 ,Support pédagogique projet Augusto,0.25,,,1,54,27,27
26,26,2013-11-08 ,2013-11-08 ,Suivi département formation,1.5,,,1,210,27,27
27,27,2013-11-08 ,2013-11-08 ,Participation divers réunion Epicentre,1.75,,,1,211,27,27
28,28,2013-11-08 ,2013-11-08 ,Formation de formateurs Epicentre  prépa et réalisation,4,,,1,209,27,27
29,29,2013-11-08 ,2013-11-08 ,RTTM de janvier le 29/01,1,,,1,208,27,27
30,30,2013-11-08 ,2013-11-08 ,Analyses et écriture article,2,,,1,42,4,4
31,31,2013-11-08 ,2013-11-08 ,Finalisation et soumission articles,1.5,,,1,85,4,4
32,32,2013-11-08 ,2013-11-08 ,Réunion méningite et soumission article tests rapides cholera,2,,,1,44,4,4
33,33,2013-11-08 ,2013-11-08 ,Analyses et écriture article,2,,,1,90,4,4
34,34,2013-11-08 ,2013-11-08 ,Suivi labo et article colorimetrique,1,,,1,114,4,4
35,35,2013-11-08 ,2013-11-08 ,Lecture et protocole,1,,,1,138,4,4
36,36,2013-11-08 ,2013-11-08 ,Protocole,2.5,,,1,162,4,4
37,37,2013-11-08 ,2013-11-08 ,Suivi et rapport,0.5,,,1,65,4,4
38,38,2013-11-08 ,2013-11-08 ,Réunion  galette  réunions DP,6,,,1,211,4,4
39,39,2013-11-08 ,2013-11-08 ,Suivi  projet Pasteur,1.5,,,1,170,4,4
40,40,2013-11-08 ,2013-11-08 ,Suivi ,0.5,,,1,81,4,4
41,41,2013-11-08 ,2013-11-08 ,RTTM 2/01  1/2 CP 24/01,1.5,,,1,208,4,4
42,42,2013-11-08 ,2013-11-08 ,Finalisation draft  redaction abstract IAS ,2,,,1,159,42,41
43,43,2013-11-08 ,2013-11-08 ,Finalisation draft  redaction abstract IAS ,5,,,1,71,42,41
44,44,2013-11-08 ,2013-11-08 ,Biblio  redaction 1er draft  abstract IAS ,5,,,1,157,42,41
45,45,2013-11-08 ,2013-11-08 ,Mail  réunion  divers ,5,,,1,211,42,41
46,46,2013-11-08 ,2013-11-08 ,1  2  3  4  29 (Enfant malade),5,,,1,208,42,41
47,47,2013-11-08 ,2013-11-08 ,Trial monitoring,8,,,1,119,2,2
48,48,2013-11-08 ,2013-11-08 ,Récup 8 9 et 10 janvier / RTT mensuel 18/01 / RTTF 17  21 et 31 janvier/ congés 30/01,8,,,1,208,2,2
49,49,2013-11-08 ,2013-11-08 ,2 jours de voyage et réunions  admin,4,,,1,211,2,2
50,50,2013-11-08 ,2013-11-08 ,préparation mapping ,2,,,1,87,2,2
51,51,2013-11-08 ,2013-11-08 ,RTTM 02/01,1,,,1,208,11,11
52,52,2013-11-08 ,2013-11-08 ,Réunion DP  Bilan galette  réunion scientifique,1,,,1,211,11,11
53,53,2013-11-08 ,2013-11-08 ,Présentation CNR,1,,,1,42,11,11
54,54,2013-11-08 ,2013-11-08 ,Labo support,1,,,1,51,11,11
55,55,2013-11-08 ,2013-11-08 ,étude ancillaire,3,,,1,83,11,11
56,56,2013-11-08 ,2013-11-08 ,Analyses et rédaction rapport final,13,,,1,84,11,11
57,57,2013-11-08 ,2013-11-08 ,Soumission abstract distrib,2,,,1,44,11,11
58,58,2013-11-08 ,2013-11-08 ,41291,1,,,1,208,28,28
59,59,2013-11-08 ,2013-11-08 ,Meetings  littérature  mail  méthodo  réunions,4,,,1,211,28,28
60,60,2013-11-08 ,2013-11-08 ,Littérature ans paper  soumission IAS,5,,,1,159,28,28
61,61,2013-11-08 ,2013-11-08 , ,3,,,1,64,28,28
62,62,2013-11-08 ,2013-11-08 , ,3,,,1,56,28,28
63,63,2013-11-08 ,2013-11-08 , ,1.5,,,1,66,28,28
64,64,2013-11-08 ,2013-11-08 ,Envoi new version  mailing,2.5,,,1,62,28,28
65,65,2013-11-08 ,2013-11-08 ,Recuperation et nettoyage de bd,2,,,1,59,28,28
66,66,2013-11-08 ,2013-11-08 ,2/1  2/2  2/4  2/28  2/29  2/30  2/31,7,,,1,208,43,42
67,67,2013-11-08 ,2013-11-08 ,visit Niger for follow-up,7,,,1,52,43,42
68,68,2013-11-08 ,2013-11-08 ,annual evaluations  directors meeting  grille meeting  department meeting  atelier planning  emails  RH meeitngs,4,,,1,211,43,42
69,69,2013-11-08 ,2013-11-08 ,review of abstract and article,1,,,1,137,43,42
70,70,2013-11-08 ,2013-11-08 ,follow-up of abstracts and report,1,,,1,84,43,42
71,71,2013-11-08 ,2013-11-08 ,preliminary discussions and project planning,2,,,1,136,43,42
72,72,2013-11-08 ,2013-11-08 ,RTTM 2/01  1/2 RTTF 4/01 11/01 1/2 RTT 14/01  17/01,4,,,1,208,18,18
73,73,2013-11-08 ,2013-11-08 ,ToT,3,,,1,209,18,18
74,74,2013-11-08 ,2013-11-08 ,meeting objectifs  atelier Pasteur  meeting clinical trials  misc and mails,6,,,1,211,18,18
75,75,2013-11-08 ,2013-11-08 ,follow up  CTT meeting,2,,,1,76,18,18
76,76,2013-11-08 ,2013-11-08 ,analyses for TB Iris (carinemo)  meeting Nilesh PK Rif+data,5,,,1,212,18,18
77,77,2013-11-08 ,2013-11-08 ,review ASAQ questions for manuscript,0.5,,,1,212,18,18
78,78,2013-11-08 ,2013-11-08 ,discussion training plan,0.75,,,1,55,18,18
79,79,2013-11-08 ,2013-11-08 ,protocol discussion  meeting,0.75,,,1,87,18,18
80,80,2013-11-08 ,2013-11-08 ,DB cleaning  analysis  report,5.5,,,1,9,39,38
81,81,2013-11-08 ,2013-11-08 ,Preparation Phase 3 + seminar,1.5,,,1,1,39,38
82,82,2013-11-08 ,2013-11-08 ,RTTM (2/1)  CP (24 25),3,,,1,208,39,38
83,83,2013-11-08 ,2013-11-08 ,TOT,3,,,1,209,39,38
84,84,2013-11-08 ,2013-11-08 ,Meetings  mails  misc,4,,,1,211,39,38
85,85,2013-11-08 ,2013-11-08 ,Vaccine meeting Bxl,2.5,,,1,44,39,38
86,86,2013-11-08 ,2013-11-08 ,Révision anglais,0.5,,,1,199,39,38
87,87,2013-11-08 ,2013-11-08 ,protocol discussion  meeting,2,,,1,162,39,38
88,88,2013-11-08 ,2013-11-08 ,developing new case studies  writing&revision of documents (working half time up to 17th Jan),6,,,1,199,48,45
89,89,2013-11-08 ,2013-11-08 ,1 day RTT mensuel (18th January) ,1,,,1,208,48,45
90,90,2013-11-08 ,2013-11-08 ,TOT,3,,,1,209,48,45
91,91,2013-11-08 ,2013-11-08 ,Analysis of plague data Madagascar,2,,,1,211,48,45
92,92,2013-11-08 ,2013-11-08 ,1 day CA MSFOCP  emails  meetings  reports  etc,4,,,1,211,48,45
93,93,2013-11-08 ,2013-11-08 ,2+3+4 Jan= 3 days Conge,3,,,1,208,9,9
94,94,2013-11-08 ,2013-11-08 ,TOT:  7  8 & 10 Jan ,3,,,1,209,9,9
95,95,2013-11-08 ,2013-11-08 ,meetgs new projects  CA  bilan Epicentre  DP meetg  correspondance & literature,3.5,,,1,211,9,9
96,96,2013-11-08 ,2013-11-08 ,2 papers rejected from submission to JID  add analysis & change format for Malaria Journal,2,,,1,172,9,9
97,97,2013-11-08 ,2013-11-08 ,literture and start introduction & discussion for paper,5,,,1,61,9,9
98,98,2013-11-08 ,2013-11-08 ,start protocol  meeting MSF on submssion ERC etc,4,,,1,146,9,9
99,99,2013-11-08 ,2013-11-08 ,Hiv resistance survey concept paper review,0.5,,,1,158,9,9
100,100,2013-11-08 ,2013-11-08 ,review indicators feasibility,1,,,1,148,9,9
101,101,2013-11-08 ,2013-11-08 ,final analysis  report writing etc,10,,,1,84,52,49
102,102,2013-11-08 ,2013-11-08 ,TOT,3,,,1,209,52,49
103,103,2013-11-08 ,2013-11-08 , ,2,,,1,160,52,49
104,104,2013-11-08 ,2013-11-08 ,2 Jan (RTTM) 31 Jan (RTTF),2,,,1,208,52,49
105,105,2013-11-08 ,2013-11-08 , ,2,,,1,111,52,49
106,106,2013-11-08 ,2013-11-08 ,Weekly meetings  meetings  DP ,1,,,1,211,52,49
107,107,2013-11-08 ,2013-11-08 , ,2,,,1,52,52,49
108,108,2013-11-08 ,2013-11-08 ,Préparation du PSP de février,12,,,1,192,16,16
109,109,2013-11-08 ,2013-11-08 ,Admin Réponse aux Epidémies Tchad,1,,,1,201,16,16
110,110,2013-11-08 ,2013-11-08 ,Divers général (réunions et autres),2,,,1,211,16,16
111,111,2013-11-08 ,2013-11-08 ,Divers formation,3,,,1,210,16,16
112,112,2013-11-08 ,2013-11-08 ,7 8 et 9 janvier et 0 5 le 10 janvier,3.5,,,1,208,26,26
113,113,2013-11-08 ,2013-11-08 , ,6,,,1,123,26,26
114,114,2013-11-08 ,2013-11-08 , ,2,,,1,101,26,26
115,115,2013-11-08 ,2013-11-08 , ,0.5,,,1,94,26,26
116,116,2013-11-08 ,2013-11-08 , ,0.5,,,1,100,26,26
117,117,2013-11-08 ,2013-11-08 , ,0.5,,,1,159,26,26
118,118,2013-11-08 ,2013-11-08 , ,10,,,1,74,23,23
119,119,2013-11-08 ,2013-11-08 , ,2,,,1,79,23,23
120,120,2013-11-08 ,2013-11-08 ,Data analysis  writing report,1,,,1,75,23,23
121,121,2013-11-08 ,2013-11-08 ,reading articles,1,,,1,141,23,23
122,122,2013-11-08 ,2013-11-08 , ,1,,,1,194,23,23
123,123,2013-11-08 ,2013-11-08 ,Mails and meetings,6,,,1,211,23,23
