rownames,ethical_review_board_id,created,modified,name,submission_date,acceptance_date,created_by_id,last_modification_by_id,project_id
1,2,2018-07-18 ,2018-07-18 ,CPP,2014-10-12,2014-12-20,,,369
2,3,2018-07-18 ,2018-07-18 ,ERB DRC,2014-11-13,2015-02-12,,,369
3,4,2018-07-18 ,2018-07-18 ,Comite Ethique du Katanga,2015-11-16,2015-11-25,,,517
4,5,2018-07-18 ,2018-07-18 ,CPP Ile de France XI - Saint Germain en Laye,2016-03-12,2016-04-15,,,627
5,6,2018-07-18 ,2018-07-18 ,NHSRC Malawi,2016-02-09,2016-02-12,,,627
6,7,2018-07-18 ,2018-07-18 ,ERB Chad,2017-03-01,2017-03-15,,,739
7,8,2018-07-18 ,2018-07-18 ,ERB MSF,2017-09-20,2017-10-19,,,789
8,9,2018-07-18 ,2018-07-18 ,ERB MSF,2017-10-06,2017-10-13,,,829
9,10,2018-07-18 ,2018-07-18 ,ERB Chad,2017-10-16,2017-11-08,,,834
10,11,2018-07-18 ,2018-07-18 ,Comite Ethique du Katanga,2015-11-16,2015-11-25,,,532
11,12,2018-07-18 ,2018-07-18 ,ERB MSF,2016-04-11,2016-07-28,,,560
12,13,2018-07-18 ,2018-07-18 ,ERB MSF,2016-05-23,2016-09-01,,,560
13,14,2018-07-18 ,2018-07-18 ,MRCZ,2016-04-15,2016-07-04,,,560
14,15,2018-07-18 ,2018-07-18 ,NHSRC Malawi,2016-05-15,2016-09-18,,,560
15,16,2018-07-18 ,2018-07-18 ,ERB Johns Hopkins,2016-03-31,2016-04-15,,,639
16,17,2018-07-18 ,2018-07-18 ,ERB Johns Hopkins,2016-03-31,2016-04-15,,,638
17,18,2018-07-18 ,2018-07-18 ,Université de Kinshasa,2016-12-15,2016-12-31,,,685
18,19,2018-07-18 ,2018-07-18 ,ERB MSF,2017-02-01,2017-07-14,,,696
19,20,2018-07-18 ,2018-07-18 ,ERC Mozambique,2017-03-01,2017-07-15,,,696
20,21,2018-07-18 ,2018-07-18 ,FREC Mbarara,2017-02-02,2017-05-13,,,736
21,22,2018-07-18 ,2018-07-18 ,CPP Ile de France,2009-02-02,2009-02-17,,,81
22,23,2018-07-18 ,2018-07-18 ,FREC Mbarara,2009-02-10,2009-05-04,,,81
23,24,2018-07-18 ,2018-07-18 ,ERC MUST University  Uganda,2009-05-04,2009-05-13,,,81
24,25,2018-07-18 ,2018-07-18 ,UNCST Uganda,2009-05-15,2009-07-15,,,81
25,26,2018-07-18 ,2018-07-18 ,CPP Ile de France,2016-05-12,2016-07-19,,,83
26,27,2018-07-18 ,2018-07-18 ,CCNE Niger,2016-06-15,2016-06-18,,,83
27,28,2018-07-18 ,2018-07-18 ,ERC MUST University  Uganda,2011-08-05,2011-09-23,,,115
28,29,2018-07-18 ,2018-07-18 ,UNCST Uganda,2011-12-12,2012-03-12,,,115
29,30,2018-07-18 ,2018-07-18 ,ERC MUST University  Uganda,2013-05-21,2013-08-29,,,118
30,31,2018-07-18 ,2018-07-18 ,UNCST Uganda,2013-09-04,2013-12-16,,,118
31,32,2018-07-18 ,2018-07-18 ,CPP,2013-09-18,2013-11-15,,,136
32,33,2018-07-18 ,2018-07-18 ,KEMRI ERC  Kenya,2011-10-01,2012-01-16,,,136
33,34,2018-07-18 ,2018-07-18 ,NECHR (Cambodia ERB) ,2015-04-20,2015-05-07,,,136
34,35,2018-07-18 ,2018-07-18 ,ERC MUST University  Uganda,2015-06-25,2015-10-30,,,136
35,36,2018-07-18 ,2018-07-18 ,UNCST Uganda,2015-11-05,2015-11-30,,,136
36,37,2018-07-18 ,2018-07-18 ,ERC MUST University  Uganda,2015-03-23,2015-05-15,,,249
37,38,2018-07-18 ,2018-07-18 ,UNCST Uganda,2015-05-01,2015-06-01,,,249
38,39,2018-07-18 ,2018-07-18 ,CCNE Mali,2014-12-15,2015-01-14,,,272
39,40,2018-07-18 ,2018-07-18 ,CPP,2014-08-08,2014-10-06,,,272
40,41,2018-07-18 ,2018-07-18 ,CPP Ile de France,2014-05-01,2014-07-15,,,360
41,42,2018-07-18 ,2018-07-18 ,CPP Ile de France,2014-05-01,2014-07-15,,,359
42,43,2018-07-18 ,2018-07-18 ,UNCST Uganda,2014-10-17,2014-12-05,,,359
43,44,2018-07-18 ,2018-07-18 ,CPP Ile de France,2015-02-10,2015-03-17,,,443
44,45,2018-07-18 ,2018-07-18 ,MUST/UNCST,2015-01-23,2015-03-10,,,443
45,46,2018-07-18 ,2018-07-18 ,ERB MSF,2015-09-17,2015-10-19,,,511
46,47,2018-07-18 ,2018-07-18 ,WIRB,2015-10-09,2015-11-11,,,511
47,49,2018-07-18 ,2018-07-18 ,CPP Ile de France XI - Saint Germain en Laye,2014-11-19,2014-12-18,,,649
48,50,2018-07-18 ,2018-07-18 ,CCNE,2016-03-17,2016-04-11,,,573
49,51,2018-07-18 ,2018-07-18 ,CPP Ile de France XI - Saint Germain en Laye,2016-02-18,2016-04-14,,,573
50,52,2018-07-18 ,2018-07-18 ,WHO,2016-09-01,2016-12-17,,,679
51,53,2018-07-18 ,2018-07-18 ,ERC MUST University  Uganda,2017-03-01,2017-06-15,,,679
52,54,2018-07-18 ,2018-07-18 ,UNCST Uganda,2017-08-05,2017-10-18,,,679
53,55,2018-07-18 ,2018-07-18 ,KEMRI ERC  Kenya,2016-10-22,2017-09-08,,,679
54,56,2018-07-18 ,2018-07-18 ,ERB MSF,2015-12-21,2016-04-29,,,758
55,57,2018-07-18 ,2018-07-18 ,CCNE Niger,2016-01-12,2016-02-15,,,758
56,58,2018-07-18 ,2018-07-18 ,CPP Ile de France XI - Saint Germain en Laye,2012-11-26,2012-12-18,,,123
57,59,2018-07-18 ,2018-07-18 ,CCNE,2014-03-08,2014-05-11,,,130
58,60,2018-07-18 ,2018-07-18 ,WHO,2014-05-04,2014-06-26,,,130
59,61,2018-07-18 ,2018-07-18 ,HUG,2013-12-01,2014-03-18,,,130
60,62,2018-07-18 ,2018-07-18 ,WIRB,2014-02-12,2014-03-03,,,130
61,63,2018-07-18 ,2018-07-18 ,CCNE,2014-05-02,2014-06-01,,,130
62,64,2018-07-18 ,2018-07-18 ,CPP Ile de France XI - Saint Germain en Laye,2013-08-29,2013-10-18,,,130
