rownames,macro_budget_id,year,amount,comment,project_id,accounting_amount
1,6157,2014,33200,,240,0
2,6158,2015,33200,,240,0
3,1493735,2016,15400,,566,0
4,11347718,2015,2944.72,,387,2944.72
5,34465000,2013,178318.63,,192,178318.63
6,34465049,2013,12433,,75,12433
7,34465051,2013,25542.79,,201,25542.79
8,34465058,2013,6640,,9,6640
9,34465059,2013,7885,,181,7885
10,34465060,2013,8549,,109,8549
11,34465061,2013,3320,,158,3320
12,34465073,2013,46587.16,,146,46587.16
13,34465076,2013,20425.47,,52,20425.47
14,34465093,2013,233242.5,,212,233242.5
15,34465094,2013,35196.47,,235,35196.47
16,34465095,2013,6860,,172,6860
17,34465102,2013,2504.41,,78,2504.41
18,34465103,2013,33976.4,,218,33976.4
19,34465114,2013,4150,,318,4150
20,34465115,2013,23032.5,,126,23032.5
21,34465128,2013,22825,,129,22825
22,34465132,2013,36105,,155,36105
23,34465133,2013,46098.64,,86,46098.64
24,34465144,2013,27192.16,,6,27192.16
25,34465160,2013,4357.5,,98,4357.5
26,34465170,2013,830,,298,830
27,34465180,2013,2490,,167,2490
28,34465215,2013,45958.7,,27,45958.7
29,34465219,2013,6225,,127,6225
30,34465249,2013,63473.5,,64,63473.5
31,34465260,2013,18169.65,,207,18169.65
32,34465272,2013,1106,,7,1106
33,34465273,2013,173292.72,,193,173292.72
34,34465277,2013,48970,,150,48970
35,34465278,2013,14502.46,,1,14502.46
36,34465279,2013,11373.16,,24,11373.16
37,34465305,2013,16392.5,,187,16392.5
38,34465309,2013,9960,,233,9960
39,34465313,2013,54758.38,,18,54758.38
40,34465348,2013,28508.51,,204,28508.51
41,34465349,2013,31781.57,,110,31781.57
42,34465350,2013,41157.54,,10,41157.54
43,34465351,2013,31125,,133,31125
44,34465352,2013,17430,,61,17430
45,34465379,2013,20750,,147,20750
46,34465393,2013,25624.3,,165,25624.3
47,34465416,2013,80931.58,,125,80931.58
48,34465418,2013,16185,,219,16185
49,34465426,2013,11021.88,,19,11021.88
50,34465442,2013,18348.61,,25,18348.61
51,34465443,2013,11620,,271,11620
52,34465454,2013,27390,,105,27390
53,34465455,2013,8300,,179,8300
54,34465456,2013,830,,205,830
55,34465457,2013,6426.24,,85,6426.24
56,34465467,2013,48347.5,,62,48347.5
57,34465468,2013,9545,,42,9545
58,34465476,2013,52497.5,,56,52497.5
59,34465477,2013,46778.25,,199,46778.25
60,34465489,2013,79713.83,,116,79713.83
61,34465491,2013,9215,,139,9215
62,34465493,2013,14940,,162,14940
63,34465523,2013,93339.83,,202,93339.83
64,34465541,2013,38995.69,,16,38995.69
65,34465542,2013,7885,,182,7885
66,34465572,2013,4565,,145,4565
67,34465586,2013,20335,,71,20335
68,34465593,2013,2490,,117,2490
69,34465594,2013,9694.38,,140,9694.38
70,34465603,2013,10687.6,,31,10687.6
71,34465619,2013,9130,,226,9130
72,34465629,2013,21086.85,,177,21086.85
73,34465630,2013,1452.5,,154,1452.5
74,34465631,2013,5810,,203,5810
75,34465632,2013,13280,,134,13280
76,34465635,2013,60271.82,,11,60271.82
77,34465640,2013,21165,,111,21165
78,34465676,2013,9130,,166,9130
79,34465700,2013,6758.38,,20,6758.38
80,34465701,2013,456383.31,,68,456383.31
81,34465702,2013,32428.13,,80,32428.13
82,34465703,2013,48610.48,,28,48610.48
83,34465739,2013,3411.65,,206,3411.65
84,34465740,2013,31955,,157,31955
85,34465749,2013,33967.73,,8,33967.73
86,34465761,2013,42986.28,,194,42986.28
87,34465762,2013,4980,,151,4980
88,34465772,2014,0,,355,0
89,34465781,2013,22141.63,,215,22141.63
90,34465805,2014,0,,138,0
91,34465806,2013,8715,,138,8715
92,34465881,2013,34859.92,,66,34859.92
93,34465882,2014,0,,66,0
94,34465950,2014,0,,190,0
95,34465968,2014,0,,307,0
96,34466072,2013,20262.85,,141,20262.85
97,34466073,2014,0,,141,0
98,34466092,2014,0,,310,0
99,34466261,2014,0,,331,0
100,34466371,2014,0,,332,0
101,34466402,2013,2490,,183,2490
102,34466403,2014,0,,183,0
103,34466404,2013,23920.72,,160,23920.72
104,34466405,2014,0,,160,0
105,34466440,2013,8406.38,,312,8406.38
106,34466441,2014,0,,312,0
107,34466525,2014,217.97,,261,217.97
108,34466530,2014,16379,,378,16379
109,34466549,2013,2075,,92,2075
110,34466550,2014,50,,92,50
111,34466566,2014,15562.5,,384,15562.5
112,34466567,2013,4150,,161,4150
113,34466568,2014,1245,,161,1245
114,34466580,2014,4980,,29,4980
115,34466581,2013,27714.5,,29,27714.5
116,34466582,2013,8540.83,,315,8540.83
117,34466583,2014,14729.5,,315,14729.5
118,34466602,2014,62619.87,,344,62619.87
119,34466622,2014,30887,,338,30887
120,34466627,2013,59248.9,,195,59248.9
121,34466628,2014,0,,195,0
122,34466630,2014,4552.44,,301,4552.44
123,34466633,2013,43542.28,,3,43542.28
124,34466634,2014,6887.5,,3,6887.5
125,34466635,2013,16600,,152,16600
126,34466636,2014,13695,,152,13695
127,34466654,2013,16392.5,,72,16392.5
128,34466655,2014,7368.6,,72,7368.6
129,34466666,2014,168730.71,,258,168730.71
130,34466667,2014,40820.75,,335,40820.75
131,34466668,2014,36356.11,,281,36356.11
132,34466682,2014,1735.8,,32,1735.8
133,34466683,2013,32100.74,,32,32100.74
134,34466684,2014,21008.14,,364,21008.14
135,34466685,2014,0,,327,0
136,34466698,2014,28097.65,,321,28097.65
137,34466700,2013,31668.8,,26,31668.8
138,34466701,2014,7470,,26,7470
139,34466703,2013,1245,,12,1245
140,34466704,2014,2490,,12,2490
141,34466728,2014,7470,,398,7470
142,34466729,2014,506.41,,304,506.41
143,34466763,2013,13280,,149,13280
144,34466764,2014,12450,,149,12450
145,34466787,2014,0,,330,0
146,34466791,2014,2075,,236,2075
147,34466792,2013,8300,,236,8300
148,34466808,2014,4150,,184,4150
149,34466809,2013,13268.02,,184,13268.02
150,34466810,2014,7470,,422,7470
151,34466825,2014,94.17,,21,94.17
152,34466826,2013,7050.12,,21,7050.12
153,34466831,2014,37907.24,,322,37907.24
154,34466870,2014,67706.73,,87,67706.73
155,34466871,2013,169566.31,,87,169566.31
156,34466882,2014,11777.1,,399,11777.1
157,34466899,2014,0,,356,0
158,34466939,2014,38171.59,,279,38171.59
159,34466943,2014,4150,,362,4150
160,34466944,2014,4150,,373,4150
161,34466955,2014,1245,,176,1245
162,34466956,2013,415,,176,415
163,34466973,2014,11025,,84,11025
164,34466974,2013,42344.07,,84,42344.07
165,34466975,2014,76,,227,76
166,34466976,2013,17467.05,,227,17467.05
167,34466980,2014,2075,,153,2075
168,34466981,2013,7328.57,,153,7328.57
169,34467005,2014,2490,,90,2490
170,34467006,2013,19117.5,,90,19117.5
171,34467035,2014,400,,96,400
172,34467036,2013,1037.5,,96,1037.5
173,34467056,2014,19920,,305,19920
174,34467057,2014,12657.5,,311,12657.5
175,34467058,2014,34000.01,,334,34000.01
176,34467063,2014,9297.1,,234,9297.1
177,34467064,2013,10123.75,,234,10123.75
178,34467067,2014,14110,,357,14110
179,34467076,2014,28286.9,,328,28286.9
180,34467085,2014,6032.96,,365,6032.96
181,34467123,2013,830,,228,830
182,34467124,2014,107.52,,228,107.52
183,34467142,2014,33447.19,,385,33447.19
184,34467157,2014,2075,,148,2075
185,34467158,2013,14110,,148,14110
186,34467171,2014,2621.88,,454,2621.88
187,34467173,2014,18260,,354,18260
188,34467177,2014,1245,,185,1245
