rownames,methodology_id,created,modified,code,created_by_id,last_modification_by_id,text_fr,text_en
1,1,2018-07-18 ,2019-07-23 ,met_transversal,,130,Etudes transversales et de Prévalence,Cross sectional and prevalence Studies
2,2,2018-07-18 ,2018-07-18 ,met_casecontrol,,,Cas Contôle,Case Control
3,3,2018-07-18 ,2018-07-18 ,met_cohort,,,Cohorte,Cohort
4,4,2018-07-18 ,2018-07-18 ,met_trial,,,Essai clinique,Trial
5,5,2018-07-18 ,2018-07-31 ,met_epianalyses,,130,Serie longitudinale de cas,Longitudinal Case Series
6,6,2018-07-18 ,2018-07-18 ,met_lit review,,,Revue littérature,Literature review
7,7,2018-07-18 ,2018-07-18 ,met_metanalysis,,,Méta Analyse,Meta-Analysis
8,8,2018-07-18 ,2018-07-31 ,met_validation,,130,Validation de tests diagnostiques,Diagnostic test evaluations
9,9,2018-07-18 ,2018-07-31 ,met_programeval,,130,Evaluation et monitoring de programme,Program Monitoring and Evaluation 
10,10,2018-07-18 ,2018-07-18 ,met_other,,,Autre,Other
11,11,2018-07-31 ,2018-07-31 ,met_out,130,130,Investigation d'épidémie,Outbreak Investigation
12,12,2018-07-31 ,2018-07-31 ,met_sur,130,130,Surveillance,Surveillance
13,13,2018-07-31 ,2018-07-31 ,met_adv,130,130,Conseil et support,Advice and Support
14,14,2018-07-31 ,2018-07-31 ,met_non,130,130,Design non randomisé ou quasi expérimental,Non-randomized or quasi-experimental designs
