rownames,project_id,center_centers_id
1,668,1
2,1154,1
3,256,1
4,705,1
5,685,1
6,885,1
7,768,1
8,638,1
9,541,2
10,740,1
11,639,1
12,1183,1
13,1047,1
14,679,1
15,857,1
16,951,1
17,1009,1
18,963,1
19,551,1
20,359,1
21,81,3
22,500,2
23,489,1
24,744,3
25,65,1
26,962,1
27,649,1
28,170,1
29,763,1
30,169,1
31,369,1
32,865,1
33,630,1
34,864,1
35,958,1
36,497,1
37,958,2
38,1245,1
39,592,1
40,498,1
41,569,1
42,963,3
43,571,1
44,590,1
45,818,3
46,695,1
47,673,1
48,1149,2
49,1162,1
50,235,1
51,669,1
52,879,1
53,640,1
54,634,1
55,839,1
56,494,1
57,742,1
58,992,1
59,752,1
60,718,1
61,666,1
62,665,1
63,965,1
64,591,1
65,992,3
66,360,1
67,439,1
68,662,3
69,257,1
70,1004,1
71,596,1
72,995,1
73,814,1
74,599,1
75,618,1
76,670,1
77,657,1
78,795,1
79,995,2
80,601,1
81,561,1
82,691,1
83,1000,1
84,394,1
85,753,1
86,570,1
87,710,1
88,1246,1
89,492,1
90,641,1
91,236,1
92,1000,2
93,259,1
94,651,1
95,1002,1
96,594,1
97,877,1
98,868,1
99,745,1
100,841,1
101,681,1
102,704,1
103,655,1
104,831,1
105,878,1
106,723,1
107,1115,1
108,1129,1
109,823,1
110,672,1
111,817,3
112,771,2
113,835,1
114,739,1
115,834,1
116,923,1
117,316,1
118,865,2
119,600,1
120,687,1
121,842,1
122,382,1
123,598,1
124,399,1
125,479,1
126,1147,1
127,528,2
128,1040,2
129,786,1
130,810,1
131,224,1
132,860,1
133,725,2
134,653,1
135,852,1
136,683,1
137,573,2
138,1044,1
139,1025,1
140,401,1
141,282,1
142,1119,1
143,721,1
144,1100,2
145,1069,3
146,578,1
147,807,1
148,773,1
149,663,1
150,727,1
151,1125,1
152,1198,1
153,172,1
154,637,1
155,198,1
156,800,1
157,191,1
158,702,1
159,789,1
160,418,1
161,694,1
162,699,1
163,469,1
164,231,1
165,698,1
166,700,1
167,760,1
168,447,1
169,764,1
170,502,1
171,684,1
172,625,1
173,692,1
174,858,1
175,701,1
176,697,1
177,650,1
178,635,1
179,1136,1
180,680,1
181,664,1
182,3,1
183,728,1
184,115,3
185,736,3
186,37,1
187,38,1
188,36,1
189,957,1
190,13,1
191,873,1
192,645,2
193,221,1
194,488,1
195,320,1
196,443,1
197,714,1
198,757,2
199,524,2
200,751,1
201,1055,1
202,411,1
203,729,2
204,1126,1
205,719,2
206,1058,1
207,530,1
208,564,1
209,632,1
210,1064,1
211,185,1
212,534,1
213,716,1
214,1065,1
215,1088,1
216,652,2
217,43,1
218,155,1
219,157,1
220,71,1
221,737,1
222,69,1
223,838,1
224,953,1
225,785,1
226,64,1
227,98,1
228,872,1
229,219,1
230,70,1
231,582,1
232,21,1
233,1048,1
234,775,1
235,779,1
236,31,1
237,9,1
238,693,1
239,427,2
240,1250,1
241,532,1
242,1050,1
243,754,1
244,996,1
245,5,1
246,660,1
247,17,1
248,18,1
249,20,1
250,26,1
251,28,1
252,30,1
253,35,1
254,215,1
255,271,1
256,16,1
257,217,1
258,226,1
259,228,1
260,245,1
261,322,1
262,1033,3
263,1031,1
264,335,1
265,339,1
266,358,1
267,362,1
268,472,1
269,580,1
270,343,1
271,654,1
272,538,1
273,1035,1
274,260,1
275,80,1
276,162,1
277,173,1
278,188,1
279,568,1
280,567,1
281,562,1
282,1057,1
283,974,1
284,560,1
285,1071,1
286,165,1
287,975,3
288,142,1
289,475,1
290,647,1
291,646,1
292,798,1
293,474,1
294,1148,2
295,4,1
296,192,1
297,480,1
298,1039,1
299,843,1
300,1249,1
301,423,1
302,214,1
303,1106,1
304,193,1
305,50,1
306,50,2
307,161,1
308,83,2
309,52,1
310,52,2
311,171,1
312,365,1
313,850,1
314,374,1
315,774,1
316,487,1
317,624,1
318,1219,1
319,136,1
320,512,1
321,434,1
322,769,1
323,522,1
324,529,1
325,179,1
326,182,1
327,872,3
328,308,1
329,715,1
330,1096,2
331,809,1
332,826,1
333,765,3
334,1219,2
335,985,1
336,603,1
337,1068,1
338,1150,1
339,1097,1
340,1205,1
341,1079,1
342,1079,3
343,1073,1
344,1027,1
345,1028,1
346,998,1
347,1257,1
348,614,1
349,249,3
350,1037,1
351,1059,1
352,993,1
353,703,1
354,892,1
355,1104,3
356,991,1
357,1258,1
358,130,2
359,511,1
360,1108,1
361,1263,1
362,713,1
363,1168,1
364,988,1
365,837,1
366,1083,1
367,495,1
368,819,1
369,1116,1
370,558,1
371,1075,1
372,1072,1
373,977,1
374,982,1
375,886,1
376,1114,1
377,770,1
378,782,1
379,894,1
380,1094,1
381,981,1
382,980,1
383,978,1
384,978,3
385,971,1
386,1102,1
387,856,1
388,1024,1
389,586,1
390,797,1
391,1122,1
392,1131,1
393,1011,1
394,1099,1
395,1150,2
396,1128,1
397,196,1
398,1008,1
399,1098,1
400,735,1
401,1169,1
402,1193,1
403,1152,1
404,1152,2
405,1153,2
406,1158,1
407,1175,1
408,1020,1
409,1167,1
410,1021,1
411,1144,1
412,445,1
413,482,2
414,679,3
415,686,1
416,686,2
417,1156,1
418,1156,2
419,1058,2
420,1224,1
421,976,1
422,979,1
423,984,1
424,1078,1
425,1077,1
426,825,1
427,595,1
428,1045,1
429,1120,1
430,1107,1
431,1225,1
432,1113,1
433,408,1
434,986,1
435,61,1
436,989,1
437,891,1
438,159,1
439,890,1
440,959,1
441,1134,1
442,135,1
443,815,1
444,1161,1
445,1161,2
446,1218,1
447,299,1
448,1218,3
449,1221,1
450,1221,2
451,1160,1
452,1190,2
453,1171,1
454,1171,3
455,1220,2
456,1237,1
457,1092,1
458,1092,2
459,644,1
460,1062,1
461,1062,2
462,1062,3
463,1242,1
464,1215,1
465,1001,1
466,1034,1
467,227,1
468,42,1
469,622,1
470,87,1
471,642,1
472,597,1
473,642,2
474,583,1
475,875,1
476,493,1
477,1101,1
478,609,1
479,829,1
480,893,1
481,1121,1
482,961,1
483,1117,1
484,882,1
485,549,3
486,54,1
487,794,1
488,1005,1
489,880,1
490,1151,1
491,1233,1
492,732,1
493,1233,2
494,746,1
495,747,1
496,1142,1
497,1111,1
498,874,1
499,983,1
500,862,1
501,1061,1
502,1194,1
503,1017,1
504,855,1
505,869,1
506,876,1
507,611,1
508,612,1
509,861,1
510,1130,1
511,440,3
512,49,2
513,676,2
514,1127,1
515,342,1
516,1049,1
517,23,1
518,712,1
519,884,1
520,1051,1
521,689,1
522,970,1
523,461,3
524,667,1
525,966,1
526,328,1
527,954,1
528,731,1
529,585,1
530,889,1
531,677,1
532,337,1
533,93,1
534,767,1
535,846,1
536,563,1
537,870,1
538,407,1
539,406,1
540,403,1
541,383,1
542,272,1
543,808,1
544,94,1
545,778,1
546,629,1
547,123,1
548,743,1
549,836,1
550,734,1
551,730,1
552,602,1
553,788,1
554,820,1
555,759,1
556,750,1
557,605,1
558,513,3
559,832,1
560,881,1
561,627,1
562,485,1
563,674,1
564,584,1
565,1041,1
566,790,1
567,1006,1
568,1006,2
569,48,1
570,429,3
571,8,1
