rownames,project_id,initiation_of_the_project_initiations_of_project_id
1,36,5
2,37,2
3,39,3
4,40,1
5,318,5
6,668,1
7,65,6
8,81,8
9,1245,5
10,668,2
11,965,2
12,115,5
13,1183,3
14,541,9
15,649,5
16,885,5
17,169,3
18,170,5
19,191,5
20,783,5
21,198,5
22,753,5
23,1149,8
24,256,2
25,259,4
26,1246,5
27,401,4
28,316,5
29,359,5
30,360,5
31,1147,5
32,369,8
33,705,2
34,1204,8
35,865,4
36,866,1
37,578,5
38,439,6
39,443,5
40,447,2
41,1126,5
42,958,2
43,958,4
44,1126,8
45,488,5
46,489,6
47,492,5
48,494,5
49,965,5
50,497,5
51,498,5
52,500,4
53,1040,5
54,958,8
55,1249,5
56,524,4
57,1106,5
58,745,5
59,695,5
60,641,9
61,561,4
62,1219,8
63,1002,8
64,1096,8
65,569,5
66,570,5
67,571,8
68,1096,9
69,827,9
70,835,5
71,257,5
72,1009,5
73,598,4
74,672,5
75,590,5
76,591,5
77,592,5
78,427,3
79,691,5
80,596,5
81,826,6
82,599,5
83,600,5
84,857,2
85,801,8
86,1004,5
87,877,4
88,841,5
89,1162,5
90,878,4
91,615,5
92,621,5
93,789,5
94,723,6
95,634,5
96,635,6
97,637,5
98,638,4
99,639,4
100,640,5
101,951,5
102,642,3
103,1162,8
104,645,8
105,668,3
106,651,5
107,652,9
108,653,5
109,655,4
110,657,2
111,1257,1
112,662,9
113,46,6
114,665,5
115,666,5
116,669,8
117,670,2
118,1258,5
119,668,4
120,1250,5
121,1000,3
122,681,5
123,683,5
124,684,4
125,685,9
126,1057,5
127,687,5
128,1000,4
129,692,6
130,694,6
131,697,2
132,699,6
133,701,6
134,702,4
135,1000,5
136,704,4
137,814,4
138,710,5
139,879,2
140,795,5
141,668,5
142,716,2
143,718,5
144,1000,8
145,721,5
146,1115,5
147,955,5
148,818,9
149,879,4
150,923,5
151,727,5
152,728,5
153,729,4
154,810,4
155,382,1
156,382,2
157,382,4
158,382,5
159,879,5
160,736,8
161,737,9
162,871,5
163,739,5
164,740,4
165,823,5
166,384,9
167,744,5
168,823,8
169,725,2
170,399,9
171,479,5
172,533,5
173,751,5
174,752,5
175,535,9
176,957,5
177,757,9
178,817,9
179,581,4
180,760,4
181,839,5
182,763,5
183,764,5
184,765,9
185,1176,5
186,768,2
187,696,2
188,1168,5
189,773,5
190,38,3
191,1168,8
192,632,9
193,810,5
194,418,4
195,714,5
196,860,9
197,983,4
198,796,5
199,852,5
200,800,5
201,558,5
202,856,5
203,136,5
204,673,9
205,1175,5
206,235,5
207,236,5
208,834,5
209,474,5
210,224,4
211,70,5
212,172,4
213,12,5
214,1125,4
215,522,5
216,3,4
217,696,4
218,13,5
219,327,5
220,221,4
221,185,5
222,43,5
223,157,5
224,69,5
225,64,1
226,64,2
227,64,3
228,64,4
229,64,5
230,98,5
231,273,5
232,437,2
233,394,2
234,842,8
235,854,3
236,529,4
237,190,9
238,222,4
239,223,4
240,872,5
241,819,5
242,219,5
243,21,5
244,22,5
245,15,5
246,31,5
247,1094,5
248,5,5
249,6,5
250,7,5
251,1136,2
252,10,5
253,1125,8
254,14,5
255,17,5
256,20,5
257,26,5
258,28,5
259,30,5
260,34,5
261,35,5
262,213,5
263,215,5
264,271,5
265,16,5
266,217,5
267,218,5
268,226,5
269,1136,4
270,228,5
271,245,5
272,321,5
273,322,5
274,469,4
275,965,6
276,335,5
277,1198,2
278,339,5
279,340,5
280,357,5
281,358,5
282,362,5
283,472,5
284,395,5
285,530,5
286,643,5
287,343,2
288,873,2
289,539,5
290,654,5
291,538,2
292,625,4
293,260,5
294,663,5
295,122,1
296,80,5
297,162,5
298,246,5
299,122,2
300,173,4
301,188,4
302,873,5
303,122,3
304,564,5
305,138,5
306,122,4
307,122,5
308,502,4
309,650,4
310,680,4
311,664,4
312,165,4
313,311,5
314,953,5
315,56,5
316,68,5
317,775,5
318,142,5
319,475,5
320,647,5
321,646,5
322,659,5
323,869,5
324,798,5
325,9,2
326,974,5
327,4,3
328,603,5
329,225,4
330,480,4
331,568,5
332,648,2
333,843,5
334,892,5
335,423,9
336,214,1
337,214,2
338,214,3
339,214,4
340,214,5
341,975,9
342,1104,8
343,586,5
344,797,5
345,693,5
346,50,5
347,158,4
348,161,4
349,837,5
350,52,9
351,171,1
352,171,2
353,171,3
354,171,4
355,171,5
356,365,6
357,850,6
358,374,5
359,133,5
360,487,4
361,624,5
362,179,5
363,308,5
364,1055,4
365,809,5
366,754,5
367,83,5
368,873,6
369,1198,5
370,660,2
371,1198,6
372,528,5
373,1131,5
374,1131,8
375,531,5
376,580,1
377,580,2
378,580,3
379,580,4
380,580,5
381,567,5
382,562,5
383,996,6
384,192,1
385,192,2
386,192,3
387,192,4
388,192,5
389,193,1
390,193,2
391,193,3
392,193,4
393,193,5
394,700,4
395,700,5
396,512,4
397,512,5
398,560,2
399,1028,5
400,614,2
401,249,5
402,1059,9
403,993,5
404,993,8
405,993,9
406,703,4
407,772,5
408,130,4
409,511,5
410,779,5
411,713,4
412,831,5
413,1073,1
414,1242,8
415,61,3
416,61,5
417,868,5
418,1067,4
419,891,5
420,159,5
421,988,1
422,988,4
423,988,5
424,988,8
425,495,5
426,1019,5
427,135,5
428,573,5
429,815,5
430,1092,9
431,1113,4
432,1113,5
433,1100,3
434,495,8
435,408,4
436,304,5
437,297,1
438,297,2
439,297,3
440,297,4
441,297,5
442,301,5
443,299,5
444,408,8
445,300,5
446,890,3
447,1024,5
448,1068,5
449,991,6
450,495,9
451,1215,1
452,1048,5
453,1048,9
454,1100,4
455,1100,5
456,959,3
457,1148,8
458,1159,8
459,774,2
460,1047,9
461,1116,9
462,1075,8
463,1072,5
464,977,8
465,982,1
466,982,2
467,982,3
468,982,4
469,982,5
470,886,9
471,770,5
472,782,5
473,807,5
474,1150,8
475,894,5
476,1025,1
477,1025,2
478,1025,3
479,1025,4
480,1025,5
481,1035,5
482,1039,5
483,1044,5
484,1207,5
485,1065,5
486,1071,5
487,196,5
488,981,8
489,980,1
490,980,4
491,980,5
492,978,8
493,971,5
494,1108,5
495,1069,2
496,1069,4
497,1069,5
498,1159,9
499,1008,5
500,1099,1
501,1129,5
502,963,9
503,1069,7
504,1069,8
505,1083,4
506,1119,5
507,1084,2
508,1167,2
509,735,5
510,1020,4
511,1152,9
512,1021,2
513,1158,5
514,1158,8
515,1011,1
516,1011,2
517,1114,2
518,1011,3
519,1011,4
520,1011,5
521,1090,1
522,1090,2
523,1090,3
524,1090,4
525,1090,5
526,1172,8
527,445,5
528,686,9
529,1001,1
530,482,3
531,1088,1
532,1088,2
533,1088,3
534,1088,4
535,1088,5
536,601,2
537,644,4
538,679,9
539,992,8
540,992,9
541,1001,4
542,1001,5
543,1001,8
544,1058,9
545,1093,8
546,1161,8
547,1171,8
548,995,9
549,1080,8
550,1226,6
551,1097,2
552,1169,5
553,1169,8
554,1193,2
555,864,4
556,864,5
557,1124,8
558,1156,8
559,979,8
560,985,4
561,1064,5
562,1102,8
563,594,5
564,1031,5
565,1122,5
566,1122,8
567,1144,5
568,1144,8
569,821,5
570,1145,5
571,1145,8
572,1023,4
573,1023,8
574,825,4
575,998,3
576,595,5
577,1045,5
578,1120,5
579,1107,5
580,1107,8
581,1154,5
582,1128,5
583,1128,8
584,1050,5
585,1157,2
586,1134,5
587,1218,9
588,1221,8
589,1221,9
590,1160,8
591,1160,9
592,1190,5
593,1190,8
594,1220,9
595,1196,8
596,1203,5
597,1237,5
598,1117,5
599,1117,8
600,1235,5
601,1062,8
602,887,5
603,227,5
604,42,2
605,42,3
606,622,8
607,42,4
608,42,5
609,675,4
610,597,1
611,674,5
612,87,5
613,119,5
614,761,5
615,1101,5
616,120,4
617,961,5
618,597,4
619,392,5
620,549,5
621,609,4
622,829,5
623,893,5
624,597,5
625,1236,5
626,875,2
627,794,2
628,1121,8
629,1137,5
630,438,8
631,440,8
632,1005,8
633,880,3
634,1151,8
635,1233,8
636,746,2
