rownames,project_id,partner_partners_id
1,259,30
2,873,95
3,873,96
4,1215,42
5,1040,113
6,691,27
7,691,49
8,691,77
9,814,50
10,872,49
11,685,43
12,819,32
13,1150,42
14,170,21
15,736,57
16,736,24
17,1033,112
18,81,35
19,860,91
20,1108,123
21,1215,97
22,427,48
23,1050,46
24,725,75
25,695,49
26,498,29
27,695,77
28,498,64
29,1024,111
30,958,43
31,963,46
32,640,58
33,500,7
34,963,49
35,500,61
36,831,46
37,696,47
38,641,31
39,641,40
40,974,23
41,831,100
42,831,101
43,447,17
44,447,41
45,447,44
46,447,60
47,447,86
48,835,54
49,835,68
50,744,21
51,489,78
52,831,102
53,669,38
54,684,26
55,684,66
56,1055,47
57,852,104
58,560,108
59,1058,38
60,1058,113
61,696,59
62,1058,121
63,1114,125
64,998,48
65,735,37
66,818,11
67,494,58
68,530,45
69,818,25
70,1000,48
71,737,26
72,737,7
73,735,97
74,1198,95
75,649,65
76,1257,117
77,1152,42
78,1152,51
79,720,106
80,600,54
81,249,56
82,249,57
83,249,72
84,136,79
85,1114,126
86,696,83
87,1215,117
88,679,20
89,679,32
90,571,38
91,965,95
92,728,74
93,765,39
94,765,80
95,817,69
96,817,85
97,558,23
98,558,30
99,558,90
100,1175,55
101,1195,113
102,857,116
103,1136,125
104,965,96
105,1198,96
106,774,107
107,657,33
108,657,36
109,569,38
110,1215,131
111,1159,135
112,1258,42
113,800,22
114,1034,67
115,679,88
116,686,132
117,992,38
118,992,52
119,1093,43
120,1093,44
121,1171,137
122,1196,113
123,1135,55
124,1169,43
125,1082,117
126,1144,129
127,1107,124
128,1157,119
129,1157,130
130,1082,118
131,1082,119
132,1082,120
133,1134,127
134,1218,49
135,1218,97
136,1034,103
137,1221,45
138,1221,133
139,1221,134
140,1160,20
141,1195,117
142,1195,119
143,1195,120
144,1195,136
145,1196,117
146,1196,119
147,1196,120
148,1196,136
149,890,55
150,890,109
151,959,55
152,360,21
153,673,92
154,959,109
155,115,57
156,115,72
157,645,7
158,645,51
159,524,54
160,359,21
161,369,21
162,994,26
163,994,32
164,972,48
165,972,55
166,461,53
167,893,55
168,893,110
169,583,6
170,406,16
171,961,105
172,676,75
173,1101,42
174,583,9
175,862,111
176,549,37
177,549,70
178,583,15
179,583,42
180,583,71
181,493,28
182,493,67
183,411,3
184,411,87
185,534,90
186,743,52
187,627,1
188,627,46
189,627,88
190,687,2
191,952,94
192,987,88
193,823,78
194,822,14
195,296,29
196,296,34
197,296,64
198,361,18
199,361,29
200,361,64
201,777,58
202,780,29
203,780,64
204,781,58
205,1147,128
206,1219,32
207,1219,38
208,1219,48
209,1096,122
210,950,89
211,758,19
212,964,67
213,118,63
214,678,38
215,964,103
216,253,23
217,253,62
218,253,80
219,253,81
220,253,82
221,1151,42
222,1233,48
223,747,33
224,747,36
225,632,88
226,130,8
227,661,10
228,661,45
229,661,73
230,1030,114
231,1030,115
232,130,48
233,130,84
234,130,88
235,511,14
236,988,28
237,988,67
238,573,4
239,886,28
