rownames,project_id,study_population_age_and_pregnancy_study_populations_id
1,318,5
2,685,1
3,1245,1
4,768,1
5,638,1
6,1149,1
7,740,1
8,639,1
9,885,1
10,962,1
11,1176,9
12,1147,1
13,541,5
14,578,5
15,551,1
16,500,1
17,541,6
18,65,1
19,592,1
20,590,3
21,169,1
22,578,6
23,541,7
24,578,7
25,879,1
26,827,1
27,839,1
28,877,1
29,1126,1
30,498,4
31,569,4
32,1250,1
33,571,1
34,745,1
35,860,1
36,411,1
37,673,1
38,958,1
39,318,6
40,669,1
41,1249,1
42,640,1
43,634,1
44,1106,1
45,494,1
46,742,1
47,1219,11
48,752,1
49,718,1
50,666,1
51,1253,5
52,665,1
53,951,1
54,591,1
55,439,10
56,1004,5
57,1004,6
58,596,1
59,1253,7
60,983,1
61,599,1
62,618,1
63,670,1
64,657,1
65,1004,7
66,172,10
67,12,1
68,561,1
69,814,1
70,570,5
71,710,1
72,382,1
73,492,1
74,235,1
75,753,1
76,1096,1
77,695,1
78,1009,1
79,427,5
80,427,6
81,783,1
82,427,7
83,534,10
84,681,1
85,704,2
86,655,1
87,1162,1
88,751,5
89,1257,1
90,751,6
91,1258,1
92,771,1
93,751,7
94,316,1
95,687,1
96,318,7
97,560,5
98,728,1
99,560,6
100,923,1
101,817,9
102,530,5
103,530,6
104,384,1
105,653,1
106,530,7
107,683,1
108,399,1
109,479,1
110,668,1
111,721,1
112,725,5
113,533,1
114,773,1
115,727,1
116,1004,8
117,1040,5
118,736,1
119,789,1
120,672,1
121,443,1
122,725,6
123,757,1
124,754,1
125,622,10
126,729,1
127,719,1
128,660,10
129,651,3
130,170,5
131,725,7
132,630,1
133,760,1
134,737,1
135,684,1
136,580,3
137,785,1
138,582,1
139,170,6
140,580,5
141,775,1
142,580,6
143,540,1
144,693,1
145,532,1
146,580,7
147,871,1
148,739,5
149,739,6
150,739,7
151,580,8
152,81,5
153,81,6
154,359,5
155,359,6
156,359,7
157,81,7
158,170,7
159,957,1
160,570,6
161,570,7
162,570,8
163,567,1
164,765,1
165,562,2
166,401,9
167,1040,7
168,558,1
169,360,5
170,360,6
171,360,7
172,273,4
173,437,1
174,136,5
175,136,6
176,136,7
177,835,5
178,835,6
179,835,7
180,522,9
181,835,8
182,529,1
183,856,10
184,632,1
185,1175,9
186,641,9
187,744,5
188,744,6
189,744,7
190,489,1
191,115,5
192,115,6
193,115,7
194,645,5
195,645,6
196,645,7
197,488,5
198,488,6
199,488,7
200,524,5
201,524,6
202,524,7
203,1040,8
204,418,1
205,469,1
206,502,1
207,625,1
208,650,5
209,716,5
210,716,6
211,716,7
212,652,5
213,652,6
214,652,7
215,650,7
216,680,1
217,664,1
218,868,6
219,868,7
220,3,1
221,13,1
222,953,1
223,221,1
224,185,1
225,155,1
226,157,5
227,157,6
228,818,5
229,9,1
230,818,6
231,568,1
232,157,7
233,64,1
234,98,1
235,510,1
236,394,1
237,842,10
238,282,10
239,231,9
240,222,1
241,223,1
242,975,1
243,219,1
244,21,1
245,22,1
246,15,1
247,31,1
248,5,1
249,6,1
250,7,5
251,7,6
252,7,7
253,10,1
254,14,1
255,17,2
256,17,5
257,17,6
258,17,7
259,18,1
260,20,5
261,20,6
262,20,7
263,26,2
264,26,5
265,26,6
266,26,7
267,28,5
268,28,6
269,28,7
270,30,2
271,30,5
272,30,6
273,30,7
274,34,2
275,34,5
276,34,6
277,34,7
278,35,1
279,213,1
280,215,1
281,271,1
282,16,1
283,217,1
284,218,1
285,226,1
286,321,1
287,236,5
288,236,6
289,236,7
290,228,1
291,245,1
292,715,1
293,322,5
294,322,6
295,322,7
296,560,7
297,809,5
298,809,6
299,809,7
300,335,5
301,335,6
302,335,7
303,83,5
304,339,1
305,340,1
306,357,5
307,357,6
308,357,7
309,358,1
310,362,1
311,472,1
312,395,1
313,83,6
314,643,1
315,343,1
316,83,7
317,818,7
318,1047,10
319,539,5
320,539,6
321,539,7
322,654,5
323,654,6
324,654,7
325,538,1
326,260,1
327,852,1
328,80,1
329,162,1
330,246,1
331,982,10
332,173,2
333,188,1
334,996,1
335,560,9
336,981,10
337,138,5
338,138,6
339,138,7
340,980,10
341,1099,1
342,614,1
343,993,5
344,165,1
345,311,1
346,993,6
347,993,7
348,703,1
349,142,1
350,475,3
351,647,1
352,646,1
353,659,1
354,798,1
355,4,1
356,225,1
357,480,1
358,648,1
359,843,5
360,843,6
361,843,7
362,844,1
363,511,1
364,423,1
365,214,1
366,1153,1
367,333,10
368,50,10
369,158,1
370,161,1
371,779,1
372,52,1
373,171,1
374,365,1
375,850,1
376,374,3
377,713,2
378,487,1
379,831,10
380,1242,1
381,40,1
