rownames,salary_scale_id,created,modified,scale_year,gross_salary,created_by_id,last_modification_by_id,position_id,seniority_id
1,1,2013-11-08 ,2013-11-08 ,2014,5864.6458,,,1,1
2,2,2013-11-08 ,2013-11-08 ,2014,5089.1375,,,2,1
3,3,2013-11-08 ,2013-11-08 ,2014,4102.9028,,,3,1
4,4,2013-11-08 ,2013-11-08 ,2014,3913.9116,,,4,1
5,5,2013-11-08 ,2013-11-08 ,2014,4914.256,,,5,1
6,6,2013-11-08 ,2013-11-08 ,2014,4573.2093,,,6,1
7,7,2013-11-08 ,2013-11-08 ,2014,4203.9129,,,7,1
8,8,2013-11-08 ,2013-11-08 ,2014,3861.7754,,,8,1
9,9,2013-11-08 ,2013-11-08 ,2014,3568.5118,,,9,1
10,10,2013-11-08 ,2013-11-08 ,2014,3383.85,,,10,1
11,11,2013-11-08 ,2013-11-08 ,2014,2972.2,,,11,1
12,12,2013-11-08 ,2013-11-08 ,2014,2741.94,,,12,1
13,13,2013-11-08 ,2013-11-08 ,2014,2552.95,,,13,1
14,14,2013-11-08 ,2013-11-08 ,2014,2385.67,,,14,1
15,15,2013-11-08 ,2013-11-08 ,2014,6096.59,,,1,2
16,16,2013-11-08 ,2013-11-08 ,2014,5290.07,,,2,2
17,17,2013-11-08 ,2013-11-08 ,2014,4264.38,,,3,2
18,18,2013-11-08 ,2013-11-08 ,2014,4067.83,,,4,2
19,19,2013-11-08 ,2013-11-08 ,2014,5012.54,,,5,2
20,20,2013-11-08 ,2013-11-08 ,2014,4664.67,,,6,2
21,21,2013-11-08 ,2013-11-08 ,2014,4287.99,,,7,2
22,22,2013-11-08 ,2013-11-08 ,2014,3939.01,,,8,2
23,23,2013-11-08 ,2013-11-08 ,2014,3639.88,,,9,2
24,24,2013-11-08 ,2013-11-08 ,2014,3516.58,,,10,2
25,25,2013-11-08 ,2013-11-08 ,2014,3175.66,,,11,2
26,26,2013-11-08 ,2013-11-08 ,2014,2929.28,,,12,2
27,27,2013-11-08 ,2013-11-08 ,2014,2727.06,,,13,2
28,28,2013-11-08 ,2013-11-08 ,2014,2548.09,,,14,2
29,29,2013-11-08 ,2013-11-08 ,2014,6458.45,,,1,3
30,30,2013-11-08 ,2013-11-08 ,2014,5603.53,,,2,3
31,31,2013-11-08 ,2013-11-08 ,2014,4516.3,,,3,3
32,32,2013-11-08 ,2013-11-08 ,2014,4307.96,,,4,3
33,33,2013-11-08 ,2013-11-08 ,2014,5112.79,,,5,3
34,34,2013-11-08 ,2013-11-08 ,2014,4757.97,,,6,3
35,35,2013-11-08 ,2013-11-08 ,2014,4373.75,,,7,3
36,36,2013-11-08 ,2013-11-08 ,2014,4017.79,,,8,3
37,37,2013-11-08 ,2013-11-08 ,2014,3712.68,,,9,3
38,38,2013-11-08 ,2013-11-08 ,2014,3723.6478,,,10,3
39,39,2013-11-08 ,2013-11-08 ,2014,3175.66,,,11,3
40,40,2013-11-08 ,2013-11-08 ,2014,2929.28,,,12,3
41,41,2013-11-08 ,2013-11-08 ,2014,2727.06,,,13,3
42,42,2013-11-08 ,2013-11-08 ,2014,2548.09,,,14,3
43,43,2014-05-21 ,2014-05-21 ,2014,3201.38,60,60,15,1
44,44,2014-05-21 ,2014-05-21 ,2014,3326.81,60,60,15,2
45,45,2014-05-21 ,2014-05-21 ,2014,3522.48,60,60,15,3
46,46,2014-05-21 ,2014-05-21 ,2014,874.56,60,60,16,1
47,47,2014-12-04 ,2014-12-04 ,2015,5864.6458,60,60,1,1
48,48,2014-12-04 ,2014-12-04 ,2015,5089.1375,60,60,2,1
49,49,2014-12-04 ,2014-12-04 ,2015,4102.9028,60,60,3,1
50,50,2014-12-04 ,2014-12-04 ,2015,3913.9116,60,60,4,1
51,51,2014-12-04 ,2014-12-04 ,2015,4914.256,60,60,5,1
52,52,2014-12-04 ,2014-12-04 ,2015,4573.2093,60,60,6,1
53,53,2014-12-04 ,2014-12-04 ,2015,4203.9129,60,60,7,1
54,54,2014-12-04 ,2014-12-04 ,2015,3861.7754,60,60,8,1
55,55,2014-12-04 ,2014-12-04 ,2015,3568.5118,60,60,9,1
56,56,2014-12-04 ,2014-12-04 ,2015,3383.85,60,60,10,1
57,57,2014-12-04 ,2014-12-04 ,2015,2972.2,60,60,11,1
58,58,2014-12-04 ,2014-12-04 ,2015,2741.94,60,60,12,1
59,59,2014-12-04 ,2014-12-04 ,2015,2552.95,60,60,13,1
60,60,2014-12-04 ,2014-12-04 ,2015,2385.67,60,60,14,1
61,61,2014-12-04 ,2014-12-04 ,2015,6096.59,60,60,1,2
62,62,2014-12-04 ,2014-12-04 ,2015,5290.07,60,60,2,2
63,63,2014-12-04 ,2014-12-04 ,2015,4264.38,60,60,3,2
64,64,2014-12-04 ,2014-12-04 ,2015,4067.83,60,60,4,2
65,65,2014-12-04 ,2014-12-04 ,2015,5012.54,60,60,5,2
66,66,2014-12-04 ,2014-12-04 ,2015,4664.67,60,60,6,2
67,67,2014-12-04 ,2014-12-04 ,2015,4287.99,60,60,7,2
68,68,2014-12-04 ,2014-12-04 ,2015,3939.01,60,60,8,2
69,69,2014-12-04 ,2014-12-04 ,2015,3639.88,60,60,9,2
70,70,2014-12-04 ,2014-12-04 ,2015,3516.58,60,60,10,2
71,71,2014-12-04 ,2014-12-04 ,2015,3175.66,60,60,11,2
72,72,2014-12-04 ,2014-12-04 ,2015,2929.28,60,60,12,2
73,73,2014-12-04 ,2014-12-04 ,2015,2727.06,60,60,13,2
74,74,2014-12-04 ,2014-12-04 ,2015,2548.09,60,60,14,2
75,75,2014-12-04 ,2014-12-04 ,2015,6458.45,60,60,1,3
76,76,2014-12-04 ,2014-12-04 ,2015,5603.53,60,60,2,3
77,77,2014-12-04 ,2014-12-04 ,2015,4516.3,60,60,3,3
78,78,2014-12-04 ,2014-12-04 ,2015,4307.96,60,60,4,3
79,79,2014-12-04 ,2014-12-04 ,2015,5112.79,60,60,5,3
80,80,2014-12-04 ,2014-12-04 ,2015,4757.97,60,60,6,3
81,81,2014-12-04 ,2014-12-04 ,2015,4373.75,60,60,7,3
82,82,2014-12-04 ,2014-12-04 ,2015,4017.79,60,60,8,3
83,83,2014-12-04 ,2014-12-04 ,2015,3712.68,60,60,9,3
84,84,2014-12-04 ,2014-12-04 ,2015,3723.6478,60,60,10,3
85,85,2014-12-04 ,2014-12-04 ,2015,3175.66,60,60,11,3
86,86,2014-12-04 ,2014-12-04 ,2015,2929.28,60,60,12,3
87,87,2014-12-04 ,2014-12-04 ,2015,2727.06,60,60,13,3
88,88,2014-12-04 ,2014-12-04 ,2015,2548.09,60,60,14,3
89,89,2014-12-11 ,2014-12-11 ,2015,3201.38,60,60,15,1
90,90,2014-12-11 ,2014-12-11 ,2015,3326.81,60,60,15,2
91,91,2014-12-11 ,2014-12-11 ,2015,3522.48,60,60,15,3
92,92,2014-12-11 ,2014-12-11 ,2015,1044,60,60,16,1
93,93,2015-07-23 ,2015-07-23 ,2015,6066.99,60,60,17,3
94,94,2015-07-23 ,2015-07-23 ,2015,5948.03,60,60,17,2
95,95,2015-07-23 ,2015-07-23 ,2015,5831.4,60,60,17,1
96,96,2015-12-07 ,2015-12-07 ,2016,5893.96,,,1,1
97,97,2015-12-07 ,2015-12-07 ,2016,5455.13,,,17,1
98,98,2015-12-07 ,2015-12-07 ,2016,5114.58,,,2,1
99,99,2015-12-07 ,2015-12-07 ,2016,4123.41,,,3,1
100,100,2015-12-07 ,2015-12-07 ,2016,3933.47,,,4,1
101,101,2015-12-07 ,2015-12-07 ,2016,4938.83,,,5,1
102,102,2015-12-07 ,2015-12-07 ,2016,4596.07,,,6,1
103,103,2015-12-07 ,2015-12-07 ,2016,4224.92,,,7,1
104,104,2015-12-07 ,2015-12-07 ,2016,3881.08,,,8,1
105,105,2015-12-07 ,2015-12-07 ,2016,3586.35,,,9,1
106,106,2015-12-07 ,2015-12-07 ,2016,3400.78,,,10,1
107,107,2015-12-07 ,2015-12-07 ,2016,3217.39,,,15,1
108,108,2015-12-07 ,2015-12-07 ,2016,2987.06,,,11,1
109,109,2015-12-07 ,2015-12-07 ,2016,2755.64,,,12,1
110,110,2015-12-07 ,2015-12-07 ,2016,2565.72,,,13,1
111,111,2015-12-07 ,2015-12-07 ,2016,2397.6,,,14,1
112,112,2015-12-07 ,2015-12-07 ,2016,6127.08,,,1,2
113,113,2015-12-07 ,2015-12-07 ,2016,5670.7,,,17,2
114,114,2015-12-07 ,2015-12-07 ,2016,5316.52,,,2,2
115,115,2015-12-07 ,2015-12-07 ,2016,4285.7,,,3,2
116,116,2015-12-07 ,2015-12-07 ,2016,4088.16,,,4,2
117,117,2015-12-07 ,2015-12-07 ,2016,5037.6,,,5,2
118,118,2015-12-07 ,2015-12-07 ,2016,4687.99,,,6,2
119,119,2015-12-07 ,2015-12-07 ,2016,4309.42,,,7,2
120,120,2015-12-07 ,2015-12-07 ,2016,3958.7,,,8,2
121,121,2015-12-07 ,2015-12-07 ,2016,3658.07,,,9,2
122,122,2015-12-07 ,2015-12-07 ,2016,3534.16,,,10,2
123,123,2015-12-07 ,2015-12-07 ,2016,3343.44,,,15,2
124,124,2015-12-07 ,2015-12-07 ,2016,3191.53,,,11,2
125,125,2015-12-07 ,2015-12-07 ,2016,2943.92,,,12,2
126,126,2015-12-07 ,2015-12-07 ,2016,2740.69,,,13,2
127,127,2015-12-07 ,2015-12-07 ,2016,2560.83,,,14,2
128,128,2015-12-07 ,2015-12-07 ,2016,6490.74,,,1,3
129,129,2015-12-07 ,2015-12-07 ,2016,6006.99,,,17,3
