rownames,project_id,date,type
1,1,2013-01-01 ,1
2,1,2013-01-01 ,2
3,1,2013-12-01 ,8
4,1,,16
5,1,,32
6,1,,64
7,1,2013-12-01 ,2048
8,2,2013-01-01 ,1
9,2,,2
10,2,2015-12-31 ,8
11,2,,16
12,2,,32
13,2,,64
14,2,,2048
15,4,2013-01-01 ,1
16,4,,2
17,4,2015-12-01 ,8
18,4,,16
19,4,,32
20,4,,64
21,4,,2048
22,5,2013-01-01 ,1
23,5,,2
24,5,2015-12-31 ,8
25,5,,16
26,5,,32
27,5,2013-01-01 ,64
28,5,,2048
29,6,2013-01-01 ,1
30,6,2013-12-31 ,8
31,7,2013-01-01 ,1
32,7,2013-12-31 ,8
33,8,2013-01-01 ,1
34,8,2013-01-01 ,2
35,8,2013-01-01 ,4
36,8,2013-12-31 ,8
37,8,2013-02-01 ,16
38,8,2013-04-01 ,32
39,8,2013-01-01 ,64
40,8,2013-04-01 ,256
41,8,2013-12-01 ,512
42,8,2013-12-01 ,2048
43,9,2013-01-01 ,1
44,9,2013-01-01 ,2
45,9,2013-01-01 ,4
46,9,2013-12-31 ,8
47,9,2013-03-01 ,16
48,9,2013-05-01 ,32
49,9,2013-01-01 ,64
50,9,2013-02-01 ,128
51,9,2013-06-01 ,256
52,9,,512
53,9,2013-11-01 ,2048
54,10,2013-01-01 ,1
55,10,2013-12-31 ,8
56,11,2013-01-01 ,1
57,11,2013-12-31 ,8
58,12,2013-01-01 ,1
59,12,,2
60,12,2014-12-31 ,8
61,12,,16
62,12,,32
63,12,,64
64,12,2014-12-01 ,2048
65,13,2013-01-01 ,1
66,13,2016-12-31 ,8
67,14,2013-01-01 ,1
68,14,2014-12-31 ,8
69,15,2013-01-01 ,1
70,15,2015-12-31 ,8
71,16,2013-01-01 ,1
72,16,,2
73,16,2013-12-31 ,8
74,16,,16
75,16,,32
76,16,,64
77,16,,2048
78,17,2013-01-01 ,1
79,17,,2
80,17,2014-12-31 ,8
81,17,,16
82,17,,32
83,17,,64
84,17,,2048
85,18,2013-01-01 ,1
86,18,2013-12-31 ,8
87,19,2013-01-01 ,1
88,19,2013-12-31 ,8
89,20,2013-01-01 ,1
90,20,,2
91,20,2013-12-31 ,8
92,20,,16
93,20,,32
94,20,,64
95,20,,2048
96,21,2013-01-01 ,1
97,21,2014-12-31 ,8
98,22,2013-01-01 ,1
99,22,2014-12-31 ,8
100,23,2013-01-01 ,1
101,23,2015-12-31 ,8
102,24,2013-01-01 ,1
103,24,2013-12-31 ,8
104,25,2013-01-01 ,1
105,25,2013-12-31 ,8
106,26,2013-01-01 ,1
107,26,2014-12-31 ,8
108,27,2013-01-01 ,1
109,27,2013-12-31 ,8
110,28,2013-01-01 ,1
111,28,,2
112,28,2013-12-31 ,8
113,28,,16
114,28,,32
115,28,,64
116,28,,2048
117,29,2013-01-01 ,1
118,29,,2
119,29,2014-12-31 ,8
120,29,,16
121,29,,32
122,29,,64
123,29,,2048
124,30,2013-01-01 ,1
125,30,,2
126,30,2015-02-28 ,8
127,30,,16
128,30,,32
129,30,,64
130,30,,2048
131,31,2013-01-01 ,1
132,31,2013-12-31 ,8
133,32,2013-01-01 ,1
134,32,2014-12-31 ,8
135,33,2013-01-01 ,1
136,33,2014-12-31 ,8
137,34,2013-01-01 ,1
138,34,,2
139,34,2014-12-31 ,8
140,34,,16
141,34,,32
142,34,,64
143,34,,2048
144,35,2013-01-01 ,1
145,35,,2
146,35,2015-12-31 ,8
147,35,,16
148,35,,32
149,35,,64
150,35,,2048
151,36,2014-01-01 ,1
152,36,2021-12-01 ,8
153,37,2014-01-01 ,1
154,37,2021-12-01 ,8
155,38,2014-01-01 ,1
156,38,2021-12-01 ,8
157,39,2014-01-01 ,1
158,39,2021-12-01 ,8
159,40,2013-01-01 ,1
160,40,2021-12-01 ,8
161,41,2013-01-01 ,1
162,41,2015-06-30 ,8
163,42,2013-01-01 ,1
164,42,,2
165,42,2013-12-31 ,8
166,42,,16
167,42,,32
168,42,,64
169,42,,2048
170,43,2013-01-01 ,1
171,43,2015-12-31 ,8
172,44,2013-01-01 ,1
173,44,2021-12-01 ,8
174,45,2013-01-01 ,1
175,45,2021-12-01 ,8
