rownames,training_id,created,modified,topic,expected_attendies,real_attendies,training_request,created_by_id,last_modification_by_id,project_id
1,1,2018-10-01 ,2018-10-01 ,HCV,15,18,1,130,130,534
2,2,2018-10-01 ,2018-10-01 ,AREE,24,18,2,130,130,637
3,3,2018-10-01 ,2018-10-01 ,Evaluation nutritionnelle,20,21,2,130,130,800
4,4,2018-10-01 ,2018-10-01 ,Enquêtes terrain,20,20,1,130,130,702
5,5,2019-01-11 ,2019-01-11 ,Med/Logs cellules  OCP,12,12,2,,154,805
6,6,2018-10-01 ,2018-10-01 ,PSP,40,38,1,,130,694
7,7,2018-10-01 ,2018-10-01 ,PSP,40,38,1,130,130,699
8,8,2018-10-12 ,2018-10-12 ,PSP,40,37,1,,130,812
9,9,2018-10-01 ,2018-10-01 ,PSP decentralized,24,24,1,130,130,810
10,10,2018-10-01 ,2018-10-01 ,PSP decentralized,24,24,1,130,130,698
11,11,2018-10-01 ,2018-10-01 ,PSP decentralized,24,22,1,130,130,700
12,12,2018-10-01 ,2018-10-01 ,RAREE,24,22,2,130,130,764
13,13,2018-10-01 ,2018-10-01 ,REPEPI,24,17,1,130,130,692
14,14,2018-10-01 ,2018-10-01 ,REPEPI,24,23,1,130,130,701
15,15,2018-10-01 ,2018-10-01 ,REE,24,21,2,130,130,697
16,16,2019-01-11 ,2019-01-11 ,REE,24,26,2,,154,731
17,17,2018-10-10 ,2018-10-10 ,REPEPI,24,25,1,16,16,801
18,18,2018-10-12 ,2018-10-12 ,PSP,40,39,1,130,130,813
19,19,2019-01-11 ,2019-01-11 ,RepEpi,24,25,2,,154,865
20,20,2018-12-05 ,2018-12-05 ,,24,24,1,154,154,512
21,21,2019-01-11 ,2019-01-11 ,,24,23,1,154,154,811
22,22,2019-01-11 ,2019-01-11 ,,24,21,1,154,154,786
23,23,2019-01-11 ,2019-01-11 ,,24,25,2,154,154,803
24,24,2019-01-11 ,2019-01-11 ,,24,24,2,154,154,866
25,25,2020-04-16 ,2020-04-16 ,,24,12,2,,40,1047
26,26,2020-04-16 ,2020-04-16 ,,40,55,2,,40,1116
27,27,2020-04-16 ,2020-04-16 ,,40,39,1,40,40,1075
28,28,2020-04-16 ,2020-04-16 ,,24,24,2,40,40,1072
29,29,2020-04-16 ,2020-04-16 ,,24,20,2,40,40,1073
30,30,2020-04-16 ,2020-04-16 ,,24,21,1,40,40,977
31,31,2020-04-22 ,2020-04-22 ,,24,23,2,40,40,971
32,32,2020-04-22 ,2020-04-22 ,,40,38,1,40,40,979
33,33,2020-04-23 ,2020-04-23 ,,40,40,1,40,40,982
34,34,2020-04-23 ,2020-04-23 ,,24,21,2,40,40,970
35,35,2020-04-23 ,2020-04-23 ,,24,22,2,40,40,886
36,36,2020-04-30 ,2020-04-30 ,,24,17,1,40,40,981
37,37,2020-04-30 ,2020-04-30 ,,24,25,1,40,40,980
38,38,2020-04-30 ,2020-04-30 ,,24,23,1,40,40,978
